ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,title,url,volume,year
article,LI2020103987,"From a network perspective, self-regulated learning (SRL) can be conceptualized as networks of mutually interacting self-regulatory learning behaviors. Nevertheless, the research on how SRL behaviors dynamically interact over time in a network architecture is still in its infancy, especially in the context of STEM (sciences, technology, engineering, and math) learning. In the present paper, we used a multilevel vector autoregression (VAR) model to examine the temporal dynamics of SRL behaviors as 101 students designed green buildings in Energy3D, a simulation-based computer-aided design (CAD) environment. We examined how different performance groups (i.e., unsuccessful, success-oriented, and mastery-oriented groups) differed in SRL competency, actual SRL behaviors, and SRL networks. We found that the three groups had no significant difference in their perceived SRL competency; however, they differed in SRL behaviors of evaluation. Both the mastery-oriented and success-oriented groups performed more evaluation behaviors than the unsuccessful group. Moreover, the mastery-oriented group showed stronger interaction between SRL behaviors than the success-oriented group and the unsuccessful group. The SRL networks of the three groups shared some similarities, but they were different from each other in general. This study has significant theoretical and methodological implications for the advancement of research in SRL dynamics.",,Shan Li and Hanxiang Du and Wanli Xing and Juan Zheng and Guanhua Chen and Charles Xie,,https://doi.org/10.1016/j.compedu.2020.103987,,,,0360-1315,Computers & Education,"Self-regulated learning, STEM education, Temporal dynamics, Network approach, Learning analytics",,,103987,,Examining temporal dynamics of self-regulated learning behaviors in STEM learning: A network approach,https://www.sciencedirect.com/science/article/pii/S0360131520301858,158,2020
article,KOLTAY201587,"In this paper, based on desk research, we will present the most important features of Research 2.0 in its relationship with information literacy (IL). The appearance of the Research 2.0 paradigm was brought about by numerous technological innovations resulting from Web 2.0. This may lead to transformations that could change the principles of research activities. When explaining the nature of Research 2.0 we highlight factors that hinder its wider uptake. We will also try to show that IL is changing in some of its aspects as a result of developments in the Research 2.0 domain, regardless of the fact that it is not widely adopted. The consequences resulting from the analyzed transformations in IL are of utmost importance for academic libraries, the content of their instructional activities and future information literacy conceptualizations.",,Tibor Koltay and Sonja Špiranec and László Z. Karvalics,,https://doi.org/10.1016/j.acalib.2014.11.001,,,,0099-1333,The Journal of Academic Librarianship,"Information literacy, Research 2.0",,1,87-93,,The Shift of Information Literacy Towards Research 2.0,https://www.sciencedirect.com/science/article/pii/S0099133314001979,41,2015
article,GIANNAKOS201827,"The recent incremental growth of tangible and programming technologies has made it possible for teenagers to engage in creative game development activities. The aim of this work is to increase knowledge on the factors that characterize these activities and to increase understanding about what motivates young students to participate in such activities. In our empirical evaluation, a group of researchers and artists designed, implemented and evaluated workshop programs with 78 students aged 12 and 17 years. For the first study, we collected qualitative data from 11 interviews and subjected this data content analysis. For the second study, we designed a survey grounded in motivational factors for technology and collected 49 responses. The results show that (a) creative development activities raise awareness of technology (especially in female students), intensify the experience and invite students to explore boundaries, increase collaboration and exchange views and ideas, and (b) participants’ effort expectancy and performance expectancy significantly affect their intention to participate.",,Michail N. Giannakos and Letizia Jaccheri,,https://doi.org/10.1016/j.ijcci.2018.06.002,,,,2212-8689,International Journal of Child-Computer Interaction,"Creative activities, Game development, Digital artifacts, Students’ motivations, Empirical examination, Gender",,,27-36,,From players to makers: An empirical examination of factors that affect creative game development,https://www.sciencedirect.com/science/article/pii/S2212868916300393,18,2018
article,PAL2020105535,"The COVID-19 pandemic has resulted in a physical shutdown of all types of educational institutes worldwide due to which the education delivery has now shifted to an “online only” exclusivity model. In this perspective, perceived usability of the online learning platforms that are currently being used is an important aspect, especially due to the absence of any physical classes. In this work Microsoft Teams is used as the reference platform for which the perceived usability is evaluated. For the evaluation purpose a dual strategy is followed by using the System Usability Scale (SUS), which is a Human Computer Interaction (HCI) based approach, and the Technology Acceptance Model (TAM), which is an Information Systems (IS) based approach. Although both these instruments are popular in their respective domains, yet they have not been considered simultaneously in one work for the purpose of usability evaluation. By doing so, this work attempts to streamline and unify the process of usability evaluation. Results that are obtained from a large-scale survey of university students show the similarity and equivalency between the two methodologies, with the Perceived Ease of Use (PEOU) construct of TAM having greater similarity with SUS. Moreover, this work also considers the digital-divide aspect (mobile vs. web environment) that is prevalent particularly in developing countries like India, and whether it has any effect on the perceived usability. Results show that the consumption platform does not have any effect on the usability aspect.",,Debajyoti Pal and Vajirasak Vanijja,,https://doi.org/10.1016/j.childyouth.2020.105535,,,,0190-7409,Children and Youth Services Review,"COVID-19, Online learning, Perceived usability, System Usability Scale (SUS), Technology Acceptance Model (TAM)",,,105535,,Perceived usability evaluation of Microsoft Teams as an online learning platform during COVID-19 using system usability scale and technology acceptance model in India,https://www.sciencedirect.com/science/article/pii/S0190740920313992,119,2020
article,SUN2023100546,"In recent years, research interest in games in education has experienced continuous growth. However, although prior reviews in this context have generally focused on providing an overview of research trends and the impact of game-based learning on education, they have failed to provide noncrucial information on teacher scaffolding strategies used in the different stages of game-based learning and its related effects on students' learning in primary education. By conducting a systematic search of databases, the current review examines recent empirical studies, ranging from 2011 to the end of March 2022, that implemented game-based learning in primary education settings. Twenty-four relevant papers were selected by deploying a four-phase PRISMA framework. This review identified different teacher scaffolding strategies that are used in teacher–student interactions during the orientation and gameplay stages, and their correlative influence on students’ learning. These findings can help teachers, teacher educators, and game developers in designing and developing improved game-based learning. The requirement for more research to investigate the use of teacher scaffolding in teacher–student interactions within the game-based learning process in primary education is emphasized. Furthermore, recommendations are offered for the future implementation of teacher scaffolding in game-based learning research.",,Liping Sun and Marjaana Kangas and Heli Ruokamo and Signe Siklander,,https://doi.org/10.1016/j.edurev.2023.100546,,,,1747-938X,Educational Research Review,"Teacher scaffolding, Game-based learning, Primary education, Systematic literature review",,,100546,,A systematic literature review of teacher scaffolding in game-based learning in primary education,https://www.sciencedirect.com/science/article/pii/S1747938X23000398,40,2023
article,PRINSLOO2023102901,"The invention of floatovoltaic technologies brought new meaning to the theoretical framing of sustainability as the technology delivers extended natural resource conservation benefits. However, planning assessments for this novel sustainable energy technology exposed knowledge gaps jeopardising global financial investments and regulatory approvals. Knowledge and methodological gaps cause inaccurate performance predictions in current geospatial-engineering modelling tools and fail to adequately quantify the diverse range of layered performance qualities and impacts of floating photovoltaics. This paper advances a geo-sensitive system dynamics framework to systemically integrate the energy, environmental and economic domain object functions in characterising the behaviour and sustainability of floating photovoltaic systems theoretically. The framework serves as computer logic in a geospatial digital twin to synthesise floatovoltaic operations to predict the technology’s sustainability impact and offset attributes in balanced scorecard metrics and water–energy–land–food nexus indicators. Experimental evaluations with the proposed framework in a real-world setting demonstrate the value of the holistically integrated framework in analytical floatovoltaic project appraisal and planning support. The results highlight significant advantages when comparing a 1000 m2 floatovoltaic system with a similar-sized conventional photovoltaic alternative, including a 19.3% lifetime energy gain, a carbon emission displacement of CO2e=5168t and a freshwater evaporation benefit of 983 kL. Predictive energy, environmental and economic modelling also offers water–energy–land–food–resource analysis parameters, thus delivering multi-attribute performance profiles that solve many of the current problems with the “technology unknowns” of floatovoltaics that impede energy project commissioning and licensing approvals.",,F.C. Prinsloo and Peter Schmitz and Andrea Lombard,,https://doi.org/10.1016/j.seta.2022.102901,,,,2213-1388,Sustainable Energy Technologies and Assessments,"Floating solar simulation model, Theoretical characterisation of FPV, Floatovoltaic performance profiling, WELF nexus indicator assessment, Floating PV impact assessment, System dynamics sustainability",,,102901,,"System dynamics characterisation and synthesis of floating photovoltaics in terms of energy, environmental and economic parameters with WELF nexus sustainability features",https://www.sciencedirect.com/science/article/pii/S2213138822009493,55,2023
incollection,SEAMAN2023591,"The body as an intelligent environment, nested within the larger environment of the natural and man-made world, is discussed. A linked set of embodied processes, where cognition is enacted is articulated. Extended intelligence technologies, interaction with other humans and embodied experience points to sentience in humans as being socially and linguistically framed. Sentience abstraction is used to define a model for Neosentience, a branch of AI exploring synthetic sentience via biomimetics—the reembodiment of the functional entailment structures enabling human sentience to arise. A transdisciplinary database, intelligent search engine (I_E), and a series of visualization strategies are discussed, enabling advanced transdisciplinary research. A new form of bioalgorithm to empower the arising of Neosentience is one goal. The ethics of AI and a series of other research topic areas are articulated. A repurposing of the author's Insight Engine 2.0 into a new version for the development of advanced systems for a healthy environment becomes future research.",,Bill Seaman and Quran Karriem and Dev Seth and Hojung Ashley Kwon and John Herr,Intelligent Environments (Second Edition),https://doi.org/10.1016/B978-0-12-820247-0.00014-X,Second Edition,Peter Droege,978-0-12-820247-0,,,"Bio-algorithm, Bio-mimetic systems, Extended intelligence, Human sentience, Insight Engine 2.0, Neosentience",,,591-617,North-Holland,19 - The Insight Engine 2.0: the body and biomimetic systems as intelligent environments,https://www.sciencedirect.com/science/article/pii/B978012820247000014X,,2023
article,ULFERTBLANK2022104626,"Today, digitalization is affecting all areas of life, such as education or work. The competent use of digital systems (esp. information and communication technologies [ICT]) has thus become an essential skill. Despite longstanding research on human-technology interaction and diverse theoretical approaches describing competences for interacting with digital systems, research still offers mixed results regarding the structure of digital competences. Self-efficacy is described as one of the most critical determinants of competent digital system use, and various self-report scales for assessing digital self-efficacy have been suggested. Yet, these scales largely differ in their proposed specificity, structure, validation, and timeliness. The present study aims at providing a systematic overview and comparison of existing measures of digital self-efficacy (DSE) to current theoretical digital competence frameworks. Further, we present a newly developed scale that assesses digital self-efficacy in heterogeneous adult populations, theoretically founded in the DigComp 2.1 and social-cognition theory. The factorial structure of the DSE scale is assessed to investigate multidimensionality. Further, the scale is validated considering the nomological network (actual ICT use, technophobia). Implications for research and practice are discussed.",,Anna-Sophie Ulfert-Blank and Isabelle Schmidt,,https://doi.org/10.1016/j.compedu.2022.104626,,,,0360-1315,Computers & Education,"21 century abilities, Lifelong learning",,,104626,,Assessing digital self-efficacy: Review and scale development,https://www.sciencedirect.com/science/article/pii/S036013152200197X,191,2022
article,JIANG2022102058,"Coding is a highly valued skill used in many disciplines across the globe. However, it is reported that students’ coding interest and self-efficacy are usually low. Theoretically, the affective domain of coding is in its infancy, and very few studies have set out to identify the determinants of coding interest and self-efficacy. This study explored how mathematics interest and self-efficacy, as two important mathematics-related factors, influenced coding interest and self-efficacy. Employing a quantitative cross-sectional survey design, 605 students from two public senior high schools in two big cities in China were investigated. A two-step structural equation modeling approach was adopted to analyze the data. Findings showed that mathematics interest, directly and indirectly, influenced coding interest significantly. In addition, coding self-efficacy was indirectly impacted by mathematics interest and coding interest was indirectly impacted by mathematics self-efficacy significantly. Most importantly, our model has proved to be powerful in explaining coding interest. This study contributes to the theoretical and practical understanding of the relationship between mathematics and coding attitudes, seldom explored in senior high school settings.",,Haozhe Jiang and Darren Turnbull and Xiaoqin Wang and Ritesh Chugh and Yingshan Dou and Suting Chen,,https://doi.org/10.1016/j.ijer.2022.102058,,,,0883-0355,International Journal of Educational Research,"Coding interest, Coding self-efficacy, Mathematics interest, Mathematics self-efficacy, Structural equation modeling",,,102058,,How do mathematics interest and self-efficacy influence coding interest and self-efficacy? A structural equation modeling analysis,https://www.sciencedirect.com/science/article/pii/S0883035522001331,115,2022
article,ZHANG20232061,"OpenAI and ChatGPT, as state-of-the-art language models driven by cutting-edge artificial intelligence technology, have gained widespread adoption across diverse industries. In the realm of computer vision, these models have been employed for intricate tasks including object recognition, image generation, and image processing, leveraging their advanced capabilities to fuel transformative breakthroughs. Within the gaming industry, they have found utility in crafting virtual characters and generating plots and dialogues, thereby enabling immersive and interactive player experiences. Furthermore, these models have been harnessed in the realm of medical diagnosis, providing invaluable insights and support to healthcare professionals in the realm of disease detection. The principal objective of this paper is to offer a comprehensive overview of OpenAI, OpenAI Gym, ChatGPT, DALL E, stable diffusion, the pre-trained clip model, and other pertinent models in various domains, encompassing CLIP Text-to-Image, education, medical imaging, computer vision, social influence, natural language processing, software development, coding assistance, and Chatbot, among others. Particular emphasis will be placed on comparative analysis and examination of popular text-to-image and text-to-video models under diverse stimuli, shedding light on the current research landscape, emerging trends, and existing challenges within the domains of OpenAI and ChatGPT. Through a rigorous literature review, this paper aims to deliver a professional and insightful overview of the advancements, potentials, and limitations of these pioneering language models.",,Hong Zhang and Haijian Shao,,https://doi.org/10.32604/cmes.2023.030649,,,,1526-1492,CMES - Computer Modeling in Engineering and Sciences,"OpenAI, ChatGPT, DALL E, stable diffusion, OpenAI Gym, text-to-image, text-to-video",,3,2061-2102,,Exploring the Latest Applications of OpenAI and ChatGPT: An In-Depth Survey,https://www.sciencedirect.com/science/article/pii/S1526149223001649,138,2023
incollection,2013487,,Boston,,Programming Massively Parallel Processors (Second Edition),https://doi.org/10.1016/B978-0-12-415992-1.00036-5,Second Edition,David B. Kirk and Wen-mei W. Hwu,978-0-12-415992-1,,,,,,487-496,Morgan Kaufmann,,https://www.sciencedirect.com/science/article/pii/B9780124159921000365,,2013
article,HELBING2023102061,"The technological revolution, particularly the availability of more data and more powerful computational tools, has led to the emergence of a new scientific field called “Computational Diplomacy”. Our work tries to define its scope and focuses on a popular subarea of it, namely “Digital Democracy”. In recent years, there has been a surge of interest in using digital technologies to promote more participatory forms of democracy. While there are numerous potential benefits to using digital tools to enhance democracy, significant challenges must be addressed. It is essential to ensure that digital technologies are used in an accessible, equitable, and fair manner rather than reinforcing existing power imbalances. This paper investigates how digital tools can be used to help design more democratic societies by investigating three key research areas: (1) the role of digital technologies for facilitating civic engagement in collective decision-making; (2) the use of digital tools to improve transparency and accountability in governance; and (3) the potential for digital technologies to enable the formation of more inclusive and representative democracies. We argue that more research on how digital technologies can be used to support democracy upgrade is needed. Along these lines, we lay out a research agenda for the future.",,Dirk Helbing and Sachit Mahajan and Regula Hänggli Fricker and Andrea Musso and Carina I. Hausladen and Cesare Carissimo and Dino Carpentras and Elisabeth Stockinger and Javier {Argota Sanchez-Vaquerizo} and Joshua C. Yang and Mark C. Ballandies and Marcin Korecki and Rohit K. Dubey and Evangelos Pournaras,,https://doi.org/10.1016/j.jocs.2023.102061,,,,1877-7503,Journal of Computational Science,"Computational diplomacy, Digital democracy, Participation, Collective intelligence, Value-based engineering",,,102061,,"Democracy by Design: Perspectives for Digitally Assisted, Participatory Upgrades of Society",https://www.sciencedirect.com/science/article/pii/S1877750323001217,71,2023
