ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,series,title,url,volume,year
article,KIM2023100137,"Although the importance of K–12 artificial intelligence (AI) education grows, the lack of teacher readiness hinders the integration of AI in schools. To address this issue, this study aimed to explore South Korean elementary school teachers' experiences teaching AI curricula and examine their competencies. A survey and interviews were conducted with 67 elementary school teachers who have been working in AI-leading schools in South Korea. The results indicated that teachers were least confident in content knowledge, followed by technological knowledge and pedagogical knowledge relevant to AI. Additionally, interviews with 13 teachers revealed five themes regarding AI education: (1) emphasizing the importance of instructional design in AI education; (2) redesigning the learning environment to promote learning experiences; (3) lowering teaching anxiety by acknowledging the limitations of content knowledge; (4) extending AI education based on computer science (CS) principles; and (5) acquiring literacy in codes, data, AI technologies, and ethical issues. Based on the findings, 22 AI competencies for elementary school teachers were derived and categorized based on the technological pedagogical content knowledge (TPACK) framework. The competencies provide a practical framework for teachers to acquire the necessary knowledge and skills for AI education. The study contributes to understanding AI teaching practices in South Korea by revealing teachers’ perspectives on and identifying the essential competencies for practicing AI education.",,Keunjae Kim and Kyungbin Kwon,,https://doi.org/10.1016/j.caeai.2023.100137,,,,2666-920X,Computers and Education: Artificial Intelligence,"AI education, AI competency, Teacher competency, Teaching competency, Technological pedagogical content knowledge (TPACK)",,,100137,,,Exploring the AI competencies of elementary school teachers in South Korea,https://www.sciencedirect.com/science/article/pii/S2666920X23000164,4,2023
incollection,KUMAR2024147,"Education that is ongoing and permanent for the purpose of adaptable up-skilling and retraining has been identified as a contributory factor, along with a relentless race against time, fast scientific progress, and unanticipated challenges. Students in postsecondary learning require mechanisms that can enable long-term, dependable knowledge production and storage, and this is particularly true in the age after a pandemic that occurred during the development of new technologies. There has been an explosion of e-learning platforms and methodologies that have been developed to remedy this issue; however, not all of them have been as successful as would be ideal. This type of new knowledge is very difficult to execute properly; it needs complex, careful educational and interface design to perform as well as it does and keep learners interested. This framework was designed and developed in this study. This technology was employed to support a cutting-edge pedagogic study based on neuroscience that was offered to faculty at universities of higher education. This framework was designed and developed in this study. This technology was employed to support a cutting-edge pedagogic study based on neuroscience that was offered to faculty at universities of higher education. Having a high intelligence quotient does not guarantee a successful and happy life. Success also necessitates self-awareness and emotional control. Our idea was to create a computational paradigm that would educate students in both programming and emotional intelligence. This experiment was successful in addressing the problem of excessive screen use by providing a student interface without displays.",,Mohit Kumar and Syam Machinathu Parambil Gangadharan and Nabanita Choudhury,Emotional AI and Human-AI Interactions in Social Networking,https://doi.org/10.1016/B978-0-443-19096-4.00014-6,,Muskan Garg and Deepika Koundal,978-0-443-19096-4,,,"Cognitive thinking, Design thinking, E-Learning, Emotional intelligence, Intelligent quotient, Social neuroscience",,,147-168,Academic Press,,Chapter Eight - Machine learning model for teaching and emotional intelligence,https://www.sciencedirect.com/science/article/pii/B9780443190964000146,,2024
incollection,KIRK2017457,This chapter summarizes the main parts of the book. It then concludes the book by offering an outlook of how parallel programming will continue to contribute to the new innovations in science and technology.,,David B. Kirk and Wen-mei W. Hwu,Programming Massively Parallel Processors (Third Edition),https://doi.org/10.1016/B978-0-12-811986-0.00021-2,Third Edition,David B. Kirk and Wen-mei W. Hwu,978-0-12-811986-0,,,"computational thinking, parallel patterns, golden age of computing, self-driving cars, individualized medicine",,,457-459,Morgan Kaufmann,,Chapter 21 - Conclusion and outlook,https://www.sciencedirect.com/science/article/pii/B9780128119860000212,,2017
article,GOH20205,,,Wilson Wen Bin Goh and Limsoon Wong,,https://doi.org/10.1016/j.gpb.2020.01.002,,,,1672-0229,"Genomics, Proteomics & Bioinformatics",,,1,5-15,,,"The Birth of Bio-data Science: Trends, Expectations, and Applications",https://www.sciencedirect.com/science/article/pii/S1672022920300553,18,2020
article,ZHAN2022100096,"This paper aimed at constructing a systematic framework and examining the effect of gamification in programming education through a meta-analysis conducted on 21 empirical studies published in the last decade. We examined the effects of game types, gamification applications, pedagogical agents, programming types, and schooling levels on students' academic achievement, cognitive load, motivation, and thinking skills in programming education by cross-tabulation analysis. Results verified the positive impact of gamification in programming education. Gamification has the largest effect on students' motivation, followed by academic achievement, whereas it has the least effect on students' cognitive load. As for game types, the reasoning strategy game is most effective on academic achievement, while the puzzle game is most effective on motivation. As for gamification application, the games as a competitive mechanism has the greatest impact on students’ thinking skills and motivation. However, when games were adopted as teaching tools or student works, the effects are mainly represented in academic achievement. Pedagogical agents have a limited effect on programming education. With regard to programming types, the effect of gamification is more pronounced in text-based programming rather than graphical programming. This study provided an analytic framework and shed light on potential directions for further studies in the field.",,Zehui Zhan and Luyao He and Yao Tong and Xinya Liang and Shihao Guo and Xixin Lan,,https://doi.org/10.1016/j.caeai.2022.100096,,,,2666-920X,Computers and Education: Artificial Intelligence,"Programming education, Gamification, Meta-analysis, Game-based learning",,,100096,,,The effectiveness of gamification in programming education: Evidence from a meta-analysis,https://www.sciencedirect.com/science/article/pii/S2666920X22000510,3,2022
article,YAP2022101825,"Free and open source tools present numerous opportunities to support current urban planning practice. However, their overview is fragmented, and the uptake among planning professionals remains lacklustre. Recent discourse in the domain of planning support tools attribute poor take up to the lack of understanding on the landscape and functionality of available tools, and how tools can add value to the planning process. We provide an understanding of the state of the art concerning open source tools for urban planning from journal articles, software repositories, and social media. Our search documented 70 open source tools that support different stages of the urban planning process. We cover an additional set of 54 peripheral tools to support domains related to urban planning. In the process, we formalise and describe the urban planning process and find that the entire planning process can be conducted using open source software. Tools focusing on street networks and geographic spatial analysis are the mainstay of current implementation. Sixty percent of tools are only accessible through an application programming interface, while 43% rely on Python for development. The scenario planning, public participation, and evaluation phases of the planning process present many untapped opportunities for open source software development. Findings will help urban planners and researchers to employ these tools for professional practice, and assist software developers to identify opportunities for software development in urban research.",,Winston Yap and Patrick Janssen and Filip Biljecki,,https://doi.org/10.1016/j.compenvurbsys.2022.101825,,,,0198-9715,"Computers, Environment and Urban Systems","Built environment, City planning, FOSS, GIScience, Participatory planning, Urban analytics",,,101825,,,Free and open source urbanism: Software for urban planning practice,https://www.sciencedirect.com/science/article/pii/S0198971522000692,96,2022
article,SCHAPER2022100537,"Whereas computational empowerment is well established in child–computer interaction research, less effort has been made to integrate this approach in practice. Building on four existing principles in child–computer interaction, namely Closeness, Embodied Learning, Design Process and Decoding, we explore how computational empowerment can be scaffolded in practice. This study was part of an interdisciplinary research project exploring emerging technologies in education (CEED). We involved 9 teachers and 26 students (14–15 y) in Denmark in teaching about machine learning and augmented reality. In the article we develop a framework for applying computational empowerment in formal educational contexts. Based on the study, we found that computational empowerment builds on distinct layers which are these four principles. Specifically, merging the principles Closeness and Embodied Learning can increase student engagement and motivation in the activities; in addition, Decoding and Design Process are key principles for promoting student awareness of the societal impacts of emerging technologies. Based on qualitative data from this intervention, we discuss the opportunities and challenges for child–computer interaction in moving toward computational empowerment in practice.",,Marie-Monique Schaper and Rachel Charlotte Smith and Mariana Aki Tamashiro and Maarten {Van Mechelen} and Mille Skovhus Lunding and Karl-Emil Kjæer Bilstrup and Magnus Høholt Kaspersen and Kasper Løvborg Jensen and Marianne Graves Petersen and Ole Sejer Iversen,,https://doi.org/10.1016/j.ijcci.2022.100537,,,,2212-8689,International Journal of Child-Computer Interaction,"Computational empowerment, Emerging technologies, Ethical and societal implications, Technology education, Machine learning, Augmented reality, Teenagers",,,100537,,,Computational empowerment in practice: Scaffolding teenagers’ learning about emerging technologies and their ethical and societal impact,https://www.sciencedirect.com/science/article/pii/S2212868922000551,34,2022
article,BRADY2022101156,"Many block-based programming environments have proven to be effective at engaging novices in learning programming. However, most offer only restricted access to the outside world, limiting learners to commands and computing resources built in to the environment. Some allow learners to drag and drop files, connect to sensors and robots locally or issue HTTP requests. But in a world where most of the applications in our daily lives are distributed (i.e., their functionality depends on communicating with other computers or accessing resources and data on the internet), the limited support for beginners to envision and create such distributed programs is a lost opportunity. We argue that it is feasible to create environments with simple yet powerful abstractions that open up distributed computing and other widely-used but advanced computing concepts including networking, the Internet of Things, and cybersecurity to novices. The paper presents the architecture of and design decisions behind NetsBlox, a programming environment that supports these ideas. We show how NetsBlox expands opportunities for learning considerably: NetsBlox projects can access a wealth of online data and web services, and they can communicate with other projects. Moreover, the tool infrastructure enables young learners to collaborate with each other during program construction, whether they share their physical location or study remotely. Importantly, providing access to the wider world will also help counter widespread student perceptions that block-based environments are mere toys, and show that they are capable of creating compelling applications. In this way, NetsBlox offers an illuminating example of how tools can be designed to democratize access to powerful ideas in computing.",,Corey Brady and Brian Broll and Gordon Stein and Devin Jean and Shuchi Grover and Veronica Cateté and Tiffany Barnes and Ákos Lédeczi,,https://doi.org/10.1016/j.cola.2022.101156,,,,2590-1184,Journal of Computer Languages,"Block based programming, NetsBlox, Distributed computing, Message passing, Remote procedure calls",,,101156,,,Block-based abstractions and expansive services to make advanced computing concepts accessible to novices,https://www.sciencedirect.com/science/article/pii/S2590118422000533,73,2022
article,TSAI2019224,"This study implemented an intervention using a visual programming language (VPL) to improve students' understanding of basic programming concepts. The VPL learning environment may reduce the difficulties in programming language learning and is suitable for teaching students who are not computer science majors. Meanwhile, the difference in learning performance of students with different levels of self-efficacy was explored. The basic programming concepts included sequence, condition, and loop. A quasi-experimental design was employed in this study. The participants consisted of 180 students taking general courses at a university in southern Taiwan. Instruments included the Test of Basic Programming Concept and a self-efficacy questionnaire. The results indicated that the VPL teaching improved learners' understanding of basic programming concepts in the experimental group. The effect on basic programming concepts was especially large in students with moderate and low self-efficacy. The implication is that the VPL has extensive potential for programming courses in the general education of universities.",,Chun-Yen Tsai,,https://doi.org/10.1016/j.chb.2018.11.038,,,,0747-5632,Computers in Human Behavior,"App inventor, Design-based learning, Programming, Self-efficacy, Visual programming language",,,224-232,,,Improving students' understanding of basic programming concepts through visual programming language: The role of self-efficacy,https://www.sciencedirect.com/science/article/pii/S0747563218305739,95,2019
article,BLANCO2012254,"Being measurements in time series the primary data source, a systematic methodology for operational diagnosis in short- and long-term is introduced. It is aimed to boilers for cogeneration in industrial power plants such as, pulp and paper mills, nickel processing and sugar cane factories and for electricity production in thermal power plants. To identify Multivariable States Steady is the main root for whatever variants for data preprocessing and processing. Backgrounds from different disciplines have been harmonically integrated. As example, a development on existing steam generators brought. It means, each methodology's implementation represents, in fact, an innovative and silent technology for environmental regulations meeting and energy saving in industry.",,J.M. Blanco and L. Vazquez and F. Peña and D. Diaz,,https://doi.org/10.3182/20120902-4-FR-2032.00046,,,,1474-6670,IFAC Proceedings Volumes,"Boilers, Steam generators, diagnosis, thermal properties, renewable energy systems, detector algorithms, data processing, steady state values, industrial power plant, energy management systems",8th Power Plant and Power System Control Symposium,21,254-259,,,Diagnosing steam production systems on their multivariable steady states,https://www.sciencedirect.com/science/article/pii/S1474667016319784,45,2012
article,GIANNAKOS2020100170,"Designing technology for and with children is the main focus of the Child–Computer Interaction (CCI) community. The questions posed are; how can we better understand children’s needs? and how can we design for and with them? The annual Interaction Design and Children (IDC) Conference, as the premier event in CCI, offers a channel for presenting and discussing state of the art research endeavors and exhibiting the most recent developments in CCI. Drawing from the highest peer-reviewed papers from IDC’18, this special issue of the International Journal of Child–Computer Interaction presents advancements from five selected contributions. This editorial introduction further draws attention to the great potential and need for furthering CCI research to understand and improve the design, development, and use, of interactive technologies for children.",,Michail Giannakos and Michael Stephen Horn and Elisa Rubegni,,https://doi.org/10.1016/j.ijcci.2020.100170,,,,2212-8689,International Journal of Child-Computer Interaction,"Child Computer Interaction, Interaction Design and Children, Editorial",,,100170,,,Advancements on Child–Computer Interaction research: Contributions from IDC 2018,https://www.sciencedirect.com/science/article/pii/S2212868920300052,23-24,2020
article,LIU2023101339,"Creativity is an essential basic skill for students. In this study, the reverse engineering pedagogy (REP) was applied to primary school students’ robotics education course, with the aim of investigating the influence of REP and project-based pedagogy (PBP) on the cultivation of students' creativity. A quasi-experimental study that utilized a non-equivalent groups design was conducted with 91 fifth-grade students, comprising a control group (n = 46) who received the PBP intervention, and an intervention group (n = 45) who received the REP intervention. Creative self-efficacy, Torrance Tests of Creative Thinking Figural (TTCT-Figural), and assessment of the students’ robotic creative products were conducted to evaluate students’ creativity. In addition, t tests, ANCOVA, and ANOVA were used to analyze the data to determine whether REP could improve students’ creativity better than PBP. The results showed that REP could enhance students’ creative self-efficacy and their robotic creative products score more than PBP could, but not the TTCT-Figural score after the confounding effect of fluency was controlled for. In the intervention group, creative self-efficacy and creative thinking were improved after intervention. Overall, REP has more advantages than PBP for promoting primary school students' creativity. The findings of this study provide a reference and teaching strategies guidance for the cultivation of K-12 students' creativity in robotics education.",,Xiaohong Liu and Jianjun Gu and Li Zhao,,https://doi.org/10.1016/j.tsc.2023.101339,,,,1871-1871,Thinking Skills and Creativity,"Creativity, Reverse engineering pedagogy, Creative thinking, Robotics education, Creative self-efficacy",,,101339,,,Promoting primary school students’ creativity via reverse engineering pedagogy in robotics education,https://www.sciencedirect.com/science/article/pii/S1871187123001086,49,2023
article,SHARMA2022100536,"Educational research has used the information extracted from facial expressions to explain learning performance in various educational settings like collaborative learning. Leveraging this, we extracted the emotions based upon two different theoretical frameworks from videos with children aged 13–16 while collaborating to create games using Scratch. The two sets of emotions are based on the control value theory (happiness, sadness, anger, surprise) and the education-specific expressions (frustration, boredom, confusion, delight). We computed the groups’ objective performance, which was calculated based on their created artifacts. We divided them into high and low performance and compared them based on individual emotions’ duration and the transitions among the emotions. We also used the subjective indication of their perceived performance from a self-reported questionnaire, divided them into another performance category, and did a similar analysis with the objective performance. Results show that the objective performance is better explained by the education-specific emotions and the negative valance emotions from the control value theory-based emotions. On the other hand, subjective performance is better explained by the control value theory based on emotions. Based on the results, we suggest implications both for the instructors and students.",,Kshitij Sharma and Sofia Papavlasopoulou and Michail Giannakos,,https://doi.org/10.1016/j.ijcci.2022.100536,,,,2212-8689,International Journal of Child-Computer Interaction,"Control value theory, Facial expressions, Emotions, Affect, Collaborative learning, Collaborative coding",,,100536,,,Children’s facial expressions during collaborative coding: Objective versus subjective performances,https://www.sciencedirect.com/science/article/pii/S221286892200054X,34,2022
article,BUSSABAN20151443,"Undergraduate students majoring in Computer Science and Mathematics are entering the workforce not only as programmers and mathematicians but also as data and business intelligent analysts. These job profiles require students to effectively utilize databases and data warehouses technologies, summarize data from external sources including the Internet and provide solutions to complicate, dynamic and ever-changing problems. These areas of hard skills have not been integrated as a major component of undergraduate programs in mathematics and computer science. This paper is aimed at showing how to motivate the significance of mastering data science proficiency as well as depicting examples and resources for lecturers in implementing data science in computer sciences and mathematics curriculum. Two case studies from Computer Science and Informatics Mathematics Programs at Faculty of Science and Technology, Suan Sunandha Rajabhat University in Bangkok, Thailand are presented.",,Kanyarat Bussaban and Phanu Waraporn,,https://doi.org/10.1016/j.sbspro.2015.07.092,,,,1877-0428,Procedia - Social and Behavioral Sciences,"Undergraduate Science Curriculum, Data Science, Data Analyst",7th World Conference on Educational Sciences,,1443-1446,,,Preparing Undergraduate Students Majoring in Computer Science and Mathematics with Data Science Perspectives and Awareness in the Age of Big Data,https://www.sciencedirect.com/science/article/pii/S1877042815040860,197,2015
article,KOVALCHUK2024102379,,,Sergey V. Kovalchuk and Clélia {de Mulatier} and Valeria V. Krzhizhanovskaya and Jiří Mikyška and Maciej Paszyński and Jack Dongarra and Peter M.A. Sloot,,https://doi.org/10.1016/j.jocs.2024.102379,,,,1877-7503,Journal of Computational Science,,,,102379,,,Computation at the Cutting Edge of Science,https://www.sciencedirect.com/science/article/pii/S1877750324001728,81,2024
article,WOLFENGAGEN2016353,A concordance in cognition activity of possibly interrelated crowdsourcers aimed to property recognition in the voluminous data sources is considered. Data sources are of either usual nature or manually generated with the crowdsourcing. The proposed model is based on the variable domains assumption. A general layout is able to take into account an interaction of crowdsourcers and properties when they are varying with the evolving the events. The cognition model is of stage-by-stage type and has the representable functor. This model as may be shown is faithfully embedded into a category of indexed sets. Using the proposed neighborhood for cognition activity leads to a flexible computing model.,,Viacheslav E. Wolfengagen and Larisa Yu. Ismailova and Sergey Kosikov,,https://doi.org/10.1016/j.procs.2016.07.448,,,,1877-0509,Procedia Computer Science,"crowdsourcing, Big Data, Thick Data, variable domains, cognition model, concordance, computational model","7th Annual International Conference on Biologically Inspired Cognitive Architectures, BICA 2016, held July 16 to July 19, 2016 in New York City, NY, USA",,353-358,,,Concordance in the Crowdsourcing Activity,https://www.sciencedirect.com/science/article/pii/S1877050916317045,88,2016
article,MAERTENS2024101755,"Source code plagiarism is a significant issue in educational practice, and educators need user-friendly tools to cope with such academic dishonesty. This article introduces the latest version of Dolos, a state-of-the-art ecosystem of tools for detecting and preventing plagiarism in educational source code. In this new version, the primary focus has been on enhancing the user experience. Educators can now run the entire plagiarism detection pipeline from a new web app in their browser, eliminating the need for any installation or configuration. Completely redesigned analytics dashboards provide an instant assessment of whether a collection of source files contains suspected cases of plagiarism and how widespread plagiarism is within the collection. The dashboards support hierarchically structured navigation to facilitate zooming in and out of suspect cases. Clusters are an essential new component of the dashboard design, reflecting the observation that plagiarism can occur among larger groups of students. To meet various user needs, the Dolos software stack for source code plagiarism detection now includes a self-hostable web app, a JSON application programming interface (API), a command line interface (CLI), a JavaScript library and a preconfigured Docker container. Clear documentation and a free-to-use instance of the web app can be found at https://dolos.ugent.be. The source code is also available on GitHub.",,Rien Maertens and Maarten {Van Neyghem} and Maxiem Geldhof and Charlotte {Van Petegem} and Niko Strijbol and Peter Dawyndt and Bart Mesuere,,https://doi.org/10.1016/j.softx.2024.101755,,,,2352-7110,SoftwareX,"Web app, Plagiarism, Source code, Academic dishonesty, Cheating, Learning analytics, Educational data mining, Online learning, Programming language",,,101755,,,Discovering and exploring cases of educational source code plagiarism with Dolos,https://www.sciencedirect.com/science/article/pii/S2352711024001262,26,2024
