ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,series,title,url,volume,year
article,PINHEIRO2024100234,"In technology education, there has been a paradigmatic shift towards student-centered approaches such as learning by doing, constructionism, and experiential learning. Educational robotics allows students to experiment with building and interacting with their creations while also fostering collaborative work. However, understanding the student's response to these approaches is crucial to adapting them during the teaching-learning process. In this sense, neuroscientific tools such as Functional Near-Infrared Spectroscopy and Eye-tracker could be useful, allowing the investigation of relevant states experienced by students. Although they have already been used in educational research, their practical relevance in the teaching-learning process has not been extensively investigated. In this perspective article expressing our position, we bring four examples of learning experiences in a robotics class with children, in which we illustrate the usefulness of these tools.",,Eneyse Dayane Pinheiro and João Ricardo Sato and Raimundo da Silva Soares Junior and Candida Barreto and Amanda Yumi Ambriola Oku,,https://doi.org/10.1016/j.tine.2024.100234,,,,2211-9493,Trends in Neuroscience and Education,"STEM, STEAM, Student-centered approaches, Educational robotics, fNIRS, Eye-tracker",,,100234,,,Eye-tracker and fNIRS: Using neuroscientific tools to assess the learning experience during children's educational robotics activities,https://www.sciencedirect.com/science/article/pii/S2211949324000152,36,2024
article,BRIAN2023129074,"We introduce mindset streams for assessing ways of bridging two target concepts in concept maps. We focus on behavioural forma mentis networks (BFMN), which map the associative and affective dimensions of memory recalls. Inspired by trains of thoughts taking several paths to link ideas, mindset streams are defined as BFMN subgraphs induced by all shortest paths between two target concepts, e.g. all recalls in shortest paths bridging “math” and “learning”. These streams quantify the following features of the mindset encoded in a BFMN: (i) semantic content (i.e. which ideas mediate connections between targets?), (ii) valence coherence/conflict (i.e. are connections mediated by entwining ideas perceived negatively, positively or neutrally?), and (iii) semantic relevance (i.e. are the bridges between targets peripheral or central for the connectivity/betweenness of the BFMN?). We investigate mindset streams between ‘maths”/“physics” and key motivational aspects of learning (“fun”, “work”, “failure”) in two BFMNs, encoding how 159 students and 59 experts perceived and associated concepts about Science Technology Engineering and Maths (STEM), respectively. Statistical comparisons against configuration models show that high schoolers bridge “maths” and “fun” only through overabundant levels of valence-conflicting associations, contrasting negatively perceived domain knowledge with peer-related positive experiences. This conflict is absent in the researchers’ mindset stream, which rather bridges “math” and “fun” through positive, science-related associations. The mindset streams of both groups bridge “maths” and “physics” to “work” through mostly positive career-related jargon. Students’ mindset streams of “failure” and “math”/“physics” are dominated by negative associations with test anxiety, whereas researchers integrate “failure” and “math”/“physics” in semantically richer and more positive contexts, denoting failure itself as a cornerstone of STEM learning. We discuss our findings and future research directions in view of relevant psychology/education literature.",,Kieran Brian and Massimo Stella,,https://doi.org/10.1016/j.physa.2023.129074,,,,0378-4371,Physica A: Statistical Mechanics and its Applications,"Cognitive modelling, Network science, Cognitive network science, Mindset reconstruction, STEM learning",,,129074,,,Introducing mindset streams to investigate stances towards STEM in high school students and experts,https://www.sciencedirect.com/science/article/pii/S0378437123006295,626,2023
article,SCHAPER2023100617,,,Marie-Monique Schaper and Rachel Charlotte Smith and Ole Sejer Iversen and Christopher Frauenberger and Netta Iivari and Anja Zeising and Mike Tissenbaum and Elizabeth Marie Bonsignore and Jason Yip,,https://doi.org/10.1016/j.ijcci.2023.100617,,,,2212-8689,International Journal of Child-Computer Interaction,,,,100617,,,"Computational Empowerment and children: Expanding empowerment, agency and participation in computation",https://www.sciencedirect.com/science/article/pii/S2212868923000545,38,2023
incollection,PINA2020579,"Digital technology transformed games and gaming in recent decades conferring certain benefits to the creativity of individual players and social groups. This article will review a retrospective account of play theory and discuss the psychological costs and benefits of deep engagement in play. Then, from the position of articulating creative benefits to the individual and society, two complementary theories will be employed elaborating significant characteristics of creativity in gaming with the intention of highlighting the utility of constructs embedded in each theory, both as explanatory features and as foundations for further study.",Oxford,Jeremiah Piña,Encyclopedia of Creativity (Third Edition),https://doi.org/10.1016/B978-0-12-809324-5.23848-0,Third Edition,Steven Pritzker and Mark Runco,978-0-12-815615-5,,,"Technology, Gaming, Games, Video games, Personal creativity, Collaborative creativity, Creative benefits, Play, Play theory, Digital media, Gamifying learning",,,579-584,Academic Press,,Technology: Gaming,https://www.sciencedirect.com/science/article/pii/B9780128093245238480,,2020
incollection,YIP2023270,"Pre-service STEM teacher education has gained much importance in the last few decades. This article primarily discusses the challenges of preparing proficient STEM teachers that can be accounted for by the encompassing nature of STEM education, the availability of teacher training models in the field and a need for developing STEM-related technological pedagogical knowledge. Suggestions to address the challenges are provided.",Oxford,Valerie W.Y. Yip and Promail K.Y. Leung,International Encyclopedia of Education (Fourth Edition),https://doi.org/10.1016/B978-0-12-818630-5.13046-5,Fourth Edition,Robert J Tierney and Fazal Rizvi and Kadriye Ercikan,978-0-12-818629-9,,,"Integrative STEM education, Professional development models for pre-service STEM teachers, Technological pedagogical content knowledge, Place-based learning, Video-based learning",,,270-275,Elsevier,,Pre-service STEM teacher education,https://www.sciencedirect.com/science/article/pii/B9780128186305130465,,2023
article,BROLL2018189,The paper introduces a visual programming language and corresponding web and cloud-based development environment called NetsBlox. NetsBlox is an extension of Snap! and builds upon its visual formalism as well as its open source code base. NetsBlox adds distributed programming capabilities by introducing two well-known abstractions to block-based programming: message passing and Remote Procedure Calls (RPC). Messages containing data can be exchanged by two or more NetsBlox programs running on different computers connected to the Internet. RPCs are called on a client program and are executed on the NetsBlox server. These two abstractions make it possible to create distributed programs such as multi-player games or client–server applications. We believe that NetsBlox not only teaches basic distributed programming concepts but also provides increased motivation for high-school students to become creators and not just consumers of technology.,,Brian Broll and Ákos Lédeczi and Hamid Zare and Dung Nguyen Do and János Sallai and Péter Völgyesi and Miklós Maróti and Lesa Brown and Chris Vanags,,https://doi.org/10.1016/j.jpdc.2018.02.021,,,,0743-7315,Journal of Parallel and Distributed Computing,"Visual programming, Distributed programming, Computer science education",,,189-200,,,A visual programming environment for introducing distributed computing to secondary education,https://www.sciencedirect.com/science/article/pii/S0743731518300996,118,2018
article,OTTENBREITLEFTWICH2021100057,"Many stakeholders have suggested that if girls are not engaged in computer science at an early age, the field of computer science (CS) (and computing-related fields) will continue to lack gender diversity. We need more explorations of how curriculum impacts girls’ interest in computer science at the elementary level. The focus of this research project was to examine how an elementary problem-based learning (PBL) curriculum impacted girls’ understanding of and interest in CS. By utilizing a curriculum focused on a problem that emphasized social activism, we hypothesized that PBL CS could increase interest in CS for girls. This study used a mixed-method sequential explanatory research design to examine the implementation of a CS PBL curriculum with four 6th grade teachers and their 263 students. We collected student CS knowledge pre-tests and post-tests, student attitude surveys, student focus group interviews, teacher interviews, and researcher observation reflection notes. The knowledge tests were analyzed using a mixed measures ANOVA. The survey responses were analyzed using ANOVAs and effect sizes for each comparison were calculated using partial eta squared. The qualitative data was analyzed using a thematic approach that required four researchers to come to a consensus. Results suggested that although girls had less understanding of CS at the beginning, by the end of the curriculum, girls and boys performed similarly. However, there were still elements that were not successful. Girls’ attitudes towards computer science were significantly lower than the boys at the end of the curriculum. Conceptually, the curriculum needs to specifically address how CS could impact values held by girls.",,Anne T. Ottenbreit-Leftwich and Kyungbin Kwon and Thomas A. Brush and Michael Karlin and Minji Jeon and Katie Jantaraweragul and Meize Guo and Hamid Nadir and Fatih Gok and Parama Bhattacharya,,https://doi.org/10.1016/j.caeo.2021.100057,,,,2666-5573,Computers and Education Open,"Elementary education, Gender studies, Teaching/learning strategies",,,100057,,,The impact of an issue-centered problem-based learning curriculum on 6th grade girls’ understanding of and interest in computer science,https://www.sciencedirect.com/science/article/pii/S2666557321000288,2,2021
article,IBARRATORRES2024413,"Teaching programming logic to students who do not have a background in computer science is challenging, as the instructor has to awaken problem-solving, critical thinking, and logical reasoning skills Several programming tools have been created to teach coding concepts to computer science students of different ages. However, these tools are not well designed to meet the challenge of teaching programming to new developers who come with school training in other areas such as accounting, management, etc. Therefore, this research focused on analyzing the importance of the application of online programming tools to students starting college who come with a school background in an area other than technology. A pre/post experimental design was carried out with 82 first-level students of the Technical University of Ambato in the careers of Systems and Electronics. The results revealed that 45% of the students increased their levels of application and analysis in programming processes. In addition, the research revealed that students who come from a background other than computer science agree with the integration of online programming tools from the first level of university entrance since this method helps to improve their learning capacity.",,Fernando Ibarra-Torres and Gustavo Caiza and Marcelo V. García and Valeria Barona-Pico,,https://doi.org/10.1016/j.procs.2024.05.122,,,,1877-0509,Procedia Computer Science,"Programming logic, programming tools, software development, undergraduate student",International Conference on Industry Sciences and Computer Science Innovation,,413-419,,,Use of basic programming tools to foster programming logic in university students with school preparation other than computer science,https://www.sciencedirect.com/science/article/pii/S1877050924011384,237,2024
incollection,OKU2023123,"Teacher–student relationships have been found consistently important for student school effectiveness in mathematics in the last three decades. Although this observation is generally made from the teacher's perspective, neuroscience can provide new insights by establishing the neurobiological underpinning of social interactions. This paper further develops this line of research by utilizing graph theory to represent interactions between teachers and students at the neural level. Through hyperscanning with functional near-infrared spectroscopy (fNIRS), we collected data from the prefrontal cortex and the temporoparietal junction of 24 dyads composed of a teacher and a student. Each dyad used a board game to perform a programming logic class that consisted of three steps: independent activities (control), presentation of concepts, and interactive exercises. Graph theory provides results regarding the strength of teacher–student interaction and the main channels involved in these interactions. We combined graph modularity and bootstrap to measure pair coactivation, thus establishing the strength of teacher–student interaction. Also, graph centrality detects the main brain channels involved during this interaction. In general, the teacher's most relevant nodes rely on the regions related to language and number processing, spatial cognition, and attention. Also, the students' most relevant nodes rely on the regions related to task management.",,Amanda Yumi Ambriola Oku and Eneyse Dayane Pinheiro and Raimundo {da Silva Soares} and João Ricardo Sato,Brain and Maths in Ibero-America,https://doi.org/10.1016/bs.pbr.2023.10.005,,Mariuche Gomides and Isabela Starling-Alves and Flávia H. Santos,,0079-6123,,"Mathematics education, Teaching practice, Graph theory, fNIRS, Hyperscanning",,,123-143,Elsevier,Progress in Brain Research,Chapter Six - Analyzing teacher–student interactions through graph theory applied to hyperscanning fNIRS data,https://www.sciencedirect.com/science/article/pii/S0079612323001115,282,2023
article,LEE2024100211,"AI education aims to teach AI concepts, essential knowledge, and skills related to the fundamental ideas in AI. As AI becomes increasingly prevalent in our daily lives, schools and educators have started to recognize the importance of AI education in K-12 schools. However, there have been a limited number of studies reporting on the implementation of AI education in classrooms. This systematic review aimed to provide an overview of the current state of AI education in K-12 schools, exploring topics, instructional approaches, and learning outcomes. Twenty-five peer-reviewed journal articles published between 2018 and 2023 were selected for this systematic review. The findings highlighted that various topics were covered in K-12 AI education, including fundamental AI concepts, different types of AI, AI applications, and ethical considerations related to AI. To facilitate meaningful learning experiences, educators frequently integrated hands-on activities and project-based learning. The findings supported the benefits of AI education in enhancing students' AI literacy, problem-solving skills, and ethical reflections on AI's societal impact. Furthermore, it fostered motivation, positive attitudes toward AI, and an interest in technology while inspiring career aspirations. It is recommended to develop tailored AI curricula, instructional strategies, and appropriate tools and resources that seamlessly integrate into various subjects within the standard school curriculum.",,Sang Joon Lee and Kyungbin Kwon,,https://doi.org/10.1016/j.caeai.2024.100211,,,,2666-920X,Computers and Education: Artificial Intelligence,"Artificial intelligence, AI education, Systematic review, K-12",,,100211,,,"A systematic review of AI education in K-12 classrooms from 2018 to 2023: Topics, strategies, and learning outcomes",https://www.sciencedirect.com/science/article/pii/S2666920X24000122,6,2024
article,SOROKIN2022101177,"The study identifies and classifies skills as declared learning outcomes in entrepreneurship education programs and courses in higher education by looking at globally recognized universities, indexed in authoritative QS ranking and mentioned in literature (43 universities). We analyze descriptions of the declared expected results of entrepreneurship education located on universities’ official websites. We take into account both, available documents and general descriptions on the webpages. The method is manual content-analysis. We find a lack of consistency and high differentiation, including formulations related to thinking skills. We develop the classification of declared outcomes of entrepreneurship education in higher education institutions based on the ideas of human capital theory. This classification considers the role of thinking skills, which remains on periphery of current discussions about learning outcomes of entrepreneurship education.",,Pavel S. Sorokin and Svetlana E. Chernenko,,https://doi.org/10.1016/j.tsc.2022.101177,,,,1871-1871,Thinking Skills and Creativity,"Skills, Universities, Learning outcomes, Human capital",,,101177,,,Skills as declared learning outcomes of entrepreneurship training in higher education institutions across the globe: Classification and analysis with a focus on thinking skills,https://www.sciencedirect.com/science/article/pii/S1871187122001808,46,2022
article,KAFAI201819,"Making games is a prime example of constructionist learning, in particular in the age of digital play. Papert saw the relevance of making games for learning and literacy in terms of two powerful ideas: objects-to-think-with and hard fun. The article reviews reasons for the failure and successes of constructionist gaming over the last two decades.",,Yasmin B. Kafai,,https://doi.org/10.1016/j.ijcci.2018.04.002,,,,2212-8689,International Journal of Child-Computer Interaction,,,,19-21,,,Constructionist visions: Hard fun with serious games,https://www.sciencedirect.com/science/article/pii/S2212868917300478,18,2018
incollection,JAIPALJAMANI2023103,"STEM is recognized as a sustainable strategy in education to promote global economic development. However, the goals for STEM education encompass broader outcomes such as STEM literacy. This article positions STEM Education as an integrated field and argues for interdisciplinary and transdisciplinary approaches. The integrated STEM approach does present challenges for implementation such as practitioners having insufficient knowledge of STEM disciplines. Robotics and Makerspace are suggested as viable strategies for integrated STEM education. Studies indicate these two approaches provide a relevant context in informal and K-12 educational settings to show connections between STEM subjects and promote learning of STEM content.",Oxford,Kamini Jaipal-Jamani,International Encyclopedia of Education (Fourth Edition),https://doi.org/10.1016/B978-0-12-818630-5.13034-9,Fourth Edition,Robert J Tierney and Fazal Rizvi and Kadriye Ercikan,978-0-12-818629-9,,,"STEM, Integrated STEM education, Robotics, Makerspace, K-12 education, Informal education",,,103-111,Elsevier,,Makerspace and robotics as/for STEM education,https://www.sciencedirect.com/science/article/pii/B9780128186305130349,,2023
article,KATTERFELDT201872,"Physical computing toolkits have long been used in educational contexts to learn about computational concepts by engaging in the making of interactive projects. This paper presents a comprehensive toolkit that can help educators teach programming with an emphasis on collaboration, and provides suggestions for its effective pedagogical implementation. The toolkit comprises the Talkoo kit with physical computing plug-and-play modules and a visual programming environment. The key suggestions are inspired by the results of the evaluation studies which show that children (aged 14–18 in a sample group of 34 students) are well motivated when working with the toolkit but lack confidence in the kit’s support for collaborative learning. If the intention is to move beyond tools and code in computer education to community and context, thus encouraging computational participation, collaboration should be considered as a key aspect of physical computing activities. Our approach expands the field of programming with physical computing for teenage children with a focus on empowering teachers and students with not only a kit but also its appropriate classroom implementation for collaborative learning.",,Eva-Sophie Katterfeldt and Mutlu Cukurova and Daniel Spikol and David Cuartielles,,https://doi.org/10.1016/j.ijcci.2018.03.002,,,,2212-8689,International Journal of Child-Computer Interaction,"Collaborative learning, Education, Motivation, Physical computing, Programming, Toolkit",,,72-82,,,Physical computing with plug-and-play toolkits:Key recommendations for collaborative learning implementations,https://www.sciencedirect.com/science/article/pii/S2212868917300351,17,2018
article,FANG2024100632,"The application of games in the field of education has brought new developments and updated educational needs to games. To maintain and improve students' learning motivation and interest, and more effectively carry out personalized teaching capabilities, research focuses on students' personalized knowledge structure. Starting from tracking the differences in knowledge structures among different learners, a game model based on entrepreneurial education theory has been designed. Through modeling learner knowledge using Bayesian network, the research constructs a game framework of entrepreneurial education for adaptive learning. On this basis, a new feature crossover method is proposed to construct a deep knowledge tracking model based on feature embedding and attention mechanism. It was combined with adaptive learning technology to ultimately construct an entrepreneurial education game model that integrates adaptive learning and improved deep knowledge tracking. A total of 379 students participated in the experiment. The experimental results on the ASSISTments09 open data set show that the area value under the receptivity curve of this model is 0.913, which is 8.8% to 26.6% higher than that of advanced models of the same type. The performance of the research model is optimal on different training scale data. Students' adaptability to entrepreneurship education games is higher than classroom teaching, with a difference between 2% and 11%. The experimental data demonstrates the high applicability of this research method and also achieves the goal of game design, which has certain practical teaching application value.",,Ming Fang and Yan Liu and Chenbang Hu and Jian Huang and Lei Wu,,https://doi.org/10.1016/j.entcom.2023.100632,,,,1875-9521,Entertainment Computing,"Adaptive, Knowledge tracking, Entrepreneurship education, Games, Bayesian network",,,100632,,,An entrepreneurial education game for effectively Tracing the knowledge structure of college students - based on adaptive algorithms,https://www.sciencedirect.com/science/article/pii/S1875952123000873,49,2024
