ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,note,number,pages,publisher,series,title,url,volume,year
article,LAW2021100321,"In the past two decades, we have witnessed soaring efforts in applying Augmented Reality (AR) technology in education. Several systematic literature reviews (SLRs) were conducted to study AR educational applications (AREAs) and associated methodologies, primarily from the pedagogical rather than from the human–computer interaction (HCI) perspective. These reviews vary in goal, scale, scope, technique, outcome and quality. To bridge the gaps identified in these SLRs, ours is to meet fourfold objectives: to ground the analysis deeper in the usability and user experience (UX) core concepts and methods; to study the learning effect and usability/UX of AREAs and their relations by learner age; to reflect on the prevailing SLR process and propose improvement; to draw implications for the future development of AREAs. Our searches in four databases returned 714 papers of which 42, together with 7 from three existing SLRs, were included in the final analysis. Several intriguing findings have been identified: (i) the insufficient grounding in usability/UX frameworks indicates that there seems a disconnection between the HCI and technology-enhanced learning community; (ii) a lack of innovative AR-specific usability/UX evaluation methods and the continuing reliance on questionnaire may hamper the advances of AREAs; (iii) the learner age seems not a significant factor in determining the perceived usability and UX or the learning effect of AREAs; (iv) a limited number of studies at home suggests the missed opportunity of mobilizing parents to support children to deploy AREAs in different settings; (v) the number of AREAs for children with special needs remains disappointedly low; (vi) the threat of predatory journals to the quality of bibliometric sources amplifies the need for a robust approach to the quality assessment for SLR and transparency of interim results. Implications of these issues for future research and practice on AREAs are drawn.",,Effie Lai-Chong Law and Matthias Heintz,,https://doi.org/10.1016/j.ijcci.2021.100321,,,,2212-8689,International Journal of Child-Computer Interaction,"Augmented reality, Education, Usability, User experience, Systematic review",,,100321,,,Augmented reality applications for K-12 education: A systematic review from the usability and user experience perspective,https://www.sciencedirect.com/science/article/pii/S2212868921000477,30,2021
article,STEPHENS2021103466,"Human activities have extensively altered landscapes throughout the world and further changes are expected in the future. Anthropogenic impacts such as land use change, groundwater extraction and dam construction, along with the effects of climate change, interact with natural factors including soil weathering and erosion. Together, these processes create a constantly shifting, dynamic terrestrial environment that violates the assumption of stationarity commonly applied in hydrology. Consequently, hydrologists need to rethink both statistical and calibrated models to account for complex environmental processes. We review the literature on human-landscape-hydrological interactions to identify processes and feedbacks that influence water balances. Most of the papers covered consider only a few of these processes at a time and focus on structural attributes of the interactions rather than the short and long-term dynamics. We identify challenges in representing the scale-dependence, environmental connectivity and human-water interactions that characterize complex, dynamic landscapes. A synthesis of the findings posits connections between different landscape changes, as well as the associated timescales and level of certainty. A case study explores how different processes could combine to drive long-term shifts in catchment behavior. Recognizing that some important questions remain unaddressed by traditional approaches, we suggest the concept of ‘big laboratories’ in which multifaceted experiments are conducted in the environment by artificially inducing landscape change. These experiments would be accompanied by mechanistic modeling to both untangle experimental results and improve the theoretical basis of environmental models. An ambitious program of physical and virtual experimentation is needed to progress hydrologic prediction for dynamic landscapes.
Plain language summary
The Earth’s surface is constantly changing due to human-driven and natural processes. Shifts may be driven by humans directly (e.g. via land use change) or indirectly (e.g. by driving climate change that causes shifts in ecological communities). Other changes are natural, such as certain soil processes that lead to shifts in texture and properties over time. In many places, landscape change is now occurring at unprecedented rates. This impacts the water cycle, creating a need for models that are robust under changing conditions. Our paper synthesizes a wide range of literature on key aspects of landscape change that have wide-ranging implications for hydrology. We focus on the impacts of processes at different spatial and temporal scales, along with feedbacks between various environmental and anthropogenic shifts. We discuss connections between different landscape changes and the timescales over which they each affect the water cycle. A case study is presented to highlight the potential for cascading landscape disturbances that could alter long-term catchment response. Recognizing limitations in traditional data collection and modeling, we introduce the concept of ‘big laboratories’ to conduct environmental experiments under landscape change, providing an avenue for addressing the complex questions around hydrology in a changing world.",,C.M. Stephens and U. Lall and F.M. Johnson and L.A. Marshall,,https://doi.org/10.1016/j.earscirev.2020.103466,,,,0012-8252,Earth-Science Reviews,,,,103466,,,Landscape changes and their hydrologic effects: Interactions and feedbacks across scales,https://www.sciencedirect.com/science/article/pii/S0012825220305122,212,2021
article,OZTOP201343,"Mirror neurons for manipulation fire both when the animal manipulates an object in a specific way and when it sees another animal (or the experimenter) perform an action that is more or less similar. Such neurons were originally found in macaque monkeys, in the ventral premotor cortex, area F5 and later also in the inferior parietal lobule. Recent neuroimaging data indicate that the adult human brain is endowed with a “mirror neuron system,” putatively containing mirror neurons and other neurons, for matching the observation and execution of actions. Mirror neurons may serve action recognition in monkeys as well as humans, whereas their putative role in imitation and language may be realized in human but not in monkey. This article shows the important role of computational models in providing sufficient and causal explanations for the observed phenomena involving mirror systems and the learning processes which form them, and underlines the need for additional circuitry to lift up the monkey mirror neuron circuit to sustain the posited cognitive functions attributed to the human mirror neuron system.",,Erhan Oztop and Mitsuo Kawato and Michael A. Arbib,,https://doi.org/10.1016/j.neulet.2012.10.005,,,,0304-3940,Neuroscience Letters,"Mirror neuron, Computational model, Action recognition, imitation, language evolution, Mirror neuron development, Direct matching",The Mirror Neuron System,,43-55,,,"Mirror neurons: Functions, mechanisms and models",https://www.sciencedirect.com/science/article/pii/S0304394012013183,540,2013
incollection,CARETTE202215,"Our main models of computation (the Turing Machine and the RAM) and most modern computer architectures make fundamental assumptions about which primitive operations are realizable on a physical computing device. The consensus is that these primitive operations include logical operations like conjunction, disjunction and negation, as well as reading and writing to a large collection of memory locations. This perspective conforms to a macro-level view of physics and indeed these operations are realizable using macro-level devices involving thousands of electrons. This point of view is however incompatible with computation realized using quantum devices or analyzed using elementary thermodynamics as both these fundamental physical theories imply that information is a conserved quantity of physical processes and hence of primitive computational operations. Our aim is to redevelop foundational computational models in a way that embraces the principle of conservation of information. We first define what information is and what its conservation means in a computational setting. We emphasize the idea that computations must be reversible transformations on data. One can think of data as modeled using topological spaces and programs as modeled by reversible deformations of these spaces. We then illustrate this idea using three notions of data and their associated reversible computational models. The first instance only assumes unstructured finite data, i.e., discrete topological spaces. The corresponding notion of reversible computation is that of permutations. We show how this simple model subsumes conventional computations on finite sets. We then consider a modern structured notion of data based on the Curry–Howard correspondence between logic and type theory. We develop the corresponding notion of reversible deformations using a sound and complete programming language for witnessing type isomorphisms and proof terms for commutative semirings. We then “move up a level” to examine spaces that treat programs as data, which is a crucial notion for any universal model of computation. To derive the corresponding notion of reversible programs between programs, i.e., reversible program equivalences, we look at the “higher dimensional” analog to commutative semirings: symmetric rig groupoids. The coherence laws for these groupoids turn out to be exactly the sound and complete reversible program equivalences we seek. We conclude with some possible generalizations inspired by homotopy type theory and survey several open directions for further research.",,Jacques Carette and Roshan P. James and Amr Sabry,,https://doi.org/10.1016/bs.adcom.2021.11.009,,Ali R. Hurson,,0065-2458,,"Reversible programming, Reversible Boolean circuits, Monoidal categories, Type isomorphisms, Commutative semirings, Homotopy-type theory, Quantum circuits, Permutations",,,15-63,Elsevier,Advances in Computers,Chapter Two - Embracing the laws of physics: Three reversible models of computation,https://www.sciencedirect.com/science/article/pii/S0065245821000838,126,2022
article,ALFOUDARI2021104282,"Smart classrooms are paradigm innovations for enhanced learning behavior in digital learning environments. These environments offer benefits for inclusive and virtual learning, underscoring the need for assessments of current practices. Although research on smart classrooms propose models and systems for enhancing socio-technological integration, knowledge on socio-technological challenges of smart classrooms remains limited. This article applies a systematic review methodology in line with the PRISMA protocol and analyzes current social and technological challenges based on 105 articles published between 2000 and 2019. The review identifies social challenges that facilitate personalization for external factors and teaching methods, stimulate learner-oriented content, instructor, peer, and technology forms of engagement, and boost interactivity depending on the willingness of learners and instructors. The review also finds technological challenges that concern designing learning environments and integrating intelligent systems, analytical tools and analysis, system models and ontology, and mobile and social media applications. The review suggests areas for future research involving smart classroom design for continuity and consistency, quality attributes of smart classrooms, efficiency and sustainability of smart classroom infrastructure, and the development of a smart classroom modelling language.",,Aisha M. Alfoudari and Christopher M. Durugbo and Fairouz M. Aldhmour,,https://doi.org/10.1016/j.compedu.2021.104282,,,,0360-1315,Computers & Education,"Smart classroom, Systematic review, Socio-technological challenges, Technology-supported learning",,,104282,,,Understanding socio-technological challenges of smart classrooms using a systematic review,https://www.sciencedirect.com/science/article/pii/S0360131521001597,173,2021
article,REISENZEIN20096,"Describes the outlines of a computational explication of the belief–desire theory of emotion, a variant of cognitive emotion theory. According to the proposed explication, a core subset of emotions including surprise are nonconceptual products of hardwired mechanisms whose primary function is to subserve the monitoring and updating of the central representational system of humans, the belief–desire system. The posited emotion-producing mechanisms are analogous to sensory transducers; however, instead of sensing the world, they sense the state of the belief–desire system and signal important changes in this system, in particular the fulfillment and frustration of desires and the confirmation and disconfirmation of beliefs. Because emotions represent this information about the state of the representational system in a nonconceptual format, emotions are nonconceptual metarepresentations. It is argued that this theory of emotions provides for a deepened understanding of the role of emotions in cognitive systems and solves several problems of psychological emotion theory.",,Rainer Reisenzein,,https://doi.org/10.1016/j.cogsys.2008.03.001,,,,1389-0417,Cognitive Systems Research,"Emotion, Belief–desire theory, Metacognition, Affective computing, BDI",Modeling the Cognitive Antecedents and Consequences of Emotion,1,6-20,,,Emotions as metarepresentational states of mind: Naturalizing the belief–desire theory of emotion,https://www.sciencedirect.com/science/article/pii/S1389041708000272,10,2009
article,HORVATH2015161,"As a novel computational approach, ubiquitous computing was emerging at the beginning of the 1980s and has reached a rather mature level by now. It assumes that computing can be available anywhere, anytime and in any context due to technological developments, social demands and calm implementations. Over the years, the opportunities of this computing paradigm have been explored and the benefits have been exploited successfully in many application fields. This survey paper addresses ubiquitous computing from the perspective of enabling computer aided design. The specific objectives of the reported survey are to: (i) give an overall account of the current status of ubiquitous computing and technologies, (ii) cast light on how ubiquitous computing has influenced the development of CAD systems, tools, and methods, and (iii) critically investigate future development opportunities of ubiquitous computing enabled computer aided design. First, the paper discusses the principles and typical technologies of ubiquitous computing. Then, the development and spectrum of the so-called standard computer aided design tasks are analyzed from a computational point of view. Afterwards, the already implemented design enabling functionalities are discussed and some additional functional possibilities are considered. The literature provides evidence that ubiquitous computing has not managed to revolutionize the methodologies or the systems of computer aided design so far, though many researchers intensively studied the affordances and the application possibilities of ubiquitous technologies. One reason is that ubiquitous computing technologies had in the last two decades to compete with other kinds of computational technologies, such as high-capacity computing, high-speed networking, immersive virtual reality, knowledge ontologies, smart software agents, mobile communication, etc., which had a much stronger influence on the development of computer aided design methods and systems. In combination with the rather conservative and conventionalist industrial practice of CAD system development and application, this may explain why the ubiquitous computing revolution remained weak in computer aided design. The literature clearly indicates that application of ubiquitous technologies did not lead to radically new functionalities that could have been exploited by the concerned industries. Consequently, it seems to be possible that computer aided design simply steps over the paradigm of ubiquitous computing and expects new functionalities from the emerging new computing paradigms, such as brain–computer interfacing, cyber–physical computing, biological computing, or quantum computing.",,Imre Horváth and Regine W. Vroom,,https://doi.org/10.1016/j.cad.2014.10.006,,,,0010-4485,Computer-Aided Design,"Ubiquitous computing, Computer aided design, Ubiquitous design enablers, Competing technology exploitation, Ubiquitous CAD applications",,,161-175,,,Ubiquitous computer aided design: A broken promise or a Sleeping Beauty?,https://www.sciencedirect.com/science/article/pii/S0010448514002358,59,2015
article,2017iii,,,,,https://doi.org/10.1016/S1877-0509(17)31783-0,,,,1877-0509,Procedia Computer Science,,"Knowledge-Based and Intelligent Information & Engineering Systems: Proceedings of the 21st International Conference, KES-20176-8 September 2017, Marseille, France",,iii-xvii,,,Contents,https://www.sciencedirect.com/science/article/pii/S1877050917317830,112,2017
incollection,KIRK201771,"This chapter introduces the concepts of memory bound application. It uses matrix multiplication to illustrate opportunities for reducing the number of global memory accesses. It then introduces the tiling technique where barrier synchronization is used to coordinate the timing of executing threads for improved locality and reduced global memory accesses. The tiling techniques, however, involve additional complexities in boundary checks. The chapter uses matrix multiplication to illustrate the additional boundary checks needed for a tiled kernel to be applicable to arbitrary matrix sizes. The chapter concludes with an overview of how usage of shared memory and registers can affect the number of thread blocks that can be accommodated in each Streaming Multiprocessor.",,David B. Kirk and Wen-mei W. Hwu,Programming Massively Parallel Processors (Third Edition),https://doi.org/10.1016/B978-0-12-811986-0.00004-2,Third Edition,David B. Kirk and Wen-mei W. Hwu,978-0-12-811986-0,,,"Memory bandwidth, memory-bound, on-chip memory, tiling, strip-mining, shared memory, private memory, scope, lifetime, occupancy",,,71-101,Morgan Kaufmann,,Chapter 4 - Memory and data locality,https://www.sciencedirect.com/science/article/pii/B9780128119860000042,,2017
article,KHALAJZADEH2025107570,"Context:
Model-driven approaches are increasingly used in different domains, such as education, finance and app development, in order to involve non-developers in the software development process. Such tools are hugely dependent on visual elements and thus might not be accessible for users with specific challenges, e.g., visual impairments.
Objectives:
To locate and analyse existing literature on the accessibility of low-code approaches, their strengths and weaknesses and key directions for future research.
Methods:
We carried out a systematic literature review and searched through five leading databases for primary studies. We used both quantitative and qualitative methods for data synthesis.
Results:
After reviewing and filtering 918 located studies, and conducting both backward and forward snowballing, we identified 38 primary studies that were included in our analysis. We found most papers focusing on accessibility of visual languages and block-based programming.
Conclusion:
Limited work has been done on improving low code programming environment accessibility. The findings of this systematic literature review will assist researchers and developers in understanding the accessibility issues in low-code approaches and what has been done so far to develop accessible approaches.",,Hourieh Khalajzadeh and John Grundy,,https://doi.org/10.1016/j.infsof.2024.107570,,,,0950-5849,Information and Software Technology,"Systematic literature review, Low-code, Visual languages, Block-based programming, Accessibility",,,107570,,,Accessibility of low-code approaches: A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0950584924001757,177,2025
article,MELVILLE202198,,,Duncan J. Melville and Laura Martini and Kim Plofker,,https://doi.org/10.1016/j.hm.2021.01.002,,,,0315-0860,Historia Mathematica,,,,98-114,,,Abstracts,https://www.sciencedirect.com/science/article/pii/S0315086021000021,55,2021
article,LEECULTURA2022100355,"Motion-Based Learning Technologies (MBLT) offer a promising approach for integrating play and problem-solving behaviour within children’s learning. The proliferation of sensor technology has driven the field of learning technology towards the development of tools and methods that may benefit from the produced Multi-Modal Data (MMD). Such data can be used to uncover cognitive, affective and physiological processes during learning activities. Combining MMD with more traditionally exercised assessment tools, such as video content analysis, provides a more holistic understanding of children’s learning experiences and has the potential to enable the design of educational technologies capable of harmonising children’s cognitive, affective and physiological processes, while promoting appropriately balanced play and problem-solving efforts. However, the use of an MMD mixed methods approach that combines qualitative and MMD data to understand children’s behaviours during engagement with MBLT is rather unexplored. We present an in-situ study where 26 children, ages 10–12, solved a motion-based sorting task for learning geometry. We continuously and unobtrusively monitored children’s learning experiences using MMD collection via eye-trackers, wristbands, Kinect joint tracking, and a web camera. We devised SP3, a novel observational scheme that can be used to understand children’s solo interactions with MBLT, and applied it to identify and extract children’s evoked play and problem-solving behaviour. Collective analysis of the MMD and video codes provided explanations of children’s task performance through consideration of their holistic learning experience. Lastly, we applied predictive modelling to identify the synergies between various MMD measurements and children’s play and problem-solving behaviours. This research sheds light on the opportunities offered in the confluence of video coding (a traditional method in learning sciences) and MMD (an emerging method that leverages sensors proliferation) for investigating children’s behaviour with MBLT.",,Serena Lee-Cultura and Kshitij Sharma and Michail Giannakos,,https://doi.org/10.1016/j.ijcci.2021.100355,,,,2212-8689,International Journal of Child-Computer Interaction,"Multimodal data, MMLA, Learning Analytics, Sensors, Cognitive Load Theory, Educational Technologies, Embodied Interaction, Multi-Modal mixed methods approach",,,100355,,,Children’s play and problem-solving in motion-based learning technologies using a multi-modal mixed methods approach,https://www.sciencedirect.com/science/article/pii/S2212868921000647,31,2022
