ENTRYTYPE,ID,abstract,address,author,booktitle,doi,edition,editor,isbn,issn,journal,keywords,number,pages,publisher,title,url,volume,year,note,series
article,KONG2024105126,"Recent studies identify Self-Regulated Learning (SRL) as a key factor in enhancing cognitive development, particularly within Computational Thinking (CT) literature. However, research gaps remain in understanding how SRL and CT interact from a developmental perspective. Our study designed a program with tailored animations and worksheets to specifically foster students' learning and cognitive development. Using a mixed-methods approach, we administered surveys among 1235 students from 29 Hong Kong primary schools to investigate a dynamic learning system comprising SRL and CT in a large-scale CT program. Additionally, semi-structured interviews were conducted with 15 students to further probe insights. Quantitative findings revealed a mutually reinforcing relationship in the dynamic system, suggesting that higher SRL skills enhance cognitive CT abilities, and vice versa. Complementing these results, qualitative findings showed that integrating animations and worksheets into the CT program significantly boosted students' SRL and cognitive development. These findings have significant implications for educational practices and curriculum design. Schools should consider implementing SRL strategies, such as proactive goal setting and reflective evaluation, within their curricula to promote students’ cognitive development. Furthermore, strategic investments in educational technology, including collaborations with EdTech developers, are essential to create effective, pedagogically sound tools that enhance learning outcomes. These insights provide valuable guidance for creating a supportive SRL environment that fosters cognitive development in primary school education.",,Siu-Cheung Kong and Yi-Qing Wang,,https://doi.org/10.1016/j.compedu.2024.105126,,,,0360-1315,Computers & Education,"Cognitive development, Computational thinking, Mixed methods design, Reciprocal dynamics, Self-regulated learning",,105126,,Dynamic interplays between self-regulated learning and computational thinking in primary school students through animations and worksheets,https://www.sciencedirect.com/science/article/pii/S0360131524001404,220.0,2024,,
article,SONG2021106746,"Educational research on predicting learners’ computer programming performance has yielded practical implications that guide task designs in computer education. There have been attempts to investigate learners’ computer programming patterns using high-frequency and automated data collection. This approach can be considered as process-based analysis as opposed to outcome-based analysis (i.e., the use of test or exam scores). In this process-based approach to investigate learners’ computer programming process, we included two critical constructs in our research, self-regulated learning and computational thinking skills. We aimed to identify learners’ computer programming patterns in the context that novice students learn a computer programming language, Python, in an online coding environment. We examined the relationships between the learners’ coding patterns, self-regulated learning, and computational thinking skills. Initially, we adopted a traditional approach with the aggregate data of learners’ computer programming behaviors. We then utilized a computational analytics approach to learner performance, self-regulated learning, and computational thinking skills, with ever-changing computer programming patterns. In our initial approach, the indicators of aggregate computer programming data were not associated with learners' learning performance and computational thinking skills. In the computational analysis approach, many indicators revealed significant differences between the identified patterns regarding computational thinking skills and self-regulated learning. Recommendations about the use of programming log data analysis methods and future scaffolding for computer programming learners are addressed.",,Donggil Song and Hyeonmi Hong and Eun Young Oh,,https://doi.org/10.1016/j.chb.2021.106746,,,,0747-5632,Computers in Human Behavior,"Self-regulated learning, Computational thinking skills, Computer education, Computational analysis, Computer programming",,106746,,"Applying computational analysis of novice learners' computer programming patterns to reveal self-regulated learning, computational thinking, and learning performance",https://www.sciencedirect.com/science/article/pii/S0747563221000686,120.0,2021,,
article,SUHERMAN2024101591,"In the field of education, research has consistently emphasized mathematical creative thinking as a crucial component of 21st-century skills. Thus, this cross-sectional study examines the predictors of such thinking by specifically focusing on the roles of perceived creativity, creative self-efficacy, and computational thinking. The participants consisted of 896 secondary school students (52.9 % female; 47.1 % male) in Indonesia who were asked to complete a series of online questionnaires and tests. For analysis, structural equation modeling was employed, demonstrating satisfactory construct validity and instrument reliability. Based on the results, there was a positive association between computational thinking and mathematical creative thinking. In addition, perceived creativity had a positive impact on mathematical creative thinking, whereas creative self-efficacy showed a negative association. As for the empirical model, it revealed that computational thinking plays a mediating role, connecting perceived creativity and creative self-efficacy to mathematical creative thinking. The findings suggest that incorporating these skills and related variables into the mathematics curriculums in schools is essential for preparing students for success in the 21st century.",,Suherman Suherman and Tibor Vidákovich,,https://doi.org/10.1016/j.tsc.2024.101591,,,,1871-1871,Thinking Skills and Creativity,"Computational thinking, Creative self-efficacy, Mathematical creative thinking, Perceived creativity, Structural equation modeling",,101591,,Role of creative self-efficacy and perceived creativity as predictors of mathematical creative thinking: Mediating role of computational thinking,https://www.sciencedirect.com/science/article/pii/S1871187124001299,53.0,2024,,
article,LEE2022102008,"This systematic review examined how computer science (CS) education was implemented in schools and its efficacy for developing students’ computational thinking (CT). Sixty-six papers were selected for this systematic review and analyzed for patterns in relation to the implementation of CS education in K-12 schools and its impact on the development of students’ CT skills. Although educational interventions have not always been successful in CS education, this review provides strong evidence that overall, CS education promotes the development of students’ CT in the K-12 setting while improving their creative and critical thinking skills. We recommend early access to CS education, various innovative instructional approaches to CS education and appropriate support and guidance for student learning.",,Sang Joon Lee and Gregory M. Francom and Jeremiah Nuatomue,,https://doi.org/10.1016/j.ijer.2022.102008,,,,0883-0355,International Journal of Educational Research,"Computer science education, Computational thinking, Programming, Systematic review, K-12",,102008,,Computer science education and K-12 students’ computational thinking: A systematic review,https://www.sciencedirect.com/science/article/pii/S0883035522000866,114.0,2022,,
article,SUN2024101542,"Recently, the development of computational thinking (CT) skills has become widespread in the whole world. There is a consensus to develop students’ CT skills through unplugged and plugged-in programming. However, the choice of programming approaches taught in schools is arbitrary and few studies have compared the effectiveness differences between unplugged and plugged-in programming. This study aimed to explore the differences between unplugged and plugged-in programming in developing CT skills of students in Grades 1-2 students. It also explored the joint effects of students’ gender, programming experience, programming interest, and programming confidence with different programming approaches on CT skills. The quasi-experimental research approach was used to conduct 10 weeks of unplugged, plugged-in, and regular programming activities with 124 Grades 1-2 students. The results found that unplugged programming promoted CT skills more in the early primary grades than plugged-in programming. We found that boys and students with programming experience in unplugged group performed significantly better in CT skills than in plugged-in group. Moreover, the improvement of CT skills of students in unplugged group was positively correlated with the level of their programming interest and programming confidence. However, these were not observed in plugged-in group. The results of this study can provide precise guidance for teaching CT skills to early primary school students and provide references for CT education.",,Lihui Sun and Junjie Liu and Yunshan Liu,,https://doi.org/10.1016/j.tsc.2024.101542,,,,1871-1871,Thinking Skills and Creativity,"Computational thinking, Primary school students, Unplugged and plugged-in programming, Influential factors",,101542,,Comparative experiment of the effects of unplugged and plugged-in programming on computational thinking in primary school students: A perspective of multiple influential factors,https://www.sciencedirect.com/science/article/pii/S1871187124000804,52.0,2024,,
article,LEI2020105439,"This meta-analysis examines whether greater computational thinking is linked to greater academic achievement among students from 1st graders in primary school to 4th year seniors at university. Results from 34 studies showed that computational thinking and academic achievement were positively correlated (0.288). Moderator analysis showed that this correlation was (a) stronger among students in Eastern cultures than Western cultures; (b) strongest among primary school students, less strong among secondary school students, and weakest among undergraduates; (c) stronger among females than males; and (d) strongest when assessing assignment scores; less strong with GPA, course grade, or tests; and weakest with quizzes. Neither subject content (e.g., math, science) nor sampling strategy (e.g., randomized, convenience) moderated the link between computational thinking and academic achievement. In sum, the positive link between computational thinking and academic achievement is moderated by culture, grade, achievement indicators, and gender.",,Hao Lei and Ming Ming Chiu and Feng Li and Xi Wang and Ya-jing Geng,,https://doi.org/10.1016/j.childyouth.2020.105439,,,,0190-7409,Children and Youth Services Review,"Computational thinking, Academic achievement, Meta-analysis, Students",,105439,,Computational thinking and academic achievement: A meta-analysis among students,https://www.sciencedirect.com/science/article/pii/S0190740920311725,118.0,2020,,
article,SEN2021100931,"In this study, it is aimed to identify the computational thinking skills used by gifted and talented students in integrated STEM activities based on the EDP. The case study design, a qualitative research method, is employed in the study. The participants consist of gifted and talented students attending the Science and Arts Center. Integrated STEM activities based on the EDP were conducted over the course of ten weeks and among these activities, robotic and 3D modeling-based robot construction activities using Lego sets are addressed in the present study. The STEM activity booklet, researchers' fieldnotes, and teaching process video recordings were used as data collection tools in the study. Data that was collected was analyzed through content analysis. It was seen that gifted and talented students participating in integrated STEM activities based on the EDP make active use of critical thinking skills while providing explanations, making associations, questioning information, giving justifications, solving problems, thinking creatively, making generalizations, and attempting to convince others; as for the instances of defining problems, creating solutions, and evaluating the effectiveness of the solution, the students were observed to actively use their problem-solving skills. The detailed account provided by the study on the way robotic and 3D robot modeling activities improve the computational thinking skills of gifted and talented students contributes to the required educational support and to the existing body of literature.",,Ceylan Sen and Zeynep Sonay Ay and Seyit Ahmet Kiray,,https://doi.org/10.1016/j.tsc.2021.100931,,,,1871-1871,Thinking Skills and Creativity,"Computational thinking skills, Engineering design process, Integrated STEM, Gifted and talented students",,100931,,Computational thinking skills of gifted and talented students in integrated STEM activities based on the engineering design process: The case of robotics and 3D robot modeling,https://www.sciencedirect.com/science/article/pii/S1871187121001462,42.0,2021,,
article,ZHANG2024105039,"In the artificial intelligence age, cultivating young children's computational thinking (CT) has sparked tremendous attention. Programmable robotics is a developmental-appropriate and screen-free means that provides young children with great opportunities to learn programming and develop CT. However, it is reported that young children might have difficulties learning abstract CT concepts. As a helpful pedagogical facilitator, metaphors can help turn abstract concepts into more concrete and clear concepts that learners are familiar with. Therefore, this research proposed a metaphor-based robot programming (MRP) approach and explored its impact on young children's CT and behavioral patterns. A total of 118 children aged 5–6 were recruited in this experiment with two conditions: the experimental group adopted the metaphor-based robot programming (MRP) approach while the control group used the conventional robot programming (CRP) approach. Results revealed that children who adopted the MRP approach outperformed children who adopted the CRP approach on CT. In addition, behavioral analysis indicated that the proposed MRP approach could facilitate children's superior learning performance and more positive learning behaviors, so as to help them achieve learning objectives. Accordingly, this study can provide insightful guidance and inspiration for future research on effective programming teaching and CT development for young children.",,Xinli Zhang and Yuchen Chen and Lailin Hu and Yiwei Bao and Yun-Fang Tu and Gwo-Jen Hwang,,https://doi.org/10.1016/j.compedu.2024.105039,,,,0360-1315,Computers & Education,"Teaching/learning strategies, Improving classroom teaching, Pedagogical issues, Interactive learning environments, Metaphors, Computational thinking, Early childhood education",,105039,,A metaphor-based robot programming approach to facilitating young children’s computational thinking and positive learning behaviors,https://www.sciencedirect.com/science/article/pii/S0360131524000538,215.0,2024,,
article,WANG2023101269,"Computational thinking (CT) is a necessary skill for students. It is as important as the other essential skills such as reading, writing, and arithmetic. However, how to improve students’ CT in robotics is still to be explored. Hence, this study examined the effects of computer supported project-based learning (CSPBL) on students’ CT and learning engagement through comparing students’ CT and engagement in two courses instructed by the same instructor (one instructed with a traditional method, the other instructed with CSPBL). Participants were seventy-nine students from a university in China. Questionnaires, interviews, and project analysis were used to measure students’ CT and learning engagement. The comparative results of self-reports and final projects indicated that the CSPBL enhanced students’ CT. The simulation project training based on the SenseStudy learning platform in CSPBL helped students debug the programming code, optimize the algorithm design, and improve their algorithmic thinking, cooperation, and problem solving during the program error correction. The CSPBL also improved students’ engagement in learning, especially for those with more than one year of programming experience. It was found that the CSPBL was effective in terms of improving students’ CT and engagement in robotics learning. This study provides teachers with practical suggestions to conduct effective robotics instruction.",,Yang Wang,,https://doi.org/10.1016/j.tsc.2023.101269,,,,1871-1871,Thinking Skills and Creativity,"Computational thinking, Learning engagement, Computer supported project-based learning, Robotics courses",,101269,,The role of computer supported project-based learning in students’ computational thinking and engagement in robotics courses,https://www.sciencedirect.com/science/article/pii/S1871187123000391,48.0,2023,,
article,UNG2022104379,"Malaysia has introduced computational thinking skills as part of a curriculum integration update to meet the global trends in 21st-century education, focusing on empowering digital literacy. Nevertheless, a preliminary investigation revealed an apparent lack of understanding of computational thinking skills in general among teachers. The study explores the feasibility of developing a localized E-learning system to train computational thinking skills among teachers. An E-learning system, termed as myCTGWBL, was developed on the basis of a newly proposed conceptual framework to present computational thinking teaching–learning repertoire to the teachers. The hypothesis is that myCTGWBL would develop teachers' computational thinking and its position in teaching–learning understanding. myCTGWBL relevance was tested through DeLone and McLean's information system and Urbach's collaboration quality construct. To determine the success factors, partial least squares structural equation modeling was used. A total of 369 teachers participated in a two-stage survey. Participants' understanding of computational thinking and perceptions were recorded at the pre- and post-intervention phases. Open-ended questions of the surveys were analyzed using a simple text analysis technique. The closed-ended questions surveys were analyzed using SPSS Statistics 22.0. A significant improvement in teachers' computational thinking teaching–learning repertoire in a relatively short period has been recorded. Teachers also demonstrated increased confidence in the future delivering computational thinking-based lessons. The E-learning conceptual framework has illustrated the predictive power between user intent, user satisfaction, and Computational thinking (CT) knowledge benefits. Results demonstrate that myCTGWBL could be used to guide future planning when establishing CT knowledge acquisition initiatives, particularly among teachers.",,Ling-Ling Ung and Jane Labadin and Fitri Suraya Mohamad,,https://doi.org/10.1016/j.compedu.2021.104379,,,,0360-1315,Computers & Education,"Computational thinking, E-Learning, Information system, Teaching and learning, Teachers",,104379,,Computational thinking for teachers: Development of a localised E-learning system,https://www.sciencedirect.com/science/article/pii/S0360131521002566,177.0,2022,,
article,WU2024105012,"Efforts to incorporate computational thinking (CT) into academic courses have been gaining popularity. CT is a problem-solving skill that is crucial in the 21st century. CT may be used to support language education. Courses in English as a foreign language often need an effective writing component that includes writing organization and language use, as demonstrated by the poor writing samples often generated by students of these courses. To address the problems, CT, which is a higher-order mode of problem-solving and knowledge acquisition optimization, was used. The experimental group was instructed using the CT teaching model based on CT's essential components (decomposition, generalization, abstraction, algorithm, and evaluation), whereas the control group was taught using the conventional method. In total, 58 undergraduate students divided into two groups participated in this study. A combination of writing, CT skills, surveys, and interviews were used to collect data according to an experimental design. The collected quantitative data were analyzed through analysis of covariance and structural equation modeling, and the MAXQDA 2022software was used to analyze the collected qualitative data. The results of this study indicate that incorporating CT into an English writing course enhances the writing and higher-order thinking skills of students. The CT concepts helps students develop critical thinking skills by evaluating the text and identifying potential issues or improvements. Additionally, it allows students to use their skills to create unique writing solutions, which can boost English writing creativity.",,Ting-Ting Wu and Lusia Maryani Silitonga and Astrid Tiara Murti,,https://doi.org/10.1016/j.compedu.2024.105012,,,,0360-1315,Computers & Education,"21-century abilities, Adult learning, Improving classroom teaching, Teaching/learning strategies",,105012,,Enhancing English writing and higher-order thinking skills through computational thinking,https://www.sciencedirect.com/science/article/pii/S0360131524000265,213.0,2024,,
article,TIKVA2021104083,"Computational Thinking (CT) through programming attracts increased attention as it is considered an ideal medium for the development of 21st century skills. This intense attention leads to K-12 initiatives around the world and a rapid increase in relevant research studies. However, studies show challenges in CT research and educational practice. In addition, the domain has not been mapped to facilitate comprehensive understanding of the domain challenges and development of CT curricula. The purpose of this study is to develop a conceptual model based on a systematic literature review that maps the CT through programming in K-12 education domain. The proposed Computational Thinking through Programming in K-12 education (CTPK-12) conceptual model emerges from the synthesis of 101 studies and the identification of CT Areas. The proposed model consists of six CT Areas (namely Knowledge Base, Learning Strategies, Assessment, Tools, Factors and Capacity Building) and their relationships. The model could aid domain understanding and serve as a basis for future research studies. In addition, it could support the integration of CT into K-12 educational practices, providing evidence to educational stakeholders and researchers as well as bringing closer research, practice and policy.",,Christina Tikva and Efthimios Tambouris,,https://doi.org/10.1016/j.compedu.2020.104083,,,,0360-1315,Computers & Education,"Computational Thinking, Programming, K-12 education",,104083,,Mapping computational thinking through programming in K-12 education: A conceptual model based on a systematic literature Review,https://www.sciencedirect.com/science/article/pii/S0360131520302815,162.0,2021,,
article,SU2023100122,"Computational thinking education has become an increasingly popular topic among practitioners and researchers. However, rare is known how to effectively teach and learn computational thinking in early childhood education. To address this knowledge gap, this systematic review examined 26 studies on the teaching and learning of computational thinking in early childhood education from 2010 to 2022. The content knowledge, tools, pedagogical design, assessment methods, and learning outcomes were analyzed. Results indicated that, with age-appropriate instructional design, children could develop early concepts and skills of computational thinking, as well as other related skills such as communication, collaboration, and problem solving. Across the studies, we found that most studies used quantitative research methods, with direct assessment and observation being the most. Several challenges were identified: (1) achieving a deeper learning of computational thinking; (2) a lack of valid and reliable computational thinking assessments for children with a wider age range; (3) selecting appropriate learning tools; and (4) designing age-appropriate activities for young learners. Although with these challenges, computational thinking education could bring new learning opportunities and enhance children's computational thinking skills, as well as other non-cognitive skills such as critical thinking, body-material interaction, and hand-eye coordination. This systematic review informs future endeavors in theorizing a digital learning framework that can integrate computational thinking into early childhood education.",,Jiahong Su and Weipeng Yang,,https://doi.org/10.1016/j.caeo.2023.100122,,,,2666-5573,Computers and Education Open,"Teaching/learning strategies, Pedagogical issues, 21st century abilities, Early years education, Teacher professional development",,100122,,A systematic review of integrating computational thinking in early childhood education,https://www.sciencedirect.com/science/article/pii/S2666557323000010,4.0,2023,,
