ENTRYTYPE,ID,abstract,author,doi,eprint,journal,number,pages,title,url,volume,year,note
article,doi:10.1177/1046878119901286,"Background Recent years have seen the resurgence of board games designed for entertainment, and to teach or explicate real life problems. The revival of board gameplay has been discussed in mainstream media, and has drawn the attention of researchers. Yet, in the field of games studies, the conception of games as learning spaces is mostly emphasized through digital/video games. Aim This literature review reveals the current knowledge regarding the learning potential of board games in various settings, subjects, and diverse learners. Results Board games are spaces for mathematical learning and learning spaces that can enable the learning of various contents. Board games allow for various interactions that result in players engaging in computational thinking, teamwork, and creativity. Conclusion The relationship between board gameplay and learning is evidenced across disciplines and countries. Board games simplify complex issues and systems, which make them appropriate to further explore learning and concepts such as motivation and computational thinking in formal and informal settings. Furthermore, there is need to expand research on learning in commercial board games.",Rebecca Yvonne Bayeck,10.1177/1046878119901286,https://doi-org.crai.referencistas.com/10.1177/1046878119901286,Simulation & Gaming,4,411–431,Examining Board Gameplay and Learning: A Multidisciplinary Review of Recent Research,https://doi-org.crai.referencistas.com/10.1177/1046878119901286,51,2020a,
article,doi:10.1177/0735633116642774,"Computational thinking has been gaining new impetus in the academic community and in K-12 level education. Scratch is a visual programming environment that can be utilized to teach and learn introductory computing concepts. There are some studies investigating the effectiveness of Scratch for K-12 level education. However, studies that have been conducted at the collegiate level, especially in the context of preservice computing teacher education, are very rare. The present study aimed to investigate the effect of Scratch-based instruction on preservice teachers’ understanding of basic programming concepts and their attitudes toward programming. In the present study, a mixed method design was utilized. In the first phase of the study, the data were collected using an achievement test, a practice test, and a computer programming attitude scale. In the second phase of the study, data were collected through a semistructured interview. The results of the study indicated that preservice teachers in Scratch-based instruction had significantly better understanding of basic computing concepts. Qualitative data indicated that Scratch-based instruction was useful in constructing a more meaningful learning environment for preservice teachers. The results of this study have implications for researchers and preservice computing teacher educators when designing an introductory computing course.",Ibrahim Cetin,10.1177/0735633116642774,https://doi-org.crai.referencistas.com/10.1177/0735633116642774,Journal of Educational Computing Research,7,997–1021,Preservice Teachers’ Introduction to Computing: Exploring Utilization of Scratch,https://doi-org.crai.referencistas.com/10.1177/0735633116642774,54,2016b,
article,doi:10.1177/07356331231171622,"Pattern recognition is an important skill in computational thinking. In this study, an equation puzzle game was developed by combining pattern recognition with algebraic reasoning, and scaffolding was designed to support learners’ learning. Sixty participants were enrolled in this study, divided into a control group and an experimental group to compare the results and differences in game achievement, flow, anxiety, and motivation of participants with and without algebraic reasoning scaffolding. The results of the study showed that the participants in both groups had positive flow and motivation during the game, did not feel over-anxious, and there was no significant difference in the game achievement of the two groups. In addition, the game with the scaffolding may have the potential to make a positive correlation between game achievement and psychological status. The results of this study indicated that the game did not cause too much anxiety to the participants. The scaffolding-based design achieves the intended effect on the participants’ assistance and facilitates the participants’ engagement in pattern recognition problem solving. And as learners became more focused and engaged, they could also perform better in the game. This game mechanism can be used as a reference for designing pattern recognition games.",Yu-Chi Chen and Chi-Yu Chao and Huei-Tse Hou,10.1177/07356331231171622,https://doi-org.crai.referencistas.com/10.1177/07356331231171622,Journal of Educational Computing Research,6,1232–1251,Learning Pattern Recognition Skills From Games: Design of an Online Pattern Recognition Educational Mobile Game Integrating Algebraic Reasoning Scaffolding,https://doi-org.crai.referencistas.com/10.1177/07356331231171622,61,2023c,
article,doi:10.1177/23813377231182093,"Although participatory culture promotes productive engagement in online spaces, members may respond in ways that constrain digital composition practices. This article provides theoretical and contextual background regarding a shift toward digital media production and programming-as-writing for youth. In addition, I describe the intersecting of computational thinking, computational participation, and participatory culture within Scratch, an online programming community. Findings from a descriptive case study focused on early adolescents as they engaged in digital media composition within an online programming community called Scratch are examined. Specifically, I discuss the contrast in the digital composition experiences of two participants as they leveraged participatory culture in the creation of digital media. This research highlights assumptions made regarding participatory cultures and the need to consider how to foster productive and sustainable digital literacy practices for youth in participatory cultures.",Julia Hagge,10.1177/23813377231182093,https://doi-org.crai.referencistas.com/10.1177/23813377231182093,"Literacy Research: Theory, Method, and Practice",1,200–217,Productivity Versus Sustainability: A Tale of Two Authors’ Engagement in Participatory Culture,https://doi-org.crai.referencistas.com/10.1177/23813377231182093,72,2023d,
article,doi:10.1177/07356331211017793,"The integration of visual programming in early formal education has been found to promote computational thinking of students. Teachers’ intuitive perspectives about optimal learning processes – “folk psychology” – impact their perspectives about teaching “folk pedagogy” and play a significant role in integrating educational technologies, such as visual programming, within the formal curriculum. This study was conducted based on the mixed method research paradigm. First, a folk pedagogy questionnaire was distributed to 89 teachers who integrate differing technologies in their classroom in order to identify the teachers’ pedagogical perspectives: constructivist versus instructivist. Then, semi-structured interviews were conducted with 24 teachers who teach Scratch in order to gain a deeper understanding of their instructivist/constructivist perspectives and actual pedagogical practices and strategies. Finally, we analyzed 96 students’ programming artifacts to explore differences, if any, in students’ outcomes related to the pedagogical perspectives of their teachers. Findings revealed that pedagogical perspectives are reflected in teaching strategies and assessment practices employed in a visual programming environment. It is promising that teaching visual programming promoted constructivist pedagogy even among instructivist teachers and was consequently reflected in student perspectives and expressed in their programming artifacts. We discuss theoretical and educational implications of these findings.",Avital Kesler and Tamar Shamir-Inbal and Ina Blau,10.1177/07356331211017793,https://doi-org.crai.referencistas.com/10.1177/07356331211017793,Journal of Educational Computing Research,1,28–55,Active Learning by Visual Programming: Pedagogical Perspectives of Instructivist and Constructivist Code Teachers and Their Implications on Actual Teaching Strategies and Students’ Programming Artifacts,https://doi-org.crai.referencistas.com/10.1177/07356331211017793,60,2022e,
article,doi:10.1177/1532708616655771,"Re-emphasizing our agenda for this special issue as marking the shift from epistemological to ontological concerns in social science inquiry, Patti Lather locates it in challenging the orthodoxies of both positivist and critical approaches to the calculative, computational thinking and the limits of reason. With a focus on an escape from psychometrics in education research, she grounds her remarks in the context of the wider terrain of the possibilities of quantification for cultural studies and (post)critical inquiry.",Patti Lather,10.1177/1532708616655771,https://doi-org.crai.referencistas.com/10.1177/1532708616655771,Cultural Studies ↔ Critical Methodologies,5,502–505,Post-Face: Cultural Studies of Numeracy,https://doi-org.crai.referencistas.com/10.1177/1532708616655771,16,2016f,
article,doi:10.1177/1077695820904971,"This syndicate offers four recommendations to help educators adjust curricula to accommodate the rapid integration of data into journalism. First, instruction in numeracy and basic descriptive statistics must be required as either modules in existing courses or as separate offerings. Second, students should be taught to avoid mistakes in interpreting and writing about data in both reporting and visual classes. Third, ethics courses should discuss data as a transparency tool that poses distinctive dilemmas. Fourth, computational thinking, or how to dissect and solve problems like a computer does, can be incorporated into existing classes that teach logic.",Norman P. Lewis and Mindy McAdams and Florian Stalph,10.1177/1077695820904971,https://doi-org.crai.referencistas.com/10.1177/1077695820904971,Journalism & Mass Communication Educator,1,16–21,Data Journalism,https://doi-org.crai.referencistas.com/10.1177/1077695820904971,75,2020g,
article,doi:10.1177/0735633115612785,"While pedagogical and technological affordances of three-dimensional (3D) multiuser virtual worlds in various educational disciplines are largely well-known, a study about their effect on high school students’ engagement in introductory programming courses is still lacking. This case study presents students’ opinions about their participation in a 3D multiuser game-like environment, by harnessing Second Life in combination with the two-dimensional (2D) programming environment of Scratch4SL. Following a blended instructional format (face-to-face in a computer laboratory and supplementary online courses), 56 students utilizing Scratch4SL participated in this study, with a view to reduce the “steep learning curve” created during their first-time entrance into Second Life. This study identifies Papert’s theory of Constructionism as a potentially appropriate theoretical foundation for the development of an instructional framework, in order to assist students to coordinate and manage learning materials with other teammates, using their computational thinking skills in collaborative problem-based programming tasks. The study findings based on a mixed-method research (a close-ended questionnaire and an open-ended interview) indicated the effectiveness of this “constructionist-oriented” instructional process for students’ engagement to acquire or empower social, cognitive, higher-order, and computational thinking skills. Educational implications and recommendations for future research are also discussed.",Nikolaos Pellas and Efstratios Peroutseas,10.1177/0735633115612785,https://doi-org.crai.referencistas.com/10.1177/0735633115612785,Journal of Educational Computing Research,1,108–143,Gaming in Second Life via Scratch4SL: Engaging High School Students in Programming Courses,https://doi-org.crai.referencistas.com/10.1177/0735633115612785,54,2016h,
article,doi:10.1177/1478210319894785,"Programming and computational thinking have emerged as compulsory skills in elementary school education. In 2018, Sweden has integrated programming in mathematics education with the rationale that it fosters problem solving and logical thinking skills and motivates students to learn mathematics. We investigated how teachers introduce programming in mathematics education in a Swedish primary school using an explorative case study. We followed four mathematics teachers during the first semester in which programming was mandatory. They taught second-, sixth- and ninth-grade students. Our contributions are threefold: we provide an account of how programming is taught in mathematics education; we discuss how teachers reflect on the challenge of teaching programming in mathematics; and we report on students’ understanding of programming and their view on the relationship between programming and mathematics.",Henrik Stigberg and Susanne Stigberg,10.1177/1478210319894785,https://doi-org.crai.referencistas.com/10.1177/1478210319894785,Policy Futures in Education,4,483–496,Teaching programming and mathematics in practice: A case study from a Swedish primary school,https://doi-org.crai.referencistas.com/10.1177/1478210319894785,18,2020i,
article,doi:10.1177/07356331231209773,"Computational thinking (CT) has received much attention in mathematics education in recent years, and researchers have begun to experiment with the integration of CT into mathematics education to promote students’ CT and mathematical thinking (MT) development. However, there is a lack of empirical evidence and new theoretical perspectives on the mechanisms of interaction between CT and MT. To address this research gap, this study analyses the participants’ thinking processes in solving programming-based mathematical problems from a flexibility perspective, focusing on the interplay between computational and mathematical thinking, that is, how CT and MT work together to influence and determine the problem-solver’s choice of solution strategy. Using data collected from a large design-based study, we summarise two types of flexibility and six subtypes of flexibility demonstrated by participants in the programming-based mathematical problem-solving process using thematic analysis. These different types of flexibility provide researchers and mathematics educators with new theoretical perspectives to examine the interplay of CT and MT. Findings will also contribute toward student learning characteristics in programming-based mathematical problem-solving to sketch the big picture of how CT and MT emerge in complementary or mismatching ways.",Huiyan Ye and Oi-Lam Ng and Zhihao Cui,10.1177/07356331231209773,https://doi-org.crai.referencistas.com/10.1177/07356331231209773,Journal of Educational Computing Research,2,594–619,Conceptualizing Flexibility in Programming-Based Mathematical Problem-Solving,https://doi-org.crai.referencistas.com/10.1177/07356331231209773,62,2024j,
article,doi:10.1177/00472395211018801,"The computer science (CS) unplugged approach intends to teach CS concepts and computational thinking skills without employing any digital tools. The current study conducted a systematic literature review to analyze research studies that conducted investigations related to implementations of CS unplugged activities. A systematic review procedure was developed and applied to detect and subsequently review relevant research studies published from 2010 to 2019. It was found that 55 research studies (17 articles + 38 conference proceedings) satisfied the inclusion criteria for the analysis. These research studies were then examined with regard to their demographic characteristics, research methodologies, research results, and main findings. It was found that the unplugged approach was realized and utilized differently among researchers. The majority of the studies used the CS unplugged term when referring to “paper–pencil activities,” “problem solving,” “storytelling,” “games,” “tangible programming,” and even “robotics.”",Ali Battal and Gülgün Afacan Adanır and Yasemin Gülbahar,10.1177/00472395211018801,https://doi-org.crai.referencistas.com/10.1177/00472395211018801,Journal of Educational Technology Systems,1,24–47,Computer Science Unplugged: A Systematic Literature Review,https://doi-org.crai.referencistas.com/10.1177/00472395211018801,50,2021a,
article,doi:10.2190/EC.51.2.c,"Scratch, a visual programming language, was used in many studies in computer science education. Most of them reported positive results by integrating Scratch into K-12 computer courses. However, the object-oriented concept, one of the important computational thinking skills, is not represented well in Scratch. Alice, another visual programming language, seems to have better illustration of the object-oriented concept for programming novices. To demonstrate effects of Alice and Scratch, we compared students’ responses to both visual programming languages, especially for students with low performances, in an introductory programming course. The relationships among learning engagement, learning anxiety, and learning playfulness were explored. The results could be referred to by computer science instructors to select proper visual programming language for corrective instruction.",Chih-Kai Chang,10.2190/EC.51.2.c,https://doi-org.crai.referencistas.com/10.2190/EC.51.2.c,Journal of Educational Computing Research,2,185–204,Effects of Using Alice and Scratch in an Introductory Programming Course for Corrective Instruction,https://doi-org.crai.referencistas.com/10.2190/EC.51.2.c,51,2014b,
article,doi:10.1177/0042085913490554,"Following the belief that diversity breeds innovation in scientific endeavors, there is a national push for more diversity in the science, technology, engineering, and mathematics (STEM) workforce in order to maintain national economic competitiveness. Currently, STEM-related employment is only 28% non-White; however, greater efforts to recruit and retain underrepresented minorities should increase this figure. Amidst the attention given to supporting “leaky pipelines,” less emphasis has been placed on mitigating challenges associated with bringing diverse cultures together. This article presents a framework for supporting underrepresented minorities in building STEM-relevant skills and enhancing their ability to collaborate with peers different from themselves.",Shaundra Bryant Daily and Wanda Eugene,10.1177/0042085913490554,https://doi-org.crai.referencistas.com/10.1177/0042085913490554,Urban Education,5,682–704,Preparing the Future STEM Workforce for Diverse Environments,https://doi-org.crai.referencistas.com/10.1177/0042085913490554,48,2013c,
article,doi:10.1177/0047239520926971,"Courses on computer programming are included in the curricula of almost all engineering disciplines. We surveyed the research literature and identified the techniques that are commonly used by instructors for teaching these courses. We observed that visual programming and game-based learning can enhance computational thinking and problem-solving skills in students and may be used to introduce them to programming. Robot programming may be used to attract students to programming, but the success of this technique is subjected to the availability of robots. Pair and collaborative programming allows students to learn from one another and write efficient programs. Assessment systems help instructors in evaluating programs written by students and provide them with timely feedback. Furthermore, an analysis of citations showed that Scratch is the most researched tool for teaching programming. We discuss how these techniques may be used to teach introductory courses, advanced courses, and massive open online courses on programming.",Kanika and Shampa Chakraverty and Pinaki Chakraborty,10.1177/0047239520926971,https://doi-org.crai.referencistas.com/10.1177/0047239520926971,Journal of Educational Technology Systems,2,170–198,Tools and Techniques for Teaching Computer Programming: A Review,https://doi-org.crai.referencistas.com/10.1177/0047239520926971,49,2020d,
article,doi:10.1177/0255761419861442,"This study explored how Australian music technology courses teach employability skills. A curriculum mapping of 63 undergraduate courses was conducted with course learning outcomes aligned against two benchmarks. The first benchmark was the Ten Skills for the Future Workforce which identifies key employability skills graduates will require in the coming decade. The second benchmark was the Australian Qualifications Framework Specification for the Bachelor Degree which defines the generic skills graduates must obtain through Australian Bachelor Degrees. This curriculum mapping reveals that Australian music technology courses teach Novel and Adaptive Thinking, Computational Thinking, New Media Literacy, and Design Mindsets universally. However, this curriculum mapping also reveals a deficit in employability skills related to Cross-Cultural Competency, Transdisciplinarity, Virtual Collaboration, and Collaboration more generally. The implications of this mapping is that Australian music technology educators seem to be prioritizing specific technical and creative skills over higher-order applications of skills and knowledge which are contextualized in their broader social and cultural contexts. Finally, this article shows how curriculum mapping can be implemented to embed employability skills progressively across a program sequence using a case study from the School of Music, University of Queensland.",Eve Klein and James Lewandowski-Cox,10.1177/0255761419861442,https://doi-org.crai.referencistas.com/10.1177/0255761419861442,International Journal of Music Education,4,636–653,Music technology and Future Work Skills 2020: An employability mapping of Australian undergraduate music technology curriculum,https://doi-org.crai.referencistas.com/10.1177/0255761419861442,37,2019e,
article,doi:10.1111/j.1467-9280.1994.tb00625.x,"Traditional theories of cognitive development predict that children progress from intuitive to computational thinking, whereas fuzzy-trace theory makes the opposite prediction To evaluate these alternatives, framing problems were administered to preschoolers, second graders, and fifth graders Consistent with fuzzy-trace theory, results indicated (a) that younger children focused on quantitative differences between outcomes and did not exhibit framing effects (risk avoidance for gains, risk seeking for losses) and (b) that older children assimilated these quantitative differences and displayed framing effects",Valerie F Reyna and Susan C Ellis,10.1111/j.1467-9280.1994.tb00625.x,https://doi-org.crai.referencistas.com/10.1111/j.1467-9280.1994.tb00625.x,Psychological Science,5,275–279,Fuzzy-Trace Theory and Framing Effects in Children’s Risky Decision Making,https://doi-org.crai.referencistas.com/10.1111/j.1467-9280.1994.tb00625.x,5,1994f,
article,doi:10.1177/1464884914545729,"Research on ‘digital’ journalism has focused largely on online news, with comparatively less interest in the longer-term implications of software and computational technologies. Drawing upon a 6-year study of the Toronto Star, this article provides an account of TOPS, an in-house web content management system which served as the backbone of thestar.com for 6 years. For some, TOPS was a successful software innovation, while for others, a strategic digital ‘property’. But for most journalists, it was slow, deficient in functionality, aesthetically unappealing and cumbersome. Although several organizational factors can explain TOPS’ obstinacy, I argue for particular attention to the complex ontology of software. Based on an outline of this ontology, I suggest software be taken seriously as an object of journalism, which implies acknowledging its partial autonomy from human use or authorization, accounting for its ability to mutate indefinitely and analysing its capacity to encourage forms of ‘computational thinking’.",Scott Rodgers,10.1177/1464884914545729,https://doi-org.crai.referencistas.com/10.1177/1464884914545729,Journalism,1,10–26,"Foreign objects? Web content management systems, journalistic cultures and the ontology of software",https://doi-org.crai.referencistas.com/10.1177/1464884914545729,16,2015g,
article,doi:10.1177/1470412920964905,"This article proposes thinking of media archaeology as an operating table upon which historical, material and technological interconnections between fashion and film are made. By exploring how early cinema and digital film can be coupled to textile as technology, more specifically through the mechanisms of the sewing machine and the Jacquard loom, it extends the historical span from the mid-1890s, with the invention of cinema as projection, to the early 1800s, when computational thinking was successfully implemented as weaving technique. Instead of focusing on film and fashion as means of visual representation, the author relies on the concept of inscription for a better understanding of both cinema (as recording of light and movement) and textile (with its various thread techniques of weaving, stitching, knitting, etc.).",Wanda Strauven,10.1177/1470412920964905,https://doi-org.crai.referencistas.com/10.1177/1470412920964905,Journal of Visual Culture,3,362–377,Sewing machines and weaving looms: a media archaeological encounter between fashion and film,https://doi-org.crai.referencistas.com/10.1177/1470412920964905,19,2020h,
