ENTRYTYPE,ID,abstract,annote,archiveprefix,arxivid,author,doi,editor,eprint,issn,journal,keywords,number,pages,pmid,publisher,title,url,volume,year
article,doi:10.1080/09500693.2016.1154998,"ABSTRACT: We investigated how Chinese physics teachers structured classroom discourse to support the cognitive and social aspects of inquiry-based science learning. Regarding the cognitive aspect, we examined to what extent the cognitive processes underlying the scientific skills and the disciplinary reasoning behind the content knowledge were taught. Regarding the social aspect, we examined how classroom discourse supported student learning in terms of students' opportunities to talk and interaction patterns. Our participants were 17 physics teachers who were actively engaged in teacher education programs in universities and professional development programs in local school districts. We analyzed one lesson video from each participating teacher. The results suggest both promises and challenges. Regarding the cognitive aspect of inquiry, the teachers in general recognized the importance of teaching the cognitive processes and disciplinary reasoning. However, they were less likely to address common intuitive ideas about science concepts and principles. Regarding the social aspect of inquiry, the teachers frequently interacted with students in class. However, it appeared that facilitating conversations among students and prompting students to talk about their own ideas are challenging. We discuss the implications of these findings for teacher education programs and professional development programs in China.",,,,"Jin, Hui and Wei, Xin and Duan, Peiran and Guo, Yuying and Wang, Wenxia",10.1080/09500693.2016.1154998,,,14645289,International Journal of Science Education,"Inquiry,classroom discourse,cognitive processes,disciplinary reasoning",2,319--343,,Routledge,{Promoting cognitive and social aspects of inquiry through classroom discourse},https://doi.org/10.1080/09500693.2016.1154998,38,2016
article,doi:10.1080/02635143.2022.2121692,"Background: Based on the literature review, shared characteristics of integrated STEM (I-STEM) curriculum includes an engaging and motivating context, student participation in engineering design activities, opportunity to redesign, engaging in mathematics or science content, having student-centred pedagogies, and teamwork and communication. These principles and more were used to analyse STEM activities published in NSTA journals. Purpose: It was to determine the extent to which the STEM activities published in three NSTA journals (Science and Children, Science Scope, and The Science Teacher) between the years 2013 and 2020 reflected the shared characteristics of I-STEM education. Sample: A total of 161 STEM teaching activities were analysed during the study. Methods: A STEM rubric (abbreviated as RACSTEM) developed by the authors. Expert panel reviews and intercoder agreement calculations provided support for the content validity and reliability of RACSTEM. The rubric was composed of seven main categories, namely, integrating different disciplines, real-world problem, learner-centeredness, teamwork, communication, redesign, and assessment. STEM activities were analysed based on RACSTEM through content analysis and reported using descriptive statistics. Results: Different combinations of STEM and non-STEM disciplines were integrated into the activities. 76% of the activities included real-world problems. Learner centred strategies (e.g. project-based learning) were utilized in 81% of the STEM papers. In 94% of the papers, students mostly participated in group work. Analysis revealed that 58% of the papers asked learners what they would change at the redesign stage. Finally, in the assessment aspect, the most problematic one, results showed discrepancies between the integrative nature of STEM and its assessment. Conclusion: It was unclear how many I-STEM activities were published in NSTA publications that fit the requirements for I-STEM once the NGSS was launched. The findings of this study, as well as the development of the RACSTEM instrument, seem to have the ability to resolve ambiguity.",,,,"{Aydin Gunbatar}, Sevgi and {Ekiz Kiran}, Betul and Boz, Yezdan and Roehrig, Gillian H.",10.1080/02635143.2022.2121692,,,14701138,Research in Science and Technological Education,"STEM characteristics,content analysis,professional journals",0,1--26,,Routledge,{A closer examination of the STEM characteristics of the STEM activities published in NSTA journals},https://doi.org/10.1080/02635143.2022.2121692,0,2022
article,doi:10.1080/2331186X.2022.2107303,"The values of mathematics in STEM education have become an issue that needs to be considered by mathematics educators. To address this issue, this qualitative study explores four Indonesian high school mathematics teachers' values of the relationships between mathematics and integrated STEM education. The phenomenography research approach was adopted as this study investigated participants' perceptions of the relationship between mathematics and integrated STEM education. The primary research tool was semi-structured interviews. To analyze the data, qualitative content analysis was performed using an abductive thematic approach. Three main findings were obtained in this study: (1) there were three categories of teachers' orientations: core, peripheral, and reciprocal; (2) there were five types of values of mathematics education for STEM education: application, integration, interest, performance, and usefulness; and (3) there were four types of values of STEM education for mathematics education: resolvable, supported, modellable, and thinkable. Additionally, it was interesting to see the teachers' different perspectives on the importance of highlighting mathematics in STEM education. Three teachers agreed that mathematics should be displayed explicitly, while one teacher believed that STEM activities are more successful if mathematics is only implicitly included. The findings and discussions contribute to the further design of an instrument to measure a variety of teachers' values of mathematics in STEM education.",,,,"Tambunan, Siska Nopa Br and Yang, Kai Lin",10.1080/2331186X.2022.2107303,,,2331186X,Cogent Education,"Mathematics,STEM,teacher,value",1,2107303,,Cogent OA,{Indonesian mathematics teachers' conceptions on values of the relationship between mathematics and STEM education},https://doi.org/10.1080/2331186X.2022.2107303,9,2022
article,doi:10.1080/1046560X.2024.2336769,"Bridging the theory-practice gap remains a challenge in preparing preservice elementary teachers for science teaching. Research experiences for undergraduates (REU) offer a potential way to help preservice elementary teachers (PSTs) come to value and implement research-based science teaching. REUs come in many forms but often take the form of either extracurricular research with a practicing scientist. Alternatively, practitioner inquiries are often used as part of a teacher preparation course or practicum but often are limited in time and scope. In this study, we report on a novel approach to an REU that combined the features of a traditional REU and practitioner inquiry, which we refer to as Extracurricular Practitioner Inquiry (EPI). PSTs collaboratively developed, tested, and prepared curricular units for publication as part of an extracurricular, funded project. A mixed-methods approach, including nonrandom matched pairs and semi-structured interviews, was used to investigate the impact of the EPI experience on PSTs' knowledge and beliefs about science teaching. As a result of their participation in the novel EPI, when compared with a control group, the PST participants developed beliefs more consistent with research-based science teaching. Support from collaborators, shifts in self-perception, and improved understanding of the research-practice relationship seem to have mediated changes in the PSTs' knowledge and beliefs about science teaching.",,,,"Wilcox, Jesse and Voss, Sarah and Kruse, Jerrid and Miller, Shelby and Fettkether, Lily",10.1080/1046560X.2024.2336769,,,15731847,Journal of Science Teacher Education,"Elementary preservice science teaching,REU,extracurricular practitioner inquiry,practitioner inquiry",7,756--776,,Routledge,{Research Experiences for Undergraduates Through Extracurricular Practitioner Inquiry: Exploring the Experiences of Preservice Elementary Teachers},https://doi.org/10.1080/1046560X.2024.2336769,35,2024
article,doi:10.1080/09588221.2018.1517125,"From a psycholinguistic perspective of view, there are many cognitive differences that matter to individuals' second-language acquisition (SLA). Although many computer-assisted tools have been developed to capture and narrow the differences among learners, the use of these strategies may be highly risky because changing the environments or the participants may lead to failure. In this paper, we propose an artificial neural network (ANN)-based computational model to simulate the environment to which students are exposed. The ANN computational model equips English teachers with the ability to quickly find the predicting factors to learners' overall English competences and also provides teachers with the ability to find abnormal students, based on reviewing their individualized ANN trajectories. Finally, by observing the compound effects of cognitive factors using the same evaluation scale, new hypotheses about the mutual relationships among the phonological awareness, phonological short-term memory, and long-term memory abilities of their students can be generated. Our experimental ANNs suggested three detailed corresponding conclusions for the participants' English teachers. These results provide teachers with guidance in designing and applying cognitive ability-related intervention strategies in their L2 pedagogical activities.",,,,"Yang, Juan and Thomas, Michael S.C. and Qi, Xiaofei and Liu, Xuan",10.1080/09588221.2018.1517125,,,17443210,Computer Assisted Language Learning,"Cognitive ability,artificial neural network,computational model,long-term memory,phonological awareness,short-term memory",4,366--397,,Routledge,{Using an ANN-based computational model to simulate and evaluate Chinese students' individualized cognitive abilities important in their English acquisition},https://doi.org/10.1080/09588221.2018.1517125,32,2019
article,doi:10.1007/s10972-014-9395-y,"Recommendations for reform in science education around the world set high goals for beginning elementary teachers. Concurrently, existing literature indicates a number of challenges that beginning elementary teachers face. In this paper an argument is put forward about the integration of informal science environments in elementary teacher preparation, as a means for supporting beginning elementary teachers develop reform-minded science teaching identities. Essentially, the purpose of this paper is to explore the links between teacher identity, reform recommendations, and informal science environments. In doing so, a discussion of the theoretical construct of teacher identity in conjunction with reform recommendations is offered, followed by a summary of existing literature about the challenges that beginning elementary teachers face. Subsequently, the advantages and unique opportunities that informal science environments offer for teacher learning and development are discussed through a review of related literature. Following this review, a set of theoretical and methodological limitations of existing literature are identified. Based on these limitations, a research agenda is framed to address the theoretical, methodological and research implications that the idea of integrating informal science environments and approaches to elementary teacher preparation holds.",,,,"Avraamidou, Lucy",10.1007/s10972-014-9395-y,,,15731847,Journal of Science Teacher Education,"Beginning teachers,Informal science,Reform recommendations,Teacher identity",7,823--843,,Routledge,{Developing a Reform-Minded Science Teaching Identity: The Role of Informal Science Environments},https://doi.org/10.1007/s10972-014-9395-y,25,2014
article,doi:10.5408/13-062.1,"This study examined students' knowledge, perceptions, and capability to communicate about climate change before and after taking a graduate-level global climate change education course. The 15 students in this study, as typical of many environmental education students in the master's program, had diverse backgrounds, often with weak academic preparation in science. This course was not only designed to help these students understand climate change education, but also to review fundamental Earth, life, and physical science concepts. Students' knowledge of climate change increased significantly after completing the course. Students' perceptions about climate change became significantly more aligned to those of climate scientists. Students' postcourse questionnaires and science journals were analyzed for insights into the effectiveness of the curriculum and instructional approach of the course. Because these students will pursue informal and formal environmental education careers, this study has important implications for the communication of science, and climate change in particular, in the context of public environmental education and formal school settings.",,,,"Lambert, Julie Lee and Bleicher, Robert E.",10.5408/13-062.1,,,21581428,Journal of Geoscience Education,"Argumentation,Assessment,Climate change communication,Climate change education,Environmental education,Misconceptions",4,388--401,,Routledge,{Improving climate change communication starting with environmental educators},https://doi.org/10.5408/13-062.1,62,2014
article,doi:10.1080/1046560X.2018.1514825,"Contemporary research has suggested that for students to compete globally, pedagogy must shift to emphasize the infusion of mathematics into science instruction to strengthen understanding. Innovative professional development programs are necessary to achieve this goal, particularly with respect to teaching graphing skills in the context of science. Although there is literature to substantiate that students respond positively in terms of interest, there has been little evidence to support improved science performance when both subjects are integrated. This large-scale quasi-experimental study examined impacts of a mathematics-infused science curriculum on students' science attitudes and achievement (N =1695). Data were collected from science assessments and attitudes surveys in mathematics-infused 8th grade science classrooms and compared to those from students in non-integrated settings. Data revealed positive student outcomes, including the ability to understand mathematics-infused scientific concepts (F(1, 1693) = 17.02, p <.001), higher confidence in graphing, and greater agreement with the notion that mathematics is a valuable tool in learning science (F(1, 1693) = 33.76, p <.001). Females outperformed males in science but there were no significant differences in achievement between students from high and low needs schools. Data from a single infused unit taught within one school district (n = 136) revealed similar science achievement findings with a large effect (F(1, 134) = 37.18, p <.001), though gender was not a significant predictor. These research findings will benefit educators seeking innovative, integrated curricula that improve science and mathematics understanding, as well as researchers who inform policy reform efforts.",,,,"McHugh, Luisa and Kelly, Angela M. and Burghardt, M. David",10.1080/1046560X.2018.1514825,,,15731847,Journal of Science Teacher Education,"STEM attitudes,STEM integration,assessment,middle school,professional development,science education",8,804--828,,Routledge,{Professional Development for a Middle School Mathematics-Infused Science Curriculum},https://doi.org/10.1080/1046560X.2018.1514825,29,2018
article,doi:10.1080/09500693.2017.1351650,"It is commonly recognised that practical work has a distinctive and central role in science teaching and learning. Although a large number of studies have addressed the definitions, typologies, and purposes of practical work, few have consulted practicing science teachers. This study explored science teachers' perceptions of experimentation for the purpose of restructuring school practical work in view of science practice. Qualitative interviews were conducted with 87 science teachers at the secondary school level. In the interviews, science teachers were asked to make a comparison between students' experiments and scientific experiments. Eight dimensions of experimentation were generated from the qualitative data analysis, and the distributions of these eight dimensions between the two types of experiments were compared and analysed. An ideal model of practical work was suggested for restructuring practical work at the secondary school level, and some issues related to the effective enactment of practical work were discussed.",,,,"Wei, Bing and Li, Xiaoxiao",10.1080/09500693.2017.1351650,,,14645289,International Journal of Science Education,"Practical work,experimentation,science practice,scientific experiments",13,1775--1794,,Routledge,{Exploring science teachers' perceptions of experimentation: implications for restructuring school practical work},https://doi.org/10.1080/09500693.2017.1351650,39,2017
article,doi:10.1080/15391523.2009.10782540,"Few early intervention efforts have improved the representation of women in computer science and engineering (CSE) disciplines, but pair programming has shown promise for reducing gender differences among college students. The current study is the first to examine this promising practice in middle school. In an effort to better understand what pair programming looks like, we describe an observational study of middle school girls. We coded audiotape transcripts to show the kinds of interactions that appear to promote or undermine effective problem solving. Be findings are interpreted in terms of how to promote the kinds of interactions that make it more likely that middle school students will persist in the kind of problem solving that will prepare them for @ r the r CSE coursework. {\textcopyright} 2009 Taylor & Francis Group, LLC. All rights reserved.",,,,"Werner, Linda and Denning, Jill",10.1080/15391523.2009.10782540,,,19450818,Journal of Research on Technology in Education,"Collaborative learning,Gender,Pair programming,Problem solving",1,29--49,,Routledge,{Pair programming in middle school: What does it look like?},https://doi.org/10.1080/15391523.2009.10782540,42,2009
article,doi:10.1080/1475939X.2021.1973550,"Over the past decade, government policies have placed significance on the development of school students' digital literacy as essential to their future participation in society. Yet, assessments of digital literacy continue to indicate that most young people use ICT in a relatively limited way, with varying patterns of digital literacy associated with family background. Drawing on the theory of practice, this qualitative study sought to examine the school-based digital literacy of four Australian primary school students from their own perspectives. Data were collected from home technology experience questionnaires, school-based digital literacy tasks and semi-structured interviews. The results of the study illuminated factors that worked to enable and constrain school-based digital literacy including students' home and school experiences with digital technologies and the different ways that students were able to leverage such experiences. The authors consider the implications for curriculum and pedagogy and provide suggestions for further research.",,,,"Apps, Tiffani and Agostinho, Shirley and Bennett, Sue",10.1080/1475939X.2021.1973550,,,17475139,"Technology, Pedagogy and Education","Primary school education,digital inequalities,digital literacy,student perspective,theory of practice",2,231--246,,Routledge,{‘Maybe it's the environment you grow up in?' Australian primary school students' reflections on their school-based digital literacy},https://doi.org/10.1080/1475939X.2021.1973550,31,2022
article,doi:10.1080/08993408.2024.2385876,"Background and Context: Cultural and social influences from peers, family, and media shape young people's views on technology careers. This study examines Danish students' perceptions and discourses of IT professionals and technology occupations. Objective: Unlike earlier studies focusing on science or STEM as a monolith, this study specifically addresses technology through descriptive drawings and Latent Profile Analysis (LPA). Method: We analyse Danish students' (aged 14–15) perceptions and discourses of IT professionals through descriptive drawings (N = 1,155) and LPA applied to close-ended items from a large questionnaire (N = 1,456). Findings: Thematic analysis identified six groups of IT professionals: 1) Sedentary, 2) Antisocial and Nerdy, 3) Sad, 4) Ordinary, 5) Smart, and 6) Kind. The LPA identified four profiles, revealing complex subtleties in students' perceptions. Implications: Implications for practice and future research are suggested, highlighting the potential benefits of combining these methods to explore young people's constructions of IT professionals.",,,,"Gr{\o}nh{\o}j, Elisabeth Omand and Wong, Billy and Bundsgaard, Jeppe",10.1080/08993408.2024.2385876,,,17445175,Computer Science Education,"DAST,Latent profile analysis,STEM,perceptions,stereotypes,technology",0,1--25,,Routledge,{Exploring young people's perceptions and discourses of technology occupations through descriptive drawings and a questionnaire},https://doi.org/10.1080/08993408.2024.2385876,0,2024
article,doi:10.1080/07380569.2023.2256729,"Citizen Development (CD) is a method of delivering low-code no-code (LCNC) development that empowers subject matter experts to design, develop, and deploy applications into production as though they were full-on, experienced coders. This paper explores teachers' perceptions around the potential for, and enactment of LCNC in our education system. Workshops, surveys, and interviews were conducted with in-service teachers. Teachers are open to improving their digital skills. Nevertheless, some teachers fear technology and are reluctant to embrace change. Our results indicate that it is timely to leverage the increased use of technologies in the classroom before teaching reverts to pre-pandemic norms of “face-to-face.” CD provides an excellent opportunity to introduce teachers and students to aspects of computer science without placing demands on them to develop technical skills. The paper provides considerations for the adoption of CD in our education system and in initial teacher education programs.",,,,"McHugh, Sally and Carroll, Noel and Connolly, Cornelia",10.1080/07380569.2023.2256729,,,15287033,Computers in the Schools,"Low-code-no-code,citizen development,teacher education",0,1--26,,Routledge,{Low-Code and No-Code in Secondary Education—Empowering Teachers to Embed Citizen Development in Schools},https://doi.org/10.1080/07380569.2023.2256729,0,2023
