ENTRYTYPE,ID,author,doi,editor,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/02635143.2023.2296445,"Jiahong Su, Iris Heung Yue Yim, Rupert Wegerif and Samuel Kai Wah Chu",10.1080/02635143.2023.2296445,," 

https://doi.org/10.1080/02635143.2023.2296445


",Research in Science \& Technological Education,,0,1--17,Routledge,STEAM in early childhood education: a scoping review," 

https://doi.org/10.1080/02635143.2023.2296445


",0,2024
article,doi:10.1080/00393541.2023.2255084,Ye Sul Park,10.1080/00393541.2023.2255084,," 

https://doi.org/10.1080/00393541.2023.2255084


",Studies in Art Education,,4,406--425,Routledge,Creative and Critical Entanglements With AI in Art Education," 

https://doi.org/10.1080/00393541.2023.2255084


",64,2023
article,doi:10.1080/10494820.2022.2127776,Ding-Chau Wang and Yong-Ming Huang,10.1080/10494820.2022.2127776,," 

https://doi.org/10.1080/10494820.2022.2127776


",Interactive Learning Environments,,5,1697--1709,Routledge,Self-efficacy is stronger than social support in predicting technology-enhanced hands-on learning," 

https://doi.org/10.1080/10494820.2022.2127776


",32,2024
article,doi:10.1080/02188791.2021.1985430,"Jun Liu, Qingyue Li, Xue Sun, Ziqi Zhu and Yanhua Xu",10.1080/02188791.2021.1985430,," 

https://doi.org/10.1080/02188791.2021.1985430


",Asia Pacific Journal of Education,,3,835--849,Routledge,Factors influencing programming self-efficacy: an empirical study in the context of Mainland China," 

https://doi.org/10.1080/02188791.2021.1985430


",43,2023
article,doi:10.1080/2331186X.2024.2330235,"Ishteyaaq Ahmad, Sonal Sharma, Rajesh Singh, Anita Gehlot, Lovi Raj Gupta, Amit Kumar Thakur, Neeraj Priyadarshi and Bhekisipho Twala",10.1080/2331186X.2024.2330235,," 

https://doi.org/10.1080/2331186X.2024.2330235


",Cogent Education,,1,2330235,Cogent OA,Inclusive learning using industry 4.0 technologies: addressing student diversity in modern education," 

https://doi.org/10.1080/2331186X.2024.2330235


",11,2024
article,doi:10.1080/00221341.2018.1439082,Thomas B. Larsen and John A. Harrington Jr.,10.1080/00221341.2018.1439082,," 

https://doi.org/10.1080/00221341.2018.1439082


",Journal of Geography,,3,133--136,Routledge,"Place, Learning Progressions, and Progress"," 

https://doi.org/10.1080/00221341.2018.1439082


",117,2018
article,doi:10.1080/00220671.2021.2019659,"Yian Hoon Lim, Joon Kiat Lee, Weiliang Ng and Tang Wee Teo",10.1080/00220671.2021.2019659,," 

https://doi.org/10.1080/00220671.2021.2019659


",The Journal of Educational Research,,1,25--36,Routledge,Implementation of PCM in a Singapore school: Impact on students’ learning outcomes," 

https://doi.org/10.1080/00220671.2021.2019659


",115,2022
article,doi:10.1080/00368555.2020.12293544,Sarah Haavind and Michelle Murtha,10.1080/00368555.2020.12293544,," 

https://doi.org/10.1080/00368555.2020.12293544


",The Science Teacher,,9,54--58,Routledge,Accessible Physics for All," 

https://doi.org/10.1080/00368555.2020.12293544


",87,2020
article,doi:10.1080/19338341.2016.1151720,Michael E. Wysession,10.1080/19338341.2016.1151720,," 

https://doi.org/10.1080/19338341.2016.1151720


",The Geography Teacher,,1,17--22,Routledge,Teaching the “Geo” in Geography with the Next Generation Science Standards," 

https://doi.org/10.1080/19338341.2016.1151720


",13,2016
article,doi:10.1080/14626268.2019.1682616,James W. Malazita and Korryn Resetar,10.1080/14626268.2019.1682616,," 

https://doi.org/10.1080/14626268.2019.1682616


",Digital Creativity,,4,300--312,CAA Website,Infrastructures of abstraction: how computer science education produces anti-political subjects," 

https://doi.org/10.1080/14626268.2019.1682616


",30,2019
article,doi:10.1080/10508406.2020.1828089,Thomas M. Philip and Pratim Sengupta,10.1080/10508406.2020.1828089,," 

https://doi.org/10.1080/10508406.2020.1828089


",Journal of the Learning Sciences,,2,330--349,Routledge,Theories of learning as theories of society: A contrapuntal approach to expanding disciplinary authenticity in computing," 

https://doi.org/10.1080/10508406.2020.1828089


",30,2021
article,doi:10.1080/13540602.2023.2263732,Rachel Moylan and Jillianne Code,10.1080/13540602.2023.2263732,," 

https://doi.org/10.1080/13540602.2023.2263732


",Teachers and Teaching,,4,452--470,Routledge,Algorithmic futures: an analysis of teacher professional digital competence frameworks through an algorithm literacy lens," 

https://doi.org/10.1080/13540602.2023.2263732


",30,2024
article,doi:10.1080/1475939X.2020.1796776,"Essi Vuopala, Diego Guzmán Medrano, Mariam Aljabaly, Dora Hietavirta, Lourdes Malacara and Chunxiao Pan",10.1080/1475939X.2020.1796776,," 

https://doi.org/10.1080/1475939X.2020.1796776


","Technology, Pedagogy and Education",,5,649--664,Routledge,Implementing a maker culture in elementary school – students’ perspectives," 

https://doi.org/10.1080/1475939X.2020.1796776


",29,2020
article,doi:10.1080/02640414.2020.1774143,Professor Sam Robertson,10.1080/02640414.2020.1774143,," 

https://doi.org/10.1080/02640414.2020.1774143


",Journal of Sports Sciences,PMID: 32530736,18,2118--2126,Routledge,Man \& machine: Adaptive tools for the contemporary performance analyst," 

https://doi.org/10.1080/02640414.2020.1774143


",38,2020
article,doi:10.1080/1554480X.2021.1914055,"Cassandra Scharber, Lana Peterson, Yu-Hui Chang, Sarah Barksdale and Ramya Sivaraj",10.1080/1554480X.2021.1914055,," 

https://doi.org/10.1080/1554480X.2021.1914055


",Pedagogies: An International Journal,,2,136--151,Routledge,Critical computing literacy: Possibilities in K-12 computer science education," 

https://doi.org/10.1080/1554480X.2021.1914055


",16,2021
article,doi:10.1080/17439884.2017.1342655,André R. Denham and Kelly W. Guyotte,10.1080/17439884.2017.1342655,," 

https://doi.org/10.1080/17439884.2017.1342655


","Learning, Media and Technology",,1,31--41,Routledge,Cultivating critical game makers in digital game-based learning: learning from the arts," 

https://doi.org/10.1080/17439884.2017.1342655


",43,2018
article,doi:10.1080/23311916.2022.2079221,"Shahanaz Abdul Gafoor, Niranjana Sampathila, Madhushankara M and Swathi K S",10.1080/23311916.2022.2079221,Zhongmin Jin," 

https://doi.org/10.1080/23311916.2022.2079221


",Cogent Engineering,,1,2079221,Cogent OA,Deep learning model for detection of COVID-19 utilizing the chest X-ray images," 

https://doi.org/10.1080/23311916.2022.2079221


",9,2022
article,doi:10.1080/2331186X.2024.2363678,"Botagoz Talgatovna Kerimbayeva, Gulzhan Zholaushievna Niyazova, Akylbek Kairatbekovich Meirbekov, Adylkhan Talgatovich Kibishov and Indira Bakhytovna Usembayeva",10.1080/2331186X.2024.2363678,," 

https://doi.org/10.1080/2331186X.2024.2363678


",Cogent Education,,1,2363678,Cogent OA,A network communicative culture for future teachers: development of digital literacy and communicative competence," 

https://doi.org/10.1080/2331186X.2024.2363678


",11,2024
article,doi:10.1080/21548455.2019.1585994,"D. McGregor, D. Baskerville, D. Anderson and A. Duggan",10.1080/21548455.2019.1585994,," 

https://doi.org/10.1080/21548455.2019.1585994


","International Journal of Science Education, Part B",,2,171--194,Routledge,Examining the use of drama to develop epistemological understanding about the nature of science: a collective case from experience in New Zealand and England," 

https://doi.org/10.1080/21548455.2019.1585994


",9,2019
article,doi:10.1080/09523987.2023.2324583,"Chih-Hsiung Tu, Patricia Peterson, Cherng-Jyh Yen, Hoda Harati, Catharyn Shelton and Laura Sujo-Montes",10.1080/09523987.2023.2324583,," 

https://doi.org/10.1080/09523987.2023.2324583


",Educational Media International,,3-4,169--182,Routledge,Using data-informed learning design to support teacher to understand students’ learning sentiment via journal entries," 

https://doi.org/10.1080/09523987.2023.2324583


",60,2023
article,doi:10.1080/21670811.2022.2119152,Mark Deuze and Charlie Beckett,10.1080/21670811.2022.2119152,," 

https://doi.org/10.1080/21670811.2022.2119152


",Digital Journalism,,10,1913--1918,Routledge,"Imagination, Algorithms and News: Developing AI Literacy for Journalism"," 

https://doi.org/10.1080/21670811.2022.2119152


",10,2022
article,doi:10.1080/19338341.2016.1170712,Sarah Witham Bednarz,10.1080/19338341.2016.1170712,," 

https://doi.org/10.1080/19338341.2016.1170712


",The Geography Teacher,,2,46--51,Routledge,The Practices of Geography," 

https://doi.org/10.1080/19338341.2016.1170712


",13,2016
article,doi:10.1080/15391523.2023.2174623,"Michael Karlin, Yin-Chan (Janet) Liao and Swati Mehta",10.1080/15391523.2023.2174623,," 

https://doi.org/10.1080/15391523.2023.2174623


",Journal of Research on Technology in Education,,5,515--529,Routledge,Exploring computer science understanding and rationales in preservice teacher pathways through faculty professional development," 

https://doi.org/10.1080/15391523.2023.2174623


",56,2024
article,doi:10.1080/2331186X.2023.2172929,Mohammed Abdullatif Almulla,10.1080/2331186X.2023.2172929,," 

https://doi.org/10.1080/2331186X.2023.2172929


",Cogent Education,,1,2172929,Cogent OA,"Constructivism learning theory: A paradigm for students’ critical thinking, creativity, and problem solving to affect academic performance in higher education"," 

https://doi.org/10.1080/2331186X.2023.2172929


",10,2023
article,doi:10.1080/03004430.2018.1534844,Mustafa Çetin and Hasibe Özlen Demircan,10.1080/03004430.2018.1534844,," 

https://doi.org/10.1080/03004430.2018.1534844


",Early Child Development and Care,,9,1323--1335,Routledge,Empowering technology and engineering for STEM education through programming robots: a systematic literature review," 

https://doi.org/10.1080/03004430.2018.1534844


",190,2020
article,doi:10.1080/17512786.2011.616655,"Terry Flew, Christina Spurgeon, Anna Daniel and Adam Swift",10.1080/17512786.2011.616655,," 

https://doi.org/10.1080/17512786.2011.616655


",Journalism Practice,,2,157--171,Routledge,THE PROMISE OF COMPUTATIONAL JOURNALISM," 

https://doi.org/10.1080/17512786.2011.616655


",6,2012
article,doi:10.1080/1462317X.2019.1605725,King-Ho Leung,10.1080/1462317X.2019.1605725,," 

https://doi.org/10.1080/1462317X.2019.1605725


",Political Theology,,6,457--471,Routledge,The Picture of Artificial Intelligence and the Secularization of Thought," 

https://doi.org/10.1080/1462317X.2019.1605725


",20,2019
article,doi:10.1080/19434812.2021.12291698,Scott Bartholomew and Alexia Seymour,10.1080/19434812.2021.12291698,," 

https://doi.org/10.1080/19434812.2021.12291698


",Science and Children,,6,68--72,Routledge,Teaching Teachers: Influencing Perceptions of STEM Through the Best STEM Books List," 

https://doi.org/10.1080/19434812.2021.12291698


",58,2021
article,doi:10.1080/08993408.2018.1435113,"Phil Maguire, Rebecca Maguire and Robert Kelly",10.1080/08993408.2018.1435113,," 

https://doi.org/10.1080/08993408.2018.1435113


",Computer Science Education,,3-4,197--214,Routledge,Using automatic machine assessment to teach computer programming," 

https://doi.org/10.1080/08993408.2018.1435113


",27,2017
article,doi:10.1080/00368148.2023.12315939,"William Sandoval, Jon Kovach, Leticia Perez, Lynn Kim-John and Jarod Kawasaki",10.1080/00368148.2023.12315939,," 

https://doi.org/10.1080/00368148.2023.12315939


",Science and Children,,7,54--57,Routledge,"Using Argument to Reason About
Science Practice"," 

https://doi.org/10.1080/00368148.2023.12315939


",60,2023
article,doi:10.1080/15420353.2021.1935399,Sarah Zhang,10.1080/15420353.2021.1935399,," 

https://doi.org/10.1080/15420353.2021.1935399


",Journal of Map \& Geography Libraries,,3,264--282,Routledge,Expanding Library GIS Instruction to Web Mapping in the Age of Neogeography," 

https://doi.org/10.1080/15420353.2021.1935399


",16,2020
article,doi:10.1080/17452007.2023.2259387,"Gabriela Alves Tenório de Morais, Claudia R. S. de M. S. Nascimento, Eduardo B. dos Santos, Kleyton M. N. de Souza, Bruna S. Fernandes and Rachel Perez Palha",10.1080/17452007.2023.2259387,," 

https://doi.org/10.1080/17452007.2023.2259387


",Architectural Engineering and Design Management,,3,510--525,Taylor \& Francis,Integration potential between REVIT and LEED: a review," 

https://doi.org/10.1080/17452007.2023.2259387


",20,2024
article,doi:10.1080/21670811.2021.1893199,Sarah K. Wiley,10.1080/21670811.2021.1893199,," 

https://doi.org/10.1080/21670811.2021.1893199


",Digital Journalism,,6,889--905,Routledge,The Grey Area: How Regulations Impact Autonomy in Computational Journalism," 

https://doi.org/10.1080/21670811.2021.1893199


",11,2023
article,doi:10.1080/00098655.2021.1973359,Daniel J. Bergman,10.1080/00098655.2021.1973359,," 

https://doi.org/10.1080/00098655.2021.1973359


","The Clearing House: A Journal of Educational Strategies, Issues and Ideas",,2,64--68,Routledge,Teaching the Nature of Science in a Post-COVID World," 

https://doi.org/10.1080/00098655.2021.1973359


",95,2022
article,doi:10.1080/10494820.2022.2144896,Zhenhua Zhao and Guohua Feng,10.1080/10494820.2022.2144896,," 

https://doi.org/10.1080/10494820.2022.2144896


",Interactive Learning Environments,,5,2347--2351,Routledge,Orchestration of learning environments in the digital world," 

https://doi.org/10.1080/10494820.2022.2144896


",32,2024
article,doi:10.1080/02635143.2023.2201673,Jiahong Su and Weipeng Yang,10.1080/02635143.2023.2201673,," 

https://doi.org/10.1080/02635143.2023.2201673


",Research in Science \& Technological Education,,0,1--22,Routledge,STEM in Early Childhood Education: A Bibliometric Analysis," 

https://doi.org/10.1080/02635143.2023.2201673


",0,2023
article,doi:10.1080/08993408.2023.2298162,"Yi Liu, Leen-Kiat Soh, Guy Trainin, Gwen Nugent and Wendy M. Smith",10.1080/08993408.2023.2298162,," 

https://doi.org/10.1080/08993408.2023.2298162


",Computer Science Education,,0,1--32,Routledge,"Investigating relationships of sentiments, emotions, and performance in professional development K-12 CS teachers"," 

https://doi.org/10.1080/08993408.2023.2298162


",0,2024
article,doi:10.1080/09500693.2016.1264033,Elizabeth Mary Walsh and Veronica Cassone McGowan,10.1080/09500693.2016.1264033,," 

https://doi.org/10.1080/09500693.2016.1264033


",International Journal of Science Education,,1,20--43,Routledge,‘Let your data tell a story:’ climate change experts and students navigating disciplinary argumentation in the classroom," 

https://doi.org/10.1080/09500693.2016.1264033


",39,2017
article,doi:10.1080/08993408.2020.1805287,"Stephanie T. Jones, JaCoya Thompson and Marcelo Worsley",10.1080/08993408.2020.1805287,," 

https://doi.org/10.1080/08993408.2020.1805287


",Computer Science Education,,3,279--312,Routledge,Data in Motion: Sports as a site for expansive learning," 

https://doi.org/10.1080/08993408.2020.1805287


",30,2020
