ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/2331186X.2022.2164239,"Fred Awaah, Peter Okebukola, Juma Shabani and Helen Arkorful",10.1080/2331186X.2022.2164239," 

https://doi.org/10.1080/2331186X.2022.2164239


",Cogent Education,,1,2164239,Cogent OA,Perceived or real: Reasons accounting for difficulties in the study of public administration in African universities," 

https://doi.org/10.1080/2331186X.2022.2164239


",10,2023
article,doi:10.1080/08993408.2022.2134677,"Teresa M. Ober, Ying Cheng, Meghan R. Coggins, Paul Brenner, Janice Zdankus, Philip Gonsalves, Emmanuel Johnson, Tim Urdan and",10.1080/08993408.2022.2134677," 

https://doi.org/10.1080/08993408.2022.2134677


",Computer Science Education,,1,4--36,Routledge,Charting a path for growth in middle school students’ attitudes toward computer programming," 

https://doi.org/10.1080/08993408.2022.2134677


",34,2024
article,doi:10.1080/019697299125073,Lynn Andrea Stein,10.1080/019697299125073," 

https://doi.org/10.1080/019697299125073


",Cybernetics and Systems,,6,473--507,Taylor \& Francis,CHALLENGING THE COMPUTATIONAL METAPHOR: IMPLICATIONS FOR HOW WE THINK," 

https://doi.org/10.1080/019697299125073


",30,1999
article,doi:10.1080/10447318.2024.2353425,Marleny Luque Carbajal and Maria Cecília Calani Baranauskas,10.1080/10447318.2024.2353425," 

https://doi.org/10.1080/10447318.2024.2353425


",International Journal of Human–Computer Interaction,,0,1--26,Taylor \& Francis,Enactive Interaction in Support of Creative Learning: A Systematic Literature Review," 

https://doi.org/10.1080/10447318.2024.2353425


",0,2024
article,doi:10.1080/01463379209369820,"Kenneth S. Zagacki, Renee Edwards and James M. Honeycutt",10.1080/01463379209369820," 

https://doi.org/10.1080/01463379209369820


",Communication Quarterly,,1,56--68,Routledge,The role of mental imagery and emotion in imagined interaction," 

https://doi.org/10.1080/01463379209369820


",40,1992
article,doi:10.1080/02619768.2021.1975109,Louise Starkey and Anne Yates,10.1080/02619768.2021.1975109," 

https://doi.org/10.1080/02619768.2021.1975109


",European Journal of Teacher Education,,4,476--492,Routledge,Do digital competence frameworks align with preparing beginning teachers for digitally infused contexts? An evaluation from a New Zealand perspective," 

https://doi.org/10.1080/02619768.2021.1975109


",45,2022
article,doi:10.1080/1475939X.2019.1645728,Todd J. B. Blayone,10.1080/1475939X.2019.1645728," 

https://doi.org/10.1080/1475939X.2019.1645728


","Technology, Pedagogy and Education",,4,447--462,Routledge,Theorising effective uses of digital technology with activity theory," 

https://doi.org/10.1080/1475939X.2019.1645728


",28,2019
article,doi:10.1080/15391523.2022.2128480,Lucrezia Crescenzi-Lanna,10.1080/15391523.2022.2128480," 

https://doi.org/10.1080/15391523.2022.2128480


",Journal of Research on Technology in Education,,1,21--33,Routledge,Literature review of the reciprocal value of artificial and human intelligence in early childhood education," 

https://doi.org/10.1080/15391523.2022.2128480


",55,2023
article,doi:10.1080/03055698.2022.2107873,Yanjun Zhang and Yijin Zhu,10.1080/03055698.2022.2107873," 

https://doi.org/10.1080/03055698.2022.2107873


",Educational Studies,,0,1--19,Routledge,Effects of educational robotics on the creativity and problem-solving skills of K-12 students: a meta-analysis," 

https://doi.org/10.1080/03055698.2022.2107873


",0,2022
article,doi:10.1080/09500693.2023.2226333,"Valarie L. Akerson, Claire Cesljarev, Conghui Liu, Judith Lederman, Norman Lederman and Nader El Ahmadie",10.1080/09500693.2023.2226333," 

https://doi.org/10.1080/09500693.2023.2226333


",International Journal of Science Education,,3,205--221,Routledge,Third and fourth grade students’ conceptions of the nature of scientific inquiry," 

https://doi.org/10.1080/09500693.2023.2226333


",46,2024
article,doi:10.1080/10447318.2023.2171489,"H. Onan Demirel, Molly H. Goldstein, Xingang Li and Zhenghui Sha",10.1080/10447318.2023.2171489," 

https://doi.org/10.1080/10447318.2023.2171489


",International Journal of Human–Computer Interaction,,4,933--944,Taylor \& Francis,Human-Centered Generative Design Framework: An Early Design Framework to Support Concept Creation and Evaluation," 

https://doi.org/10.1080/10447318.2023.2171489


",40,2024
article,doi:10.1080/10494820.2022.2084115,"Shruti Priya, Shubhankar Bhadra, Sridhar Chimalakonda and Akhila Sri Manasa Venigalla",10.1080/10494820.2022.2084115," 

https://doi.org/10.1080/10494820.2022.2084115


",Interactive Learning Environments,,1,229--244,Routledge,ML-Quest: a game for introducing machine learning concepts to K-12 students," 

https://doi.org/10.1080/10494820.2022.2084115


",32,2024
article,doi:10.1080/10665684.2014.866878,Jane A. Van Galen,10.1080/10665684.2014.866878," 

https://doi.org/10.1080/10665684.2014.866878


",Equity \& Excellence in Education,,1,1--13,Routledge,Special Issue Introduction," 

https://doi.org/10.1080/10665684.2014.866878


",47,2014
article,doi:10.1080/13504622.2016.1233389,"Özge Keşapli Can, Jennie F. Lane and Armağan Ateşkan",10.1080/13504622.2016.1233389," 

https://doi.org/10.1080/13504622.2016.1233389


",Environmental Education Research,,5,733--747,Routledge,Facilitating place-based environmental education through bird studies: an action research investigation," 

https://doi.org/10.1080/13504622.2016.1233389


",23,2017
article,doi:10.1080/14330237.2019.1647496,Godfrey Ejuu,10.1080/14330237.2019.1647496," 

https://doi.org/10.1080/14330237.2019.1647496


",Journal of Psychology in Africa,,4,319--327,Routledge,"African indigenous games: Using Bame Nsamenang’s Africentric thoughts to reflect on our heritage, pedagogy, and practice in a global village"," 

https://doi.org/10.1080/14330237.2019.1647496


",29,2019
article,doi:10.1080/14626268.2023.2301342,"Marcello Messina, Damián Keller, Brendah Freitas, Ivan Simurra, Carlos Gómez and Luzilei Aliel",10.1080/14626268.2023.2301342," 

https://doi.org/10.1080/14626268.2023.2301342


",Digital Creativity,,1,13--30,CAA Website,"Disruptions, technologically convergent factors and creative activities: defining and delineating musical stuff"," 

https://doi.org/10.1080/14626268.2023.2301342


",35,2024
article,doi:10.1080/10476210.2022.2077928,Karthigeyan Subramaniam,10.1080/10476210.2022.2077928," 

https://doi.org/10.1080/10476210.2022.2077928


",Teaching Education,,2,209--224,Routledge,A phenomenological study of prospective teachers’ first-time science teaching experiences," 

https://doi.org/10.1080/10476210.2022.2077928


",34,2023
article,doi:10.1080/10508422.2024.2388695,Mohd Salim Mohamed and Tan Zheng Hao,10.1080/10508422.2024.2388695," 

https://doi.org/10.1080/10508422.2024.2388695


",Ethics \& Behavior,,0,1--19,Routledge,Exploring educators’ epistemological worldviews and their influence on pedagogical decision-making in scientific ethics education at Malaysian universities," 

https://doi.org/10.1080/10508422.2024.2388695


",0,2024
article,doi:10.1080/14797585.2019.1585129,Erika Kerruish,10.1080/14797585.2019.1585129," 

https://doi.org/10.1080/14797585.2019.1585129


",Journal for Cultural Research,,4,343--357,Routledge,Culture in multisensory computing: dividing the body for a digital future," 

https://doi.org/10.1080/14797585.2019.1585129


",22,2018
article,doi:10.1080/2331186X.2024.2373559,Angga Hidayat and Pipit Firmanti,10.1080/2331186X.2024.2373559," 

https://doi.org/10.1080/2331186X.2024.2373559


",Cogent Education,,1,2373559,Cogent OA,Navigating the tech frontier: a systematic review of technology integration in mathematics education," 

https://doi.org/10.1080/2331186X.2024.2373559


",11,2024
article,doi:10.1586/14737159.2013.846828,Greg Maguire,10.1586/14737159.2013.846828," 

https://doi.org/10.1586/14737159.2013.846828


",Expert Review of Molecular Diagnostics,PMID: 24138553,8,895--905,Taylor \& Francis,Using a systems-based approach to overcome reductionist strategies in the development of diagnostics," 

https://doi.org/10.1586/14737159.2013.846828


",13,2013
article,doi:10.1080/07294360.2015.1128887,Teresa Swist and Andreas Kuswara,10.1080/07294360.2015.1128887," 

https://doi.org/10.1080/07294360.2015.1128887


",Higher Education Research \& Development,,1,100--114,Routledge,Place-making in higher education: co-creating engagement and knowledge practices in the networked age," 

https://doi.org/10.1080/07294360.2015.1128887


",35,2016
article,doi:10.1080/10494820.2021.1956546,Paraskevi Topali and Tassos Anastasios Mikropoulos,10.1080/10494820.2021.1956546," 

https://doi.org/10.1080/10494820.2021.1956546


",Interactive Learning Environments,,7,4219--4234,Routledge,Scratch-based learning objects for novice programmers: exploring quality aspects and perceptions for primary education," 

https://doi.org/10.1080/10494820.2021.1956546


",31,2023
article,doi:10.1080/10511970.2021.1881849,"Aasakiran Madamanchi, Madison Thomas, Alejandra Magana, Randy Heiland and Paul Macklin",10.1080/10511970.2021.1881849," 

https://doi.org/10.1080/10511970.2021.1881849


",PRIMUS,,3,446--467,Taylor \& Francis,Supporting Computational Apprenticeship Through Educational and Software Infrastructure: A Case Study in a Mathematical Oncology Research Lab," 

https://doi.org/10.1080/10511970.2021.1881849


",32,2022
