ENTRYTYPE,ID,author,doi,editor,eprint,journal,number,pages,publisher,title,url,volume,year
article,doi:10.1080/03004279.2022.2029924,"Xanthippi Tsortanidou, Thanasis Daradoumis and Elena Barberá-Gregori",10.1080/03004279.2022.2029924,," 

https://doi.org/10.1080/03004279.2022.2029924


",Education 3-13,6,948--965,Routledge,Unplugged computational thinking at K-6 education: evidence from a multiple-case study in Spain," 

https://doi.org/10.1080/03004279.2022.2029924


",51,2023
article,doi:10.1080/08993408.2022.2095594,Ermias Abebe Kassa and Enguday Ademe Mekonnen,10.1080/08993408.2022.2095594,," 

https://doi.org/10.1080/08993408.2022.2095594


",Computer Science Education,4,502--531,Routledge,Computational thinking in the Ethiopian secondary school ICT curriculum," 

https://doi.org/10.1080/08993408.2022.2095594


",32,2022
article,doi:10.1080/15391523.2021.1922105,Duygu Umutlu,10.1080/15391523.2021.1922105,," 

https://doi.org/10.1080/15391523.2021.1922105


",Journal of Research on Technology in Education,5,754--768,Routledge,An exploratory study of pre-service teachers’ computational thinking and programming skills," 

https://doi.org/10.1080/15391523.2021.1922105


",54,2022
article,doi:10.1080/10494820.2023.2194929,"Silvia Wen-Yu Lee, Jyh-Chong Liang, Chung-Yuan Hsu and Meng-Jung Tsai",10.1080/10494820.2023.2194929,," 

https://doi.org/10.1080/10494820.2023.2194929


",Interactive Learning Environments,8,4088--4108,Routledge,Students’ beliefs about computer programming predict their computational thinking and computer programming self-efficacy," 

https://doi.org/10.1080/10494820.2023.2194929


",32,2024
article,doi:10.1080/2331186X.2018.1507306,"Kaan Bati, Mehmet Ikbal Yetişir, Ilke Çalişkan, Gökhan Güneş and Esma Gül Saçan",10.1080/2331186X.2018.1507306,Debra Laier Chapman," 

https://doi.org/10.1080/2331186X.2018.1507306


",Cogent Education,1,1507306,Cogent OA,Teaching the concept of time: A steam-based program on computational thinking in science education," 

https://doi.org/10.1080/2331186X.2018.1507306


",5,2018
article,doi:10.1080/10494820.2021.1938612,"Isaac M. Matere, Cathy Weng, Melese Astatke, Chih-Hsien Hsia and Chen-Guo Fan",10.1080/10494820.2021.1938612,," 

https://doi.org/10.1080/10494820.2021.1938612


",Interactive Learning Environments,6,3633--3646,Routledge,Effect of design-based learning on elementary students computational thinking skills in visual programming maker course," 

https://doi.org/10.1080/10494820.2021.1938612


",31,2023
article,doi:10.1080/08993408.2024.2344400,"Lijun Shen, Zitsi Mirakhur and Sarah LaCour",10.1080/08993408.2024.2344400,," 

https://doi.org/10.1080/08993408.2024.2344400


",Computer Science Education,0,1--20,Routledge,Investigating the psychometric features of a locally designed computational thinking assessment for elementary students," 

https://doi.org/10.1080/08993408.2024.2344400


",0,2024
article,doi:10.1080/09500693.2022.2160221,Dana Christensen and Doug Lombardi,10.1080/09500693.2022.2160221,," 

https://doi.org/10.1080/09500693.2022.2160221


",International Journal of Science Education,4,293--313,Routledge,Biological evolution learning and computational thinking: Enhancing understanding through integration of disciplinary core knowledge and scientific practice," 

https://doi.org/10.1080/09500693.2022.2160221


",45,2023
article,doi:10.1080/10494820.2021.1928236,"Min Jou, Pei-Chi Chen and Jingying Wang",10.1080/10494820.2021.1928236,," 

https://doi.org/10.1080/10494820.2021.1928236


",Interactive Learning Environments,6,3380--3395,Routledge,The developmental characteristics of computational thinking and its relationship with technical skills: taking the department of engineering as an example," 

https://doi.org/10.1080/10494820.2021.1928236


",31,2023
article,doi:10.1080/10494820.2024.2308101,Chi-Jen Lin and Husni Mubarok,10.1080/10494820.2024.2308101,," 

https://doi.org/10.1080/10494820.2024.2308101


",Interactive Learning Environments,0,1--15,Routledge,Promoting young learners’ computational thinking with AI-based robots and the ICAP model in blended learning contexts," 

https://doi.org/10.1080/10494820.2024.2308101


",0,2024
article,doi:10.1080/10494820.2021.1946564,"José Miguel Merino-Armero, José Antonio González-Calero and Ramón Cózar-Gutiérrez",10.1080/10494820.2021.1946564,," 

https://doi.org/10.1080/10494820.2021.1946564


",Interactive Learning Environments,6,3939--3950,Routledge,The effect of after-school extracurricular robotic classes on elementary students’ computational thinking," 

https://doi.org/10.1080/10494820.2021.1946564


",31,2023
article,doi:10.1080/08993408.2018.1560550,"Aman Yadav, Christina Krist, Jon Good and Elisa Nadire Caeli",10.1080/08993408.2018.1560550,," 

https://doi.org/10.1080/08993408.2018.1560550


",Computer Science Education,4,371--400,Routledge,Computational thinking in elementary classrooms: measuring teacher understanding of computational ideas for teaching science," 

https://doi.org/10.1080/08993408.2018.1560550


",28,2018
article,doi:10.1080/10494820.2021.1986725,"Xanthippi Tsortanidou, Thanasis Daradoumis and Elena Barberá",10.1080/10494820.2021.1986725,," 

https://doi.org/10.1080/10494820.2021.1986725


",Interactive Learning Environments,8,4903--4923,Routledge,A K-6 computational thinking curricular framework: pedagogical implications for teaching practice," 

https://doi.org/10.1080/10494820.2021.1986725


",31,2023
article,doi:10.1080/09523987.2024.2359762,Fábio Machuqueiro and João Piedade,10.1080/09523987.2024.2359762,," 

https://doi.org/10.1080/09523987.2024.2359762


",Educational Media International,1-2,161--183,Routledge,Modern board games and computational thinking: results of a systematic analysis process," 

https://doi.org/10.1080/09523987.2024.2359762


",61,2024
article,doi:10.1080/03004430.2023.2299405,"Suzannie K. Y. Leung, Joseph Wu and Jenny Wanyi Li",10.1080/03004430.2023.2299405,," 

https://doi.org/10.1080/03004430.2023.2299405


",Early Child Development and Care,2,208--229,Routledge,Children’s knowledge construction of computational thinking in a play-based classroom," 

https://doi.org/10.1080/03004430.2023.2299405


",194,2024
article,doi:10.1080/15391523.2020.1834474,"Ji Shen, Guanhua Chen, Lauren Barth-Cohen, Shiyan Jiang and Moataz Eltoukhy",10.1080/15391523.2020.1834474,," 

https://doi.org/10.1080/15391523.2020.1834474


",Journal of Research on Technology in Education,2,205--225,Routledge,Connecting computational thinking in everyday reasoning and programming for elementary school students," 

https://doi.org/10.1080/15391523.2020.1834474


",54,2022
article,doi:10.1080/10494820.2023.2214185,Haiyan Cai and Gary K. W. Wong,10.1080/10494820.2023.2214185,," 

https://doi.org/10.1080/10494820.2023.2214185


",Interactive Learning Environments,0,1--24,Routledge,A systematic review of studies of parental involvement in computational thinking education," 

https://doi.org/10.1080/10494820.2023.2214185


",0,2023
article,doi:10.1080/20473869.2024.2394735,"MiJeong Kim, JaMee Kim and WonGyu Lee",10.1080/20473869.2024.2394735,," 

https://doi.org/10.1080/20473869.2024.2394735


",International Journal of Developmental Disabilities,0,1--16,Taylor \& Francis,Enhancing computational thinking in students with autism spectrum disorder and intellectual disabilities: a robot programming approach," 

https://doi.org/10.1080/20473869.2024.2394735


",0,2024
article,doi:10.1080/08993408.2023.2245687,"Bin Tan, Hao-Yue Jin and Maria Cutumisu",10.1080/08993408.2023.2245687,," 

https://doi.org/10.1080/08993408.2023.2245687


",Computer Science Education,2,193--221,Routledge,The applications of machine learning in computational thinking assessments: a scoping review," 

https://doi.org/10.1080/08993408.2023.2245687


",34,2024
article,doi:10.1080/10986065.2020.1779012,Kajsa Bråting and Cecilia Kilhamn,10.1080/10986065.2020.1779012,," 

https://doi.org/10.1080/10986065.2020.1779012


",Mathematical Thinking and Learning,2,170--185,Routledge,Exploring the intersection of algebraic and computational thinking," 

https://doi.org/10.1080/10986065.2020.1779012


",23,2021
article,doi:10.1080/15391523.2020.1784066,Woonhee Sung and John B. Black,10.1080/15391523.2020.1784066,," 

https://doi.org/10.1080/15391523.2020.1784066


",Journal of Research on Technology in Education,4,404--426,Routledge,Factors to consider when designing effective learning: Infusing computational thinking in mathematics to support thinking-doing," 

https://doi.org/10.1080/15391523.2020.1784066


",53,2021
article,doi:10.1080/24758779.2023.12318624,"Robin Jocius, Jennifer Albert, Rachana Bhonsle, Deepti Joshi, W. Ian O’Byrne and Melanie Blanton",10.1080/24758779.2023.12318624,," 

https://doi.org/10.1080/24758779.2023.12318624


",Connected Science Learning,1,12318624,Routledge,Connecting a Community Through Computational Thinking and Robotics," 

https://doi.org/10.1080/24758779.2023.12318624


",5,2023
article,doi:10.1080/15391523.2024.2398504,"Feng Wang, Jun Huang, Xiao-Li Zheng, Jun-Qi Wu and An-Ping Zhao",10.1080/15391523.2024.2398504,," 

https://doi.org/10.1080/15391523.2024.2398504


",Journal of Research on Technology in Education,0,1--20,Routledge,STEM activities for boosting pupils’ computational thinking and reducing their cognitive load: Roles of argumentation scaffolding and mental rotation," 

https://doi.org/10.1080/15391523.2024.2398504


",0,2024
article,doi:10.1080/08993408.2018.1533297,"Chee-Kit Looi, Meng-Leong How, Wu Longkai, Peter Seow and Liu Liu",10.1080/08993408.2018.1533297,," 

https://doi.org/10.1080/08993408.2018.1533297


",Computer Science Education,3,255--279,Routledge,Analysis of linkages between an unplugged activity and the development of computational thinking," 

https://doi.org/10.1080/08993408.2018.1533297


",28,2018
article,doi:10.1080/24758779.2023.12318625,"Dorothy Bennett, Cornelia Brunner, Nicholas Hartmann and Stephen Uzzo",10.1080/24758779.2023.12318625,," 

https://doi.org/10.1080/24758779.2023.12318625


",Connected Science Learning,1,12318625,Routledge,Using Open-World Games to Support Inclusive Approaches to Computational Thinking," 

https://doi.org/10.1080/24758779.2023.12318625


",5,2023
article,doi:10.1080/02568543.2023.2221319,"Bayan Masarwa, Hagit Hel-Or and Sharona T. Levy",10.1080/02568543.2023.2221319,," 

https://doi.org/10.1080/02568543.2023.2221319


",Journal of Research in Childhood Education,2,165--188,Routledge,Kindergarten Children’s Learning of Computational Thinking With the “Sorting Like a Computer” Learning Unit," 

https://doi.org/10.1080/02568543.2023.2221319


",38,2024
article,doi:10.1080/15391523.2021.2014372,"Kyungbin Kwon, Minji Jeon, Meize Guo, Ge Yan, Jiyoung Kim, Anne T. Ottenbreit-Leftwich and Thomas A. Brush",10.1080/15391523.2021.2014372,," 

https://doi.org/10.1080/15391523.2021.2014372


",Journal of Research on Technology in Education,4,590--607,Routledge,Computational thinking practices: Lessons learned from a problem-based curriculum in primary education," 

https://doi.org/10.1080/15391523.2021.2014372


",55,2023
article,doi:10.1080/00220671.2023.2167798,"Xiangling Zhang, Ahmed Tlili, Junhong Guo, David Griffiths, Ronghuai Huang, Chee-Kit Looi and Daniel Burgos",10.1080/00220671.2023.2167798,," 

https://doi.org/10.1080/00220671.2023.2167798


",The Journal of Educational Research,1,17--32,Routledge,Developing rural Chinese children’s computational thinking through ­game-based learning and parental involvement," 

https://doi.org/10.1080/00220671.2023.2167798


",116,2023
article,doi:10.1080/10494820.2021.1931891,"Lihui Sun, Zhen Guo and Linlin Hu",10.1080/10494820.2021.1931891,," 

https://doi.org/10.1080/10494820.2021.1931891


",Interactive Learning Environments,6,3476--3490,Routledge,Educational games promote the development of students’ computational thinking: a meta-analytic review," 

https://doi.org/10.1080/10494820.2021.1931891


",31,2023
article,doi:10.1080/08993408.2024.2380163,"Rafi Santo, Anne Drew Hu, David Phelps, Secil Caskurlu, Kyle Dunbar and Aman Yadav",10.1080/08993408.2024.2380163,," 

https://doi.org/10.1080/08993408.2024.2380163


",Computer Science Education,0,1--37,Routledge,“These two worlds are antithetical”: epistemic tensions in integrating computational thinking in K12 humanities and arts," 

https://doi.org/10.1080/08993408.2024.2380163


",0,2024
article,doi:10.1080/1046560X.2024.2390758,Minji Yun and Kent J. Crippen,10.1080/1046560X.2024.2390758,," 

https://doi.org/10.1080/1046560X.2024.2390758


",Journal of Science Teacher Education,0,1--30,Routledge,Computational Thinking Integration into Pre-Service Science Teacher Education: A Systematic Review," 

https://doi.org/10.1080/1046560X.2024.2390758


",0,2024
article,doi:10.1080/08993408.2020.1789411,Wendy Huang and Chee-Kit Looi,10.1080/08993408.2020.1789411,," 

https://doi.org/10.1080/08993408.2020.1789411


",Computer Science Education,1,83--111,Routledge,A critical review of literature on “unplugged” pedagogies in K-12 computer science and computational thinking education," 

https://doi.org/10.1080/08993408.2020.1789411


",31,2021
article,doi:10.1080/21532974.2022.2074581,"Beverly B. Ray, Reenay R. H. Rogers and Jennifer Gallup",10.1080/21532974.2022.2074581,," 

https://doi.org/10.1080/21532974.2022.2074581


",Journal of Digital Learning in Teacher Education,2,89--101,Routledge,Coding and Computational Thinking in the Social Studies: Teachers’ Perspectives," 

https://doi.org/10.1080/21532974.2022.2074581


",38,2022
article,doi:10.1080/08993408.2024.2403970,Tianxiao Yang and Jongpil Cheon,10.1080/08993408.2024.2403970,," 

https://doi.org/10.1080/08993408.2024.2403970


",Computer Science Education,0,1--22,Routledge,Investigating the discrepancy between students’ self-efficacy and their performance regarding computational thinking," 

https://doi.org/10.1080/08993408.2024.2403970


",0,2024
