ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/00368148.2024.2340810,Melissa Parks,10.1080/00368148.2024.2340810," 

https://doi.org/10.1080/00368148.2024.2340810


",Science and Children,,3,58--63,Routledge,"Gliders, Cats, and Crashes"," 

https://doi.org/10.1080/00368148.2024.2340810


",61,2024
article,doi:10.1080/14794802.2018.1522269,Paul Drijvers,10.1080/14794802.2018.1522269," 

https://doi.org/10.1080/14794802.2018.1522269


",Research in Mathematics Education,,3,229--235,Routledge,Tools and taxonomies: a response to Hoyles," 

https://doi.org/10.1080/14794802.2018.1522269


",20,2018
article,doi:10.1080/00368148.2023.2292324,Cindy Hoisington,10.1080/00368148.2023.2292324," 

https://doi.org/10.1080/00368148.2023.2292324


",Science and Children,,1,6--10,Routledge,"Science in Preschool, Part 1"," 

https://doi.org/10.1080/00368148.2023.2292324


",61,2024
article,doi:10.1080/09599916.2016.1258718,"Phil Maguire, Robert Miller, Philippe Moser and Rebecca Maguire",10.1080/09599916.2016.1258718," 

https://doi.org/10.1080/09599916.2016.1258718


",Journal of Property Research,,4,293--308,Routledge,A robust house price index using sparse and frugal data," 

https://doi.org/10.1080/09599916.2016.1258718


",33,2016
article,doi:10.1080/15391523.2022.2085215,"Tuba Ketenci, Brendan Calandra, Jonathan Cohen, Maggie Renken and Nurjamal Chonoeva",10.1080/15391523.2022.2085215," 

https://doi.org/10.1080/15391523.2022.2085215


",Journal of Research on Technology in Education,,6,986--1002,Routledge,An examination of middle school student learner characteristics as related to the reuse and remixing of code in two different computer science learning contexts," 

https://doi.org/10.1080/15391523.2022.2085215


",55,2023
article,doi:10.1080/02635143.2023.2219622,"Xiaoyong Hu, Wanyi Li, Xingyu Geng and Li Zhao",10.1080/02635143.2023.2219622," 

https://doi.org/10.1080/02635143.2023.2219622


",Research in Science \& Technological Education,,0,1--20,Routledge,Exploring the effects of different interventions of the problem-oriented teaching model on students’ creativity in STEM education," 

https://doi.org/10.1080/02635143.2023.2219622


",0,2023
article,doi:10.1080/10494820.2024.2335499,Keunjae Kim and Kyungbin Kwon,10.1080/10494820.2024.2335499," 

https://doi.org/10.1080/10494820.2024.2335499


",Interactive Learning Environments,,0,1--29,Routledge,A systematic review of the evaluation in K-12 artificial intelligence education from 2013 to 2022," 

https://doi.org/10.1080/10494820.2024.2335499


",0,2024
article,doi:10.1080/15578771.2024.2333403,"John Aliu, Douglas Aghimien, Clinton Aigbavboa, Ayodeji Emmanuel Oke and Andrew Ebekozien",10.1080/15578771.2024.2333403," 

https://doi.org/10.1080/15578771.2024.2333403


",International Journal of Construction Education and Research,,0,1--20,Routledge,An Employability Skills Model for Built Environment Graduates: A Partial Least Squares Structural Equation Modeling Analysis," 

https://doi.org/10.1080/15578771.2024.2333403


",0,2024
article,doi:10.1080/08872376.2019.12291261,Kari Jurgenson and Mollie Appelgate,10.1080/08872376.2019.12291261," 

https://doi.org/10.1080/08872376.2019.12291261


",Science Scope,,1,70--74,Routledge,Teacher’s Toolkit: Using Existing Lessons to Create Three-Dimensional Lessons," 

https://doi.org/10.1080/08872376.2019.12291261


",43,2019
article,doi:10.1080/22054952.2024.2372154,"Sasha Nikolic, Carolyn Sandison, Rezwanul Haque, Scott Daniel, Sarah Grundy, Marina Belkina, Sarah Lyden, Ghulam M. Hassan and Peter Neal",10.1080/22054952.2024.2372154," 

https://doi.org/10.1080/22054952.2024.2372154


",Australasian Journal of Engineering Education,,0,1--28,EA Website,"ChatGPT, Copilot, Gemini, SciSpace and Wolfram versus higher education assessments: an updated multi-institutional study of the academic integrity impacts of Generative Artificial Intelligence (GenAI) on assessment, teaching and learning in engineering"," 

https://doi.org/10.1080/22054952.2024.2372154


",0,2024
article,doi:10.1080/00220272.2023.2297226,Tang Wee Teo,10.1080/00220272.2023.2297226," 

https://doi.org/10.1080/00220272.2023.2297226


",Journal of Curriculum Studies,,1,35--57,Routledge,Problem spaces in STEM inquiry: a case analysis of an integrated curriculum," 

https://doi.org/10.1080/00220272.2023.2297226


",56,2024
article,doi:10.1080/08993408.2021.1935554,"Jacqueline Nijenhuis-Voogt, Durdane Bayram-Jacobs, Paulien C. Meijer and Erik Barendsen",10.1080/08993408.2021.1935554," 

https://doi.org/10.1080/08993408.2021.1935554


",Computer Science Education,,1,61--93,Routledge,Teaching algorithms in upper secondary education: a study of teachers’ pedagogical content knowledge," 

https://doi.org/10.1080/08993408.2021.1935554


",33,2023
article,doi:10.1080/00368148.2023.12315941,"Alison Haas, Scott E. Grapin, Lorena Llosa and Okhee Lee",10.1080/00368148.2023.12315941," 

https://doi.org/10.1080/00368148.2023.12315941


",Science and Children,,7,64--70,Routledge,Computational Modeling With Multilingual Learners," 

https://doi.org/10.1080/00368148.2023.12315941


",60,2023
article,doi:10.1080/00368555.2021.12293612,"Quinn Washburn, Sarah Wolf, Jay Well, Stephen Noell, Chih-Ping Lee, Luis M. Bolaños, Stephen J. Giovannoni and Christopher P. Suffridge",10.1080/00368555.2021.12293612," 

https://doi.org/10.1080/00368555.2021.12293612


",The Science Teacher,,5,52--57,Routledge,Oligotrophic," 

https://doi.org/10.1080/00368555.2021.12293612


",88,2021
article,doi:10.1080/00368555.2021.12293625,Emma Refvem and Dana Haine,10.1080/00368555.2021.12293625," 

https://doi.org/10.1080/00368555.2021.12293625


",The Science Teacher,,6,52--57,Routledge,Generate: The Game of Energy Choices," 

https://doi.org/10.1080/00368555.2021.12293625


",88,2021
article,doi:10.1080/19434812.2021.12291718,Patrick Brown,10.1080/19434812.2021.12291718," 

https://doi.org/10.1080/19434812.2021.12291718


",Science and Children,,1,72--76,Routledge,Start With Phenomena: Learning the Temperature Dependency of Matter by Making Ice Cream," 

https://doi.org/10.1080/19434812.2021.12291718


",59,2021
article,doi:10.1080/10494820.2023.2205894,"Samah H. Almaki, Mnyero A. Gunda, Khairuddin Idris, Abdul Talib M. Hashim and Siti Rahaimah Ali",10.1080/10494820.2023.2205894," 

https://doi.org/10.1080/10494820.2023.2205894


",Interactive Learning Environments,,8,4663--4687,Routledge,A systematic review of the use of simulation games in K-12 education," 

https://doi.org/10.1080/10494820.2023.2205894


",32,2024
article,doi:10.1080/10632913.2017.1316331,Kylie Peppler and Karen Wohlwend,10.1080/10632913.2017.1316331," 

https://doi.org/10.1080/10632913.2017.1316331


",Arts Education Policy Review,,2,88--99,Routledge,Theorizing the nexus of STEAM practice," 

https://doi.org/10.1080/10632913.2017.1316331


",119,2018
article,doi:10.1080/21532974.2023.2210319,"Kevin J. Graziano, Shartriya Collier and Danette Barber",10.1080/21532974.2023.2210319," 

https://doi.org/10.1080/21532974.2023.2210319


",Journal of Digital Learning in Teacher Education,,3,164--178,Routledge,Teachers taking it online: Measuring teachers’ self-efficacy to teach online after completing a training program on distance education," 

https://doi.org/10.1080/21532974.2023.2210319


",39,2023
article,doi:10.1080/00368555.2022.12293709,"Hanako Osuga, Jason Foster and Jeanne Ting Chowning",10.1080/00368555.2022.12293709," 

https://doi.org/10.1080/00368555.2022.12293709


",The Science Teacher,,6,20--28,Routledge,How Can DNA Help Exonerate Those Wrongly Convicted?," 

https://doi.org/10.1080/00368555.2022.12293709


",89,2022
article,doi:10.1080/02763869.2023.2168387,Catherine Pepper,10.1080/02763869.2023.2168387," 

https://doi.org/10.1080/02763869.2023.2168387


",Medical Reference Services Quarterly,PMID: 36862616,1,79--87,Routledge,The “Other” Informatics: Education and Training," 

https://doi.org/10.1080/02763869.2023.2168387


",42,2023
article,doi:10.1080/00368555.2023.12294205,"Jamie Elsner, Troy Sadler, Eric Kirk, Rebecca Rawson, Patricia Friedrichsen and Li Ke",10.1080/00368555.2023.12294205," 

https://doi.org/10.1080/00368555.2023.12294205


",The Science Teacher,,3,40--45,Routledge,Using Multiple Models to Learn About COVID-19," 

https://doi.org/10.1080/00368555.2023.12294205


",90,2023
article,doi:10.1080/24758779.2023.12318619,"Tracy Ostrom, Matthew Ferner, Alessandra Sutti, Stuart Robottom and Sandro Sutti",10.1080/24758779.2023.12318619," 

https://doi.org/10.1080/24758779.2023.12318619


",Connected Science Learning,,4,12318619,Routledge,Monitoring Microplastics in Surface Water—A Pacing Guide for Grades 5–12," 

https://doi.org/10.1080/24758779.2023.12318619


",5,2023
article,doi:10.1080/2331186X.2024.2320467,Noha Alrwaished,10.1080/2331186X.2024.2320467," 

https://doi.org/10.1080/2331186X.2024.2320467


",Cogent Education,,1,2320467,Cogent OA,Mathematics pre-service teachers’ preparation program for designing STEM based lesson plan: enhanced skills and challenges," 

https://doi.org/10.1080/2331186X.2024.2320467


",11,2024
article,doi:10.1080/03004279.2021.1921823,"Liisa Lavonen, Anni Loukomies, Jenni Vartiainen and Päivi Palojoki",10.1080/03004279.2021.1921823," 

https://doi.org/10.1080/03004279.2021.1921823


",Education 3-13,,7,918--933,Routledge,Supporting Pupils’ scientific and engineering practices in everyday life contexts at the primary school level during a project-based learning unit in Finland," 

https://doi.org/10.1080/03004279.2021.1921823


",50,2022
article,doi:10.1080/03004430.2022.2146682,Mehmet Başaran and Erdal Bay,10.1080/03004430.2022.2146682," 

https://doi.org/10.1080/03004430.2022.2146682


",Early Child Development and Care,,5,679--697,Routledge,The effect of project-based STEAM activities on the social and cognitive skills of preschool children," 

https://doi.org/10.1080/03004430.2022.2146682


",193,2023
article,doi:10.1080/10494820.2024.2408550,"Wen-Yi Hsiao, Ching-Huei Chen, Po-Chen Chen and Wen-Hsuan Hou",10.1080/10494820.2024.2408550," 

https://doi.org/10.1080/10494820.2024.2408550


",Interactive Learning Environments,,0,1--19,Routledge,Investigating the effects of different game-based learning on the health care knowledge and emotions for middle-aged and older adults," 

https://doi.org/10.1080/10494820.2024.2408550


",0,2024
article,doi:10.1080/00368555.2024.2336919,"Lauren Brase, Robert Ford, Amy Parker, Heather Mayfield, Adam Lehmann, and Sarah Meadows",10.1080/00368555.2024.2336919," 

https://doi.org/10.1080/00368555.2024.2336919


",The Science Teacher,,3,28--37,Routledge,Rain Gardens and Rain Gauges: Students Get Hands on With Data While Evaluating Green Infrastructure at Their School," 

https://doi.org/10.1080/00368555.2024.2336919


",91,2024
article,doi:10.1080/10409289.2023.2280819,"Wenwei Luo, Weipeng Yang and Ilene R. Berson",10.1080/10409289.2023.2280819," 

https://doi.org/10.1080/10409289.2023.2280819


",Early Education and Development,,1,3--9,Routledge,Digital Transformations in Early Learning: From Touch Interactions to AI Conversations," 

https://doi.org/10.1080/10409289.2023.2280819


",35,2024
article,doi:10.1007/s10972-016-9457-4,"Libby Gerard, Camillia Matuk and Marcia C. Linn",10.1007/s10972-016-9457-4," 

https://doi.org/10.1007/s10972-016-9457-4


",Journal of Science Teacher Education,,1,1--9,Routledge,Technology as Inquiry Teaching Partner," 

https://doi.org/10.1007/s10972-016-9457-4


",27,2016
article,doi:10.1080/00368555.2019.12293394,"Stephanie Harmon, Amy Pallant and Sarah Pryputniewicz",10.1080/00368555.2019.12293394," 

https://doi.org/10.1080/00368555.2019.12293394


",The Science Teacher,,6,28--36,Routledge,Using Scientific Argumentation to Understand Human Impact on the Earth," 

https://doi.org/10.1080/00368555.2019.12293394


",86,2019
article,doi:10.1080/2331186X.2024.2366075,"Muhkamad Wakid, Herminarto Sofyan, Asri Widowati and Arina Zaida Ilma",10.1080/2331186X.2024.2366075," 

https://doi.org/10.1080/2331186X.2024.2366075


",Cogent Education,,1,2366075,Cogent OA,Learning-oriented assessment: a systematic literature network analysis," 

https://doi.org/10.1080/2331186X.2024.2366075


",11,2024
article,doi:10.1080/00368148.2021.12315825,Kimberly Lott and Sarah Clark,10.1080/00368148.2021.12315825," 

https://doi.org/10.1080/00368148.2021.12315825


",Science and Children,,2,56--61,Routledge,Methods and Strategies: Learning the Language of Scientists," 

https://doi.org/10.1080/00368148.2021.12315825


",59,2021
article,doi:10.1080/08872376.2023.12315905,Christine G. Schnittka and Mark Brenneman,10.1080/08872376.2023.12315905," 

https://doi.org/10.1080/08872376.2023.12315905


",Science Scope,,7,38--44,Routledge,Teach Sublimation with Markers!," 

https://doi.org/10.1080/08872376.2023.12315905


",46,2023
article,doi:10.1080/09669760.2023.2238399,Jane Murray,10.1080/09669760.2023.2238399," 

https://doi.org/10.1080/09669760.2023.2238399


",International Journal of Early Years Education,,3,571--578,Routledge,What is the purpose of education? A context for early childhood education," 

https://doi.org/10.1080/09669760.2023.2238399


",31,2023
article,doi:10.1080/00368121.2022.2120452,Aybüke Pabuçcu Akiş and Işıl Demirer,10.1080/00368121.2022.2120452," 

https://doi.org/10.1080/00368121.2022.2120452


",Science Activities,,1,1--11,Routledge,Integrated STEM activity with 3D printing and entrepreneurship applications," 

https://doi.org/10.1080/00368121.2022.2120452


",60,2023
article,doi:10.1080/08872376.2023.12291516,"Nancy Miles, Ana Houseal, Chris Bowen, Sarah Carlson, Claudia Walker, Dennis Schatz, Christine Royce and Katie Morrison",10.1080/08872376.2023.12291516," 

https://doi.org/10.1080/08872376.2023.12291516


",Science Scope,,3,63--70,Routledge,Outstanding Science Trade Books," 

https://doi.org/10.1080/08872376.2023.12291516


",46,2023
article,doi:10.1207/s15326969eco1801\_2,A.J. Wells,10.1207/s15326969eco1801\_2," 

https://doi.org/10.1207/s15326969eco1801_2


",Ecological Psychology,,1,39--65,Routledge,In Defense of Mechanism," 

https://doi.org/10.1207/s15326969eco1801_2


",18,2006
article,doi:10.1080/10511970.2011.648003,Carl Toews,10.1080/10511970.2011.648003," 

https://doi.org/10.1080/10511970.2011.648003


",PRIMUS,,7,545--563,Taylor \& Francis,Mathematical Modeling in the Undergraduate Curriculum," 

https://doi.org/10.1080/10511970.2011.648003


",22,2012
article,doi:10.1080/1475939X.2024.2391302,Cristyne Hébert and Trudy Keil,10.1080/1475939X.2024.2391302," 

https://doi.org/10.1080/1475939X.2024.2391302


","Technology, Pedagogy and Education",,0,1--20,Routledge,Student teacher learning with Ozobots and Makey Makeys during a workshop and field experience," 

https://doi.org/10.1080/1475939X.2024.2391302


",0,2024
