ENTRYTYPE,ID,author,doi,eprint,journal,note,number,pages,publisher,title,url,volume,year
article,doi:10.1080/14926150903191885,Marta Molina and John Mason,10.1080/14926150903191885," 

https://doi.org/10.1080/14926150903191885


","Canadian Journal of Science, Mathematics and Technology Education",,4,224--242,Routledge,Justifications-on-Demand as a Device to Promote Shifts of Attention Associated With Relational Thinking in Elementary Arithmetic," 

https://doi.org/10.1080/14926150903191885


",9,2009
article,doi:10.1080/00368148.2024.2340799,Dana Atwood-Blaine and Chepina Rumsey,10.1080/00368148.2024.2340799," 

https://doi.org/10.1080/00368148.2024.2340799


",Science and Children,,3,34--41,Routledge,Cicada Game," 

https://doi.org/10.1080/00368148.2024.2340799


",61,2024
article,doi:10.1080/13548506.2023.2179643,"Lindiwe C. Mngadi, Diego F. Cuadros, Frank Tanser, Jonathan K. Burns, Rob Slotow and Andrew Tomita",10.1080/13548506.2023.2179643," 

https://doi.org/10.1080/13548506.2023.2179643


","Psychology, Health \& Medicine",PMID: 36821547,9,2441--2449,Taylor \& Francis,"Water, sanitation and depression in rural communities: evidence from nationally representative study data in South Africa"," 

https://doi.org/10.1080/13548506.2023.2179643


",28,2023
article,doi:10.1080/0020739X.2024.2329345,"Rimma Nyman, Kajsa Bråting and Cecilia Kilhamn",10.1080/0020739X.2024.2329345," 

https://doi.org/10.1080/0020739X.2024.2329345


",International Journal of Mathematical Education in Science and Technology,,0,1--19,Taylor \& Francis,Can programming support mathematics learning? An analysis of Swedish lower secondary textbooks," 

https://doi.org/10.1080/0020739X.2024.2329345


",0,2024
article,doi:10.1080/00220973.2023.2201570,"Golnaz Arastoopour Irgens, Danielle Herro, Ashton Fisher, Ibrahim Adisa and Oluwadara Abimbade",10.1080/00220973.2023.2201570," 

https://doi.org/10.1080/00220973.2023.2201570


",The Journal of Experimental Education,,2,262--286,Routledge,Bop or Flop?: Integrating Music and Data Science in an Elementary Classroom," 

https://doi.org/10.1080/00220973.2023.2201570


",92,2024
article,doi:10.1080/1046560X.2020.1791465,"Tejaswini Dalvi, Elaine Silva Mangiante and Kristen Wendell",10.1080/1046560X.2020.1791465," 

https://doi.org/10.1080/1046560X.2020.1791465


",Journal of Science Teacher Education,,2,123--147,Routledge,Identifying Pre-service Teachers’ Conceptions about the NGSS Practices Using a Curriculum Critique and Revision (CCR) Task," 

https://doi.org/10.1080/1046560X.2020.1791465


",32,2021
article,doi:10.1080/00094056.2017.1343589,"Judy Robertson, Andrew Manches and Helen Pain",10.1080/00094056.2017.1343589," 

https://doi.org/10.1080/00094056.2017.1343589


",Childhood Education,,4,338--345,Routledge,“It's Like a Giant Brain With a Keyboard”: Children's Understandings About How Computers Work," 

https://doi.org/10.1080/00094056.2017.1343589


",93,2017
article,doi:10.1215/18752160-8005194,Thijs Willems and Connor Graham,10.1215/18752160-8005194," 

https://doi.org/10.1215/18752160-8005194


","East Asian Science, Technology and Society: An International Journal",,4,511--536,Routledge,The Imagination of Singapore’s Smart Nation as Digital Infrastructure: Rendering (Digital) Work Invisible," 

https://doi.org/10.1215/18752160-8005194


",13,2019
article,doi:10.1080/10447318.2024.2398910,"Qing Guo, Di Wu, Sha Zhu and Harrison Hao Yang",10.1080/10447318.2024.2398910," 

https://doi.org/10.1080/10447318.2024.2398910


",International Journal of Human–Computer Interaction,,0,1--19,Taylor \& Francis,Using a Digital Game to Assess Middle School Students’ Information Literacy: An Evidence-Centered Game Design Approach," 

https://doi.org/10.1080/10447318.2024.2398910


",0,2024
article,doi:10.1080/24758779.2016.12420465,"Lauren Causey, Shannon McManimon and Emily Poster",10.1080/24758779.2016.12420465," 

https://doi.org/10.1080/24758779.2016.12420465


",Connected Science Learning,,2,12420465,Routledge,Modeling Collaboration for Learning," 

https://doi.org/10.1080/24758779.2016.12420465


",1,2016
article,doi:10.1080/17579961.2024.2392938,Ali Ekber Cinar,10.1080/17579961.2024.2392938," 

https://doi.org/10.1080/17579961.2024.2392938


","Law, Innovation and Technology",,0,1--41,Routledge,The language of the law vs. the language of the computer: a bilingual model of legal education in the age of technology and artificial intelligence," 

https://doi.org/10.1080/17579961.2024.2392938


",0,2024
article,doi:10.1080/00368555.2022.12293668,"Kristin L. Gunckel, Beth A. Covitt, Garrett Love, Judith A. Cooper-Wagoner and Dan Moreno",10.1080/00368555.2022.12293668," 

https://doi.org/10.1080/00368555.2022.12293668


",The Science Teacher,,3,46--51,Routledge,Unplugged to Plugged In," 

https://doi.org/10.1080/00368555.2022.12293668


",89,2022
article,doi:10.1080/08993408.2022.2148962,Brian Dorn and Jan Vahrenhold,10.1080/08993408.2022.2148962," 

https://doi.org/10.1080/08993408.2022.2148962


",Computer Science Education,,4,385--387,Routledge,Editorial," 

https://doi.org/10.1080/08993408.2022.2148962


",32,2022
article,doi:10.1080/08993408.2022.2085908,Brian Dorn and Jan Vahrenhold,10.1080/08993408.2022.2085908," 

https://doi.org/10.1080/08993408.2022.2085908


",Computer Science Education,,2,153--154,Routledge,Editorial," 

https://doi.org/10.1080/08993408.2022.2085908


",32,2022
article,doi:10.1080/08993408.2015.1111645,Muhsin Menekse,10.1080/08993408.2015.1111645," 

https://doi.org/10.1080/08993408.2015.1111645


",Computer Science Education,,4,325--350,Routledge,Computer science teacher professional development in the United States: a review of studies published between 2004 and 2014," 

https://doi.org/10.1080/08993408.2015.1111645


",25,2015
article,doi:10.1080/10691898.2020.1847007,Victoria Woodard and Hollylynne Lee,10.1080/10691898.2020.1847007," 

https://doi.org/10.1080/10691898.2020.1847007


",Journal of Statistics and Data Science Education,,sup1,S145--S156,Taylor \& Francis,How Students Use Statistical Computing in Problem Solving," 

https://doi.org/10.1080/10691898.2020.1847007


",29,2021
article,doi:10.1080/00368555.2020.12293504,"Erin Peters Burton, Peter Rich, Timothy Cleary, Stephen Burton, Anastasia Kitsantas, Garrett Egan and Jordan Ellsworth",10.1080/00368555.2020.12293504," 

https://doi.org/10.1080/00368555.2020.12293504


",The Science Teacher,,6,30--36,Routledge,Thinking Big," 

https://doi.org/10.1080/00368555.2020.12293504


",87,2020
article,doi:10.1080/00368555.2021.12293595,"Patrick Enderle, Natalie King and Lauren Margulieux",10.1080/00368555.2021.12293595," 

https://doi.org/10.1080/00368555.2021.12293595


",The Science Teacher,,4,24--28,Routledge,What’s in a Wave?," 

https://doi.org/10.1080/00368555.2021.12293595


",88,2021
article,doi:10.1080/19434812.2021.12291676,"Sarah Nolting, Jesse Wilcox, Naryah Moore-Dilworth and Mackenzie Grenko",10.1080/19434812.2021.12291676," 

https://doi.org/10.1080/19434812.2021.12291676


",Science and Children,,5,60--64,Routledge,Shining a Light on the “T” in STEM," 

https://doi.org/10.1080/19434812.2021.12291676


",58,2021
article,doi:10.1080/1475939X.2019.1670248,"Therese Keane, Christina Chalmers, Marie Boden and Monica Williams",10.1080/1475939X.2019.1670248," 

https://doi.org/10.1080/1475939X.2019.1670248


","Technology, Pedagogy and Education",,5,533--546,Routledge,Humanoid robots: learning a programming language to learn a traditional language," 

https://doi.org/10.1080/1475939X.2019.1670248


",28,2019
article,doi:10.1080/00368148.2020.12315808,Tyler S. Love and Carolyn J. Griess,10.1080/00368148.2020.12315808," 

https://doi.org/10.1080/00368148.2020.12315808


",Science and Children,,2,51--57,Routledge,Engineering Encounters: Rosie Revere’s Orangutan Dilemma," 

https://doi.org/10.1080/00368148.2020.12315808


",58,2020
article,doi:10.1080/21532974.2019.1577068,Rachelle Dene Poth,10.1080/21532974.2019.1577068," 

https://doi.org/10.1080/21532974.2019.1577068


",Journal of Digital Learning in Teacher Education,,1,2--3,Routledge,Thinking About Skills of the Future: How to Get Preservice Teachers Started With Coding," 

https://doi.org/10.1080/21532974.2019.1577068


",35,2019
article,doi:10.1080/19434812.2021.12291668,Amber Wagner,10.1080/19434812.2021.12291668," 

https://doi.org/10.1080/19434812.2021.12291668


",Science and Children,,5,16--16,Routledge,Early Childhood Resources Review: Kindercoding Unplugged: Screen-Free Activities for Beginners," 

https://doi.org/10.1080/19434812.2021.12291668


",58,2021
article,doi:10.1080/02635143.2024.2370764,"Yuqin Yang, Wenxin Sun, Daner Sun and Sdenka Zobeida Salas-Pilco",10.1080/02635143.2024.2370764," 

https://doi.org/10.1080/02635143.2024.2370764


",Research in Science \& Technological Education,,0,1--25,Routledge,"Navigating the AI-Enhanced STEM education landscape: a decade of insights, trends, and opportunities"," 

https://doi.org/10.1080/02635143.2024.2370764


",0,2024
article,doi:10.1080/02568543.2021.1981503,"Junghyun Ahn, Woonhee Sung and John B. Black",10.1080/02568543.2021.1981503," 

https://doi.org/10.1080/02568543.2021.1981503


",Journal of Research in Childhood Education,,3,421--437,Routledge,Unplugged Debugging Activities for Developing Young Learners’ Debugging Skills," 

https://doi.org/10.1080/02568543.2021.1981503


",36,2022
article,doi:10.1080/15391523.2022.2089408,"Amy Hutchison, Kristie Gutierrez, Jamie Colwell, Anya Evmenova, Jeff Offutt and Margaret Gross",10.1080/15391523.2022.2089408," 

https://doi.org/10.1080/15391523.2022.2089408


",Journal of Research on Technology in Education,,6,1003--1019,Routledge,"Evaluating the role of professional development on elementary teachers’ knowledge, comfort, and beliefs related to teaching computer science to students with high-incidence disabilities"," 

https://doi.org/10.1080/15391523.2022.2089408


",55,2023
article,doi:10.1080/08872376.2020.12291367,Raja Ridgway,10.1080/08872376.2020.12291367," 

https://doi.org/10.1080/08872376.2020.12291367


",Science Scope,,2,6--9,Routledge,Interdisciplinary Ideas: Integrating Computer Science to Enhance Remote Learning," 

https://doi.org/10.1080/08872376.2020.12291367


",44,2020
article,doi:10.1080/00368555.2022.12293680,"Jonathan Bowers, Daniel Damelin, Emanuel Eidin and Cynthia Mcintyre",10.1080/00368555.2022.12293680," 

https://doi.org/10.1080/00368555.2022.12293680


",The Science Teacher,,4,18--25,Routledge,Keeping Cool with SageModeler," 

https://doi.org/10.1080/00368555.2022.12293680


",89,2022
article,doi:10.1080/08993408.2023.2251331,Brian Dorn and Jan Vahrenhold,10.1080/08993408.2023.2251331," 

https://doi.org/10.1080/08993408.2023.2251331


",Computer Science Education,,3,315--317,Routledge,Editorial," 

https://doi.org/10.1080/08993408.2023.2251331


",33,2023
article,doi:10.1080/09585176.2015.1056819,Danielle Herro,10.1080/09585176.2015.1056819," 

https://doi.org/10.1080/09585176.2015.1056819


",The Curriculum Journal,,4,579--600,Routledge,"Gaming the system: culture, process, and perspectives supporting a game and app design curriculum"," 

https://doi.org/10.1080/09585176.2015.1056819


",26,2015
article,doi:10.1080/08993408.2018.1564587,Joanna Goode,10.1080/08993408.2018.1564587," 

https://doi.org/10.1080/08993408.2018.1564587


",Computer Science Education,,4,301--302,Routledge,Guest editorial comments," 

https://doi.org/10.1080/08993408.2018.1564587


",28,2018
article,doi:10.1080/10572252.2019.1689089,Erin Kathleen Bahl,10.1080/10572252.2019.1689089," 

https://doi.org/10.1080/10572252.2019.1689089


",Technical Communication Quarterly,,1,104--106,Routledge,Creating intelligent content with lightweight DITA," 

https://doi.org/10.1080/10572252.2019.1689089


",30,2021
article,doi:10.1080/21532974.2017.1387833,Lana Peterson and Cassandra Scharber,10.1080/21532974.2017.1387833," 

https://doi.org/10.1080/21532974.2017.1387833


",Journal of Digital Learning in Teacher Education,,1,43--52,Routledge,Learning About Makerspaces: Professional Development with K-12 Inservice Educators," 

https://doi.org/10.1080/21532974.2017.1387833


",34,2018
article,doi:10.1080/21532974.2018.1499992,"Denise A. Schmidt-Crawford, Denise Lindstrom and Ann D. Thompson",10.1080/21532974.2018.1499992," 

https://doi.org/10.1080/21532974.2018.1499992


",Journal of Digital Learning in Teacher Education,,4,198--200,Routledge,Coding for Teacher Education: A Recurring Theme that Requires Our Attention," 

https://doi.org/10.1080/21532974.2018.1499992


",34,2018
article,doi:10.1080/08957347.2020.1835911,Jacqueline P. Leighton,10.1080/08957347.2020.1835911," 

https://doi.org/10.1080/08957347.2020.1835911


",Applied Measurement in Education,,1,61--74,Routledge,Rethinking Think-Alouds: The Often-Problematic Collection of Response Process Data," 

https://doi.org/10.1080/08957347.2020.1835911


",34,2021
article,doi:10.1080/02635143.2021.1920905,"Laurentiu Nita, Laura Mazzoli Smith, Nicholas Chancellor and Helen Cramman",10.1080/02635143.2021.1920905," 

https://doi.org/10.1080/02635143.2021.1920905


",Research in Science \& Technological Education,,2,564--580,Routledge,The challenge and opportunities of quantum literacy for future education and transdisciplinary problem-solving," 

https://doi.org/10.1080/02635143.2021.1920905


",41,2023
